expanded_johto_no,logical_species_id,national_dex,new_gen4_evolution,name_en,name_ko
1,152,152,NO,,
2,153,153,NO,,
3,154,154,NO,,
4,155,155,NO,,
5,156,156,NO,,
6,157,157,NO,,
7,158,158,NO,,
8,159,159,NO,,
9,160,160,NO,,
10,16,16,NO,,
11,17,17,NO,,
12,18,18,NO,,
13,21,21,NO,,
14,22,22,NO,,
15,163,163,NO,,
16,164,164,NO,,
17,19,19,NO,,
18,20,20,NO,,
19,161,161,NO,,
20,162,162,NO,,
21,172,172,NO,,
22,25,25,NO,,
23,26,26,NO,,
24,10,10,NO,,
25,11,11,NO,,
26,12,12,NO,,
27,13,13,NO,,
28,14,14,NO,,
29,15,15,NO,,
30,165,165,NO,,
31,166,166,NO,,
32,167,167,NO,,
33,168,168,NO,,
34,74,74,NO,,
35,75,75,NO,,
36,76,76,NO,,
37,41,41,NO,,
38,42,42,NO,,
39,169,169,NO,,
40,173,173,NO,,
41,35,35,NO,,
42,36,36,NO,,
43,174,174,NO,,
44,39,39,NO,,
45,40,40,NO,,
46,175,175,NO,,
47,176,176,NO,,
48,262,468,YES,Togekiss,토게키스
49,27,27,NO,,
50,28,28,NO,,
51,23,23,NO,,
52,24,24,NO,,
53,206,206,NO,,
54,179,179,NO,,
55,180,180,NO,,
56,181,181,NO,,
57,194,194,NO,,
58,195,195,NO,,
59,92,92,NO,,
60,93,93,NO,,
61,94,94,NO,,
62,201,201,NO,,
63,95,95,NO,,
64,208,208,NO,,
65,69,69,NO,,
66,70,70,NO,,
67,71,71,NO,,
68,187,187,NO,,
69,188,188,NO,,
70,189,189,NO,,
71,46,46,NO,,
72,47,47,NO,,
73,60,60,NO,,
74,61,61,NO,,
75,62,62,NO,,
76,186,186,NO,,
77,129,129,NO,,
78,130,130,NO,,
79,118,118,NO,,
80,119,119,NO,,
81,79,79,NO,,
82,80,80,NO,,
83,199,199,NO,,
84,43,43,NO,,
85,44,44,NO,,
86,45,45,NO,,
87,182,182,NO,,
88,96,96,NO,,
89,97,97,NO,,
90,63,63,NO,,
91,64,64,NO,,
92,65,65,NO,,
93,132,132,NO,,
94,204,204,NO,,
95,205,205,NO,,
96,29,29,NO,,
97,30,30,NO,,
98,31,31,NO,,
99,32,32,NO,,
100,33,33,NO,,
101,34,34,NO,,
102,193,193,NO,,
103,263,469,YES,Yanmega,메가자리
104,191,191,NO,,
105,192,192,NO,,
106,102,102,NO,,
107,103,103,NO,,
108,185,185,NO,,
109,202,202,NO,,
110,48,48,NO,,
111,49,49,NO,,
112,123,123,NO,,
113,212,212,NO,,
114,127,127,NO,,
115,214,214,NO,,
116,109,109,NO,,
117,110,110,NO,,
118,88,88,NO,,
119,89,89,NO,,
120,81,81,NO,,
121,82,82,NO,,
122,256,462,YES,Magnezone,자포코일
123,100,100,NO,,
124,101,101,NO,,
125,190,190,NO,,
126,252,424,YES,Ambipom,겟핸보숭
127,209,209,NO,,
128,210,210,NO,,
129,37,37,NO,,
130,38,38,NO,,
131,58,58,NO,,
132,59,59,NO,,
133,234,234,NO,,
134,183,183,NO,,
135,184,184,NO,,
136,50,50,NO,,
137,51,51,NO,,
138,56,56,NO,,
139,57,57,NO,,
140,52,52,NO,,
141,53,53,NO,,
142,54,54,NO,,
143,55,55,NO,,
144,66,66,NO,,
145,67,67,NO,,
146,68,68,NO,,
147,236,236,NO,,
148,106,106,NO,,
149,107,107,NO,,
150,237,237,NO,,
151,203,203,NO,,
152,128,128,NO,,
153,241,241,NO,,
154,240,240,NO,,
155,126,126,NO,,
156,261,467,YES,Magmortar,마그마번
157,238,238,NO,,
158,124,124,NO,,
159,239,239,NO,,
160,125,125,NO,,
161,260,466,YES,Electivire,에레키블
162,122,122,NO,,
163,235,235,NO,,
164,83,83,NO,,
165,177,177,NO,,
166,178,178,NO,,
167,211,211,NO,,
168,72,72,NO,,
169,73,73,NO,,
170,98,98,NO,,
171,99,99,NO,,
172,213,213,NO,,
173,120,120,NO,,
174,121,121,NO,,
175,90,90,NO,,
176,91,91,NO,,
177,222,222,NO,,
178,223,223,NO,,
179,224,224,NO,,
180,170,170,NO,,
181,171,171,NO,,
182,86,86,NO,,
183,87,87,NO,,
184,108,108,NO,,
185,257,463,YES,Lickilicky,내룸벨트
186,114,114,NO,,
187,259,465,YES,Tangrowth,덩쿠림보
188,133,133,NO,,
189,134,134,NO,,
190,135,135,NO,,
191,136,136,NO,,
192,196,196,NO,,
193,197,197,NO,,
194,264,470,YES,Leafeon,리피아
195,265,471,YES,Glaceon,글레이시아
196,116,116,NO,,
197,117,117,NO,,
198,230,230,NO,,
199,207,207,NO,,
200,266,472,YES,Gliscor,글라이온
201,225,225,NO,,
202,220,220,NO,,
203,221,221,NO,,
204,267,473,YES,Mamoswine,맘모꾸리
205,216,216,NO,,
206,217,217,NO,,
207,231,231,NO,,
208,232,232,NO,,
209,226,226,NO,,
210,227,227,NO,,
211,84,84,NO,,
212,85,85,NO,,
213,77,77,NO,,
214,78,78,NO,,
215,104,104,NO,,
216,105,105,NO,,
217,115,115,NO,,
218,111,111,NO,,
219,112,112,NO,,
220,258,464,YES,Rhyperior,거대코뿌리
221,198,198,NO,,
222,254,430,YES,Honchkrow,돈크로우
223,228,228,NO,,
224,229,229,NO,,
225,218,218,NO,,
226,219,219,NO,,
227,215,215,NO,,
228,255,461,YES,Weavile,포푸니라
229,200,200,NO,,
230,253,429,YES,Mismagius,무우마직
231,137,137,NO,,
232,233,233,NO,,
233,268,474,YES,Porygon-Z,폴리곤Z
234,113,113,NO,,
235,242,242,NO,,
236,131,131,NO,,
237,138,138,NO,,
238,139,139,NO,,
239,140,140,NO,,
240,141,141,NO,,
241,142,142,NO,,
242,143,143,NO,,
243,1,1,NO,,
244,2,2,NO,,
245,3,3,NO,,
246,4,4,NO,,
247,5,5,NO,,
248,6,6,NO,,
249,7,7,NO,,
250,8,8,NO,,
251,9,9,NO,,
252,144,144,NO,,
253,145,145,NO,,
254,146,146,NO,,
255,243,243,NO,,
256,244,244,NO,,
257,245,245,NO,,
258,147,147,NO,,
259,148,148,NO,,
260,149,149,NO,,
261,246,246,NO,,
262,247,247,NO,,
263,248,248,NO,,
264,249,249,NO,,
265,250,250,NO,,
266,150,150,NO,,
267,151,151,NO,,
268,251,251,NO,,
