bank,survey_status,disassembly_status,semantic_status,rebuild_gate,notes
00,PASS1_DONE,RECURSIVE_PASS1_DONE,IN_PROGRESS,PENDING,Vectors/header mapped; semantic relocation mapping next
01,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
02,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
03,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
04,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
05,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
06,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
07,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
08,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
09,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
0A,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
0B,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
0C,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
0D,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
0E,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
0F,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
10,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
11,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
12,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
13,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
14,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
15,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
16,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
17,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
18,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
