game,role,path,runtime_narc_id,members,record_size_if_uniform,min_size,max_size,size_variants,confidence
diamond,encounters_diamond,fielddata/encountdata/d_enc_data.narc,,183,424,424,424,1,medium-high
diamond,encounters_pearl,fielddata/encountdata/p_enc_data.narc,,183,424,424,424,1,medium-high
diamond,evolution,poketool/personal/evo.narc,,501,44,44,44,1,medium-high
diamond,field_scripts,fielddata/script/scr_seq_release.narc,,1051,,0,8508,191,medium-high
diamond,growth,poketool/personal/growtbl.narc,,8,404,404,404,1,medium-high
diamond,item_data,itemtool/itemdata/item_data.narc,,442,34,34,34,1,medium-high
diamond,land_data,fielddata/land_data/land_data_release.narc,,578,,2710,66712,531,medium-high
diamond,levelup_moves,poketool/personal/wotbl.narc,,501,,4,44,11,medium-high
diamond,map_matrix,fielddata/mapmatrix/map_matrix.narc,,245,,13,4508,14,medium-high
diamond,messages,msgdata/msg.narc,,624,,18,296818,522,medium-high
diamond,move_scripts,battle/skill/waza_seq.narc,,501,,4,24,3,medium-high
diamond,move_table,poketool/waza/waza_tbl.narc,,471,16,16,16,1,medium-high
diamond,personal,poketool/personal/personal.narc,,501,44,44,44,1,medium-high
diamond,trainer_data,poketool/trainer/trdata.narc,,850,20,20,20,1,medium-high
diamond,trainer_parties,poketool/trainer/trpoke.narc,,850,,8,96,16,medium-high
diamond,zone_events,fielddata/eventdata/zone_event_release.narc,,512,,16,1660,146,medium-high
pearl,encounters_diamond,fielddata/encountdata/d_enc_data.narc,,183,424,424,424,1,medium-high
pearl,encounters_pearl,fielddata/encountdata/p_enc_data.narc,,183,424,424,424,1,medium-high
pearl,evolution,poketool/personal/evo.narc,,501,44,44,44,1,medium-high
pearl,field_scripts,fielddata/script/scr_seq_release.narc,,1051,,0,8508,191,medium-high
pearl,growth,poketool/personal/growtbl.narc,,8,404,404,404,1,medium-high
pearl,item_data,itemtool/itemdata/item_data.narc,,442,34,34,34,1,medium-high
pearl,land_data,fielddata/land_data/land_data_release.narc,,578,,2710,66712,531,medium-high
pearl,levelup_moves,poketool/personal/wotbl.narc,,501,,4,44,11,medium-high
pearl,map_matrix,fielddata/mapmatrix/map_matrix.narc,,245,,13,4508,14,medium-high
pearl,messages,msgdata/msg.narc,,624,,18,296818,522,medium-high
pearl,move_scripts,battle/skill/waza_seq.narc,,501,,4,24,3,medium-high
pearl,move_table,poketool/waza/waza_tbl.narc,,471,16,16,16,1,medium-high
pearl,personal,poketool/personal_pearl/personal.narc,,501,44,44,44,1,medium-high
pearl,trainer_data,poketool/trainer/trdata.narc,,850,20,20,20,1,medium-high
pearl,trainer_parties,poketool/trainer/trpoke.narc,,850,,8,96,16,medium-high
pearl,zone_events,fielddata/eventdata/zone_event_release.narc,,512,,16,1660,146,medium-high
platinum,encounters_platinum,fielddata/encountdata/pl_enc_data.narc,,183,424,424,424,1,medium-high
platinum,evolution,poketool/personal/evo.narc,,508,44,44,44,1,medium-high
platinum,field_scripts,fielddata/script/scr_seq.narc,,1124,,4,9132,221,medium-high
platinum,frontier_scripts,frontier/script/fr_script.narc,,11,,252,13492,11,medium-high
platinum,growth,poketool/personal/pl_growtbl.narc,,8,404,404,404,1,medium-high
platinum,item_data,itemtool/itemdata/pl_item_data.narc,,446,34,34,34,1,medium-high
platinum,land_data,fielddata/land_data/land_data.narc,,666,,2972,64212,615,medium-high
platinum,levelup_moves,poketool/personal/wotbl.narc,,508,,4,44,11,medium-high
platinum,map_matrix,fielddata/mapmatrix/map_matrix.narc,,289,,13,4508,14,medium-high
platinum,messages,msgdata/pl_msg.narc,,714,,18,160410,555,medium-high
platinum,move_scripts,battle/skill/waza_seq.narc,,501,,4,24,3,medium-high
platinum,move_table,poketool/waza/pl_waza_tbl.narc,,471,16,16,16,1,medium-high
platinum,personal,poketool/personal/pl_personal.narc,,508,44,44,44,1,medium-high
platinum,trainer_data,poketool/trainer/trdata.narc,,928,20,20,20,1,medium-high
