en_bank_hex,semantic_sections,reference,authority
00,ROM0 / Header / Home,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
01,bank1,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
02,Audio 1,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
03,bank3,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
04,NPC Sprites 1 / Font / Battle Engine 1,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
05,NPC Sprites 2 / Battle Engine 2,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
06,Maps 1-2 / Play Time / Doors and Ledges,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
07,Maps 3-4 / Pokemon Names / Hidden Events 1,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
08,Audio 2 / Bills PC,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
09,Pics 1 / Battle Engine 3,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
0A,Pics 2 / Battle Engine 4,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
0B,Pics 3 / Battle Engine 5,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
0C,Pics 4 / Battle Engine 6,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
0D,Pics 5 / Slot Machines,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
0E,Battle Engine 7,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
0F,Battle Core,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
10,bank10,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
11,Maps 5-6 / Pokedex Rating / Hidden Events Core,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
12,Maps 7-8 / Screen Effects,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
13,Trainer Pics / Maps 9 / Predefs,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
14,Maps 10 / Battle Engine 8 / Hidden Events 2,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
15,Maps 11-12 / Battle Engine 9 / Diploma / Trainer Sight,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
16,Maps 13-14 / Battle Engine 10 / Saffron Guards,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
17,Maps 15-16 / Starter Dex / Hidden Events 3,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
18,Maps 17-18 / Cinnabar Lab Fossils / Hidden Events 4,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
19,Tilesets 1,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
1A,Battle Engine 11 / Tilesets 2,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
1B,Tilesets 3,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
1C,bank1C,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
1D,Maps 19-21 / Itemfinder / Vending Machine,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
1E,bank1E,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
1F,Audio 3,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
20,Text 1,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
21,Text 2,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
22,Text 3,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
23,Text 4,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
24,Text 5,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
25,Text 6,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
26,Text 7,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
27,Text 8,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
28,Text 9,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
29,Text 10,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
2A,Text 11,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
2B,Pokedex Text,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
2C,Move Names,pret/pokered layout.link @ a1a22aaf84d1675bcdbaeb194592379d586d838e,canonical EN ROM SHA-1 exact match
