build,bank,start,entropy,zero_pct,ff_pct,sha256,ptr_EWRAM,ptr_IWRAM,ptr_IO,ptr_PAL,ptr_VRAM,ptr_OAM,ptr_ROM
JP Rev0,F3,0x00F30000,0.365984,96.601868,0.248718,5292d81472e6148c6021520ad522d09220957637de27585ff02a455b7e4d6dc4,497,0,0,0,0,0,9
JP Rev1,F3,0x00F30000,0.27509,95.26825,4.730225,af7f76d22f76909a8c3bb8b47ee9dec426642b8dbcafbaea56a826648c1d5fa0,1,0,0,0,0,0,0
JP Rev0,F4,0x00F40000,2.139597,49.151611,35.527039,f6a8e41b1555587251d40f9d8674684aefba240f0ffa6fa12923a80568b57557,56,0,59,0,2,0,110
JP Rev1,F4,0x00F40000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
JP Rev0,F5,0x00F50000,2.164809,49.105835,35.224915,7c11e777bb6eb58dedfd7f77d381783ea4e4a99bbb418363d3e5c8d1314d1b49,62,0,61,0,4,0,109
JP Rev1,F5,0x00F50000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
JP Rev0,F6,0x00F60000,2.172811,49.066162,35.212708,26c44d71c0b83c43cd037c573b7f30d0b98cf987bf2bf2d9143bfadfcff1f369,62,0,64,0,4,0,115
JP Rev1,F6,0x00F60000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
JP Rev0,F7,0x00F70000,2.174715,49.085999,35.151672,f43766be8b077f6f9b5eea397e68569b4cef1d98f253b31f4771b9740de516a8,60,0,68,0,4,0,113
JP Rev1,F7,0x00F70000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
JP Rev0,F8,0x00F80000,2.079754,49.124146,36.763,42a0d951389b197d3e9627cf2d6dcfd26f276e85db951f1e10edf1a3bd2a202,59,0,67,0,4,0,114
JP Rev1,F8,0x00F80000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
JP Rev0,F9,0x00F90000,2.047864,49.12262,37.22229,8fa585e1477d2b6d83c1268bb68ae2d0b67faa5814d020395211fea038b2cc0e,57,0,68,0,4,0,121
JP Rev1,F9,0x00F90000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
JP Rev0,FA,0x00FA0000,2.514264,46.327209,33.84552,0e764a9d2ee800cf3297a298fff817d2af73d730cc0516a95c2d74f9bd180df1,251,32,163,27,112,21,418
JP Rev1,FA,0x00FA0000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
JP Rev0,FB,0x00FB0000,2.212214,48.410034,35.435486,51ff34c0c136cbfb7332fca344fd6f569ae0fdcc065611dcda01dd2431241d2a,148,5,231,12,10,0,176
JP Rev1,FB,0x00FB0000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
JP Rev0,FC,0x00FC0000,2.16801,47.999573,36.793518,b8e940de7e92db4c07573e443d8491f8ae11668c6aa4d907f7655829565eb65c,121,13,233,36,29,5,189
JP Rev1,FC,0x00FC0000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
JP Rev0,FD,0x00FD0000,2.06067,49.102783,36.990356,eb2d9a9a77289970c6ce8879156f381c57832dba5b6b71395d0ac535e937b195,53,0,106,2,3,0,110
JP Rev1,FD,0x00FD0000,-0.0,0.0,100.0,71189f7fb6aed638640078fba3a35fda6c39c8962e74dcc75935aac948da9063,0,0,0,0,0,0,0
