region_class,logical_sector_id,role,logical_offset,payload_size,payload_capacity,payload_free,footer_start,id_offset,checksum_offset,signature_offset,counter_offset,physical_sector_size
JP,0,SaveBlock2,0x0000,3876,3968,92,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,1,SaveBlock1,0x0000,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,2,SaveBlock1,0x0F80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,3,SaveBlock1,0x1F00,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,4,SaveBlock1,0x2E80,3776,3968,192,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,5,PokemonStorage,0x0000,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,6,PokemonStorage,0x0F80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,7,PokemonStorage,0x1F00,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,8,PokemonStorage,0x2E80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,9,PokemonStorage,0x3E00,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,10,PokemonStorage,0x4D80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,11,PokemonStorage,0x5D00,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,12,PokemonStorage,0x6C80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
JP,13,PokemonStorage,0x7C00,2000,3968,1968,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,0,SaveBlock2,0x0000,3876,3968,92,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,1,SaveBlock1,0x0000,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,2,SaveBlock1,0x0F80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,3,SaveBlock1,0x1F00,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,4,SaveBlock1,0x2E80,3816,3968,152,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,5,PokemonStorage,0x0000,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,6,PokemonStorage,0x0F80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,7,PokemonStorage,0x1F00,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,8,PokemonStorage,0x2E80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,9,PokemonStorage,0x3E00,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,10,PokemonStorage,0x4D80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,11,PokemonStorage,0x5D00,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,12,PokemonStorage,0x6C80,3968,3968,0,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
WEST,13,PokemonStorage,0x7C00,2000,3968,1968,0x0F80,0x0FF4,0x0FF6,0x0FF8,0x0FFC,4096
