file,bytes,sha256
SEMANTIC_CENSUS_STAGE5.md,6112,34ffc94752dc5350b167037bf449c6af7a4235c623df6bc4e36eb11b2008f803
stage5_validation.csv,823,eb884f7b478740a4149b8a1eaae41bfc4eeff52b23b3b5d2037c44b359260463
referenced_text_summary.csv,1188,35e6f7f964dba0d02a8ec53565885c35adff413217bac298fa50777c58463428
referenced_text_bank_summary.csv,2019,5c629b9ea2cf7b3ff90e5f3280bd99248853221e86cfb3b7dcc6e0f294923ce2
english_revision_help_probe.csv,654,1453ff36c91df6f1d6859d4b56dc5105c061339f100b4ef709e813e3ea29ee1e
font_anchor_summary.csv,1402,b237d70b46d056285d69fe1b697e60552d208167e75d58c5fa705dfda4047f38
save_sector_schema.csv,782,d0b2443509e27efcc5f9d07cf87a90913ea395cdccf29d9c998439d2f88f81d8
save_sector_layout_exact.csv,2435,6b6d9e262671079e720c9ef9f1641a7f8ed5a2688fcfac51bae707c7297a68a0
save_binary_constant_audit.csv,2384,23cae7c9d1c6a8f203205c8235343ce926903663eb37ca2c4a4772e8fcf5b08f
jp_rev0_highrom_residual_summary.csv,516,44c93e903b78cf04897d47bc583e2596088fa71ead89848e4c4cf961276ec202
jp_rev0_highrom_residual_banks.csv,2898,9296a9f89754369de8e248cba8732210790e4f8fb2780e54faea73e8bc890fe9
stage5_summary.json,890,9e4ae5a5670110931f406cadcb425acc83dce66d45f7765f797375c0d37f891d
