file,size,sha256
FULL_CENSUS_STAGE3.md,4764,589baf279ebf832e7e78a6b1532c68e1d11a843f55d2a849d4c09254fda688bf
ascii_run_rle_BPGD_Pokemon_-_Blattgruene_Edition_Germany_gba.txt,387402,f4a6c3ac92b7242887a79b874ae5f19ab637bcbb180ae8abff6eba13b616a17b
ascii_run_rle_BPGE_Pokemon_-_Leaf_Green_Version_Europe_Rev_1_gba.txt,388801,cad31d5f13cb79aacc9812fa134d4970b7f2f961f66dacf8c613083619b905af
ascii_run_rle_BPGE_Pokemon_-_Leaf_Green_Version_USA_gba.txt,388702,96c03a7c2276e1819792b180b4119778a0224df07df7ad2965f397f40e10b1fb
ascii_run_rle_BPGF_Pokemon_-_Version_Vert_Feuille_France_gba.txt,387739,8054367a09f9d1d6db0a0e1a3d17f5cd6ca4f83a692c2d19f1802e9aef2c9e7e
ascii_run_rle_BPGI_Pokemon_-_Versione_Verde_Foglia_Italy_gba.txt,387312,6cf1c35c7575d03a805d336cfbd08bcf4f3e4b78cde6dfd826a46ad77a1a241b
ascii_run_rle_BPGJ_Pocket_Monsters_-_Leaf_Green_Japan_gba.txt,396495,1782d2f78bbe37fff858dfac4d41a3d98246183731cc2883969dc46d3a913c7f
ascii_run_rle_BPGS_Pokemon_-_Edicion_Verde_Hoja_Spain_gba.txt,386661,d1b6f30c864d08b9a7aef2fd3c8fc86d3a6c9628f4e54016ce84013019a31fc2
ascii_runs.csv,75580921,9d6c86ec4111ae66f2fce15f135575df7e10e4b54428f5e7b10ab303015b90b6
ascii_runs.csv.gz,25620356,409ac4858f2bbb307199305ac8c04c8aba40af226d46233617dbcefddef69195
asset_census_summary.csv,740,b2ab04923e3a546505df2d32ac283724cbbdfd129397ee491d88997bd691d835
coverage_16k.csv,1098052,9f7ce91831e75c45028e55f50ba003f727036e49ec7a72511b1abccd18584275
cross_version_16k.csv,34484,1815fa5d5974e43deb398d8255c5d1cf8258a07b5cf2bca9f0f6ffc81d718e82
diff_rle_BPGD_Pokemon_-_Blattgruene_Edition_Germany_gba.txt,1955283,f425f181cbdb259309b3c3d176e504f39fac8b3f3ab54a1de52f30252538e8b2
diff_rle_BPGE_Pokemon_-_Leaf_Green_Version_Europe_Rev_1_gba.txt,1826390,619990ebfb8b256a24124250a5029382bcc8a97e6af6343103cdb1e217cbe180
diff_rle_BPGF_Pokemon_-_Version_Vert_Feuille_France_gba.txt,1364522,61f8da492f603a78f9396320df39132dff74e0560d7e9c2d03c5716c0668c9f9
diff_rle_BPGI_Pokemon_-_Versione_Verde_Foglia_Italy_gba.txt,1687831,489e1056fb9af5f59fb8aa70a820003c6ccaea27f6c4f1b2f373e57a85046e91
diff_rle_BPGJ_Pocket_Monsters_-_Leaf_Green_Japan_gba.txt,1683399,59d6880d9c06e76ca7366f8d22275a825d1a3a03897c7561f02b7761cbee186a
diff_rle_BPGS_Pokemon_-_Edicion_Verde_Hoja_Spain_gba.txt,1329095,58fc512ae35c596ff869c42e40091ac3e93c23ccee8a316dcbd9d90ce22d91a4
diff_runs_summary.csv,741,b69bbcaf9933cada5ddd6cd96a15c98b62843b878689544342e8a74ddfdcfe50
diff_runs_vs_usa.csv,264451261,1f776c2920ebe55780442486fd7d6654da1e76f7fcbf83f417ac8cb2a0a8c88d
diff_runs_vs_usa.csv.gz,18057015,689b4092a8b0493659e4d788766393fda12f211914cf9e12f6a06632101d9ae5
english_rev0_rev1_diff_runs.csv,23649921,c8214eb5d207b338625bf9ad82cb500519aede5a35a78fde40434ce46c8feab3
english_rev0_rev1_diff_runs.csv.gz,8399351,859854e6cb3faa49ab058e01660ba2f0400b22a70214c53122dd5f963ea25f2d
entropy_64k.csv,147050,b183e12c753e4320805f4ff3f5368bddbc2f15d9ae7f3bb84076a3933028e87c
known_signatures.csv,3209,314ac94c25ceb0cd4a6fccf2f1f3a233ba1df22138f0f361b349370712a2c5d3
leafgreen_stage3_census.py,4141,f4a02d3ea217ed27e3bbebecfd73d827c36c35f306de6ba9648f35cc4857880e
lz77_candidates.csv,2062674,19619f56079dcd3b74db30bf8827e1f65edb3da74be0aa7965ac1f3e8783c847
lz77_nonoverlap_candidates.csv,1931569,f1c007b49a6db4db3f4cf83fbf601b4cdfc289958c2c9f1ecee5311dd823608f
pointer_tables.csv,1065861,6bf4b8015e96b23374e36cfdfa85693529d6c98e06d9c4a5eb4235c8c43897ca
repeated_4k_blocks.csv,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
roms.csv,960,bb80368099bad9899e9f9148f43ad0531a414caaac3deb763429889d7da60449
text_candidates_international.csv,9491048,fee109b55686a3c10be5be4adc7cf7878c79c09ff7c9f584228a459116c6651d
