file,size,sha256
TEXT_SYSTEM_STAGE4.md,4463,3e10998af25db4bae875cc8ac9ddd7cf58d5ca09ad467a2e0b9c7e6b8bf9d285
leafgreen_text_anchor_verify.py,2022,74d61627ab607033106cadbdecb641f1c46243d4b4ab1971121dde1f18f39e4f
referenced_ff_regions.csv,75327,63c48ada6b31bc928fe4c295909cf57994995f48e075b061e7f8baacf60d6c5c
referenced_ff_strings.csv,24133079,04e1aed915073cfffdd6cad5040da7f9d582b87cdd88eab0583e5051838144cb
referenced_ff_summary.csv,2539,fa6016c5dd858094eff58d562742587b4a930f5f62dac34959ae7b2508c811bc
strict_referenced_text.csv,2630874,e6336cdc7435c728de68977481789abedd130eea66299cc60e3063451495699c
strict_referenced_text_regions.csv,17172,1c497c1112823dac9e236b9b75ce1e0d0e0485ab6db36e7a0e699f93cd9e11af
strict_referenced_text_summary.csv,497,beccd2ec6d3f2e9b700c1cafe69b2097b5fd4c72d25c26ef86c4b98f1cf1a9bd
text_anchor_verification.csv,629,36265fd26520bbd49e82ee2a4ed0e368c9fd937f435d7864c5930aadf5ba3c84
text_table_anchors_stage4.csv,5332,8c90bec7e840233875bafa9ac06d2edb4b3426d7cf547b8ea87e6884e0262972
validated_referenced_text_international.csv,3596085,598ae40c2e7ecb06285dd89fdd500c55d77d0bebf560a053df2f06d7ebf81443
validated_referenced_text_regions.csv,46673,a6cec2fb2955d52ad35a332415f7e4a08a2b920ae7e85ff8821e4c33e06975db
validated_referenced_text_summary.csv,502,4bf32fad61617f56f986a62e74786fe35d3e8c32c4b32b93c8a9570faf8a30d6
