file,game_code,region_index,start,end,ff_bytes,ff_percent,zero_bytes,zero_percent,pointer_like_sources,pointer_like_targets,sha256
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,0,0x0000000,0x00FFFFF,10384,0.9903,106695,10.1752,11867,15467,cd806a1f4d191073f88ed55b23394c1914b550dc4db68b4f63d0d227c328dd7d
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,1,0x0100000,0x01FFFFF,18939,1.8062,234684,22.3812,14849,15119,d3ddd475ffb5a3ed35e2dd7a290f1e948d607d52c86ccdac39656b0cb5d5e799
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,2,0x0200000,0x02FFFFF,8534,0.8139,197323,18.8182,3683,4292,b7407301de7b9ac6862fe3006bb6216bbf187bbdb5715c587798cddc79d3e1a8
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,3,0x0300000,0x03FFFFF,21925,2.0909,325585,31.0502,20600,14529,87bf520b1dd14a86561b05479ae2c61a0077b054cff9901b62a703cd15d80d63
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,4,0x0400000,0x04FFFFF,26604,2.5372,154173,14.7031,8252,5393,3b4af05462bbf552f8ea1d9427c37071a07b0028b3210c91cfeae532046a8c0e
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,5,0x0500000,0x05FFFFF,24553,2.3416,36472,3.4782,516,683,55d3b05c5e5e140e2f651e18aff6076d5ae5774021e63194a4384add1ba8adf1
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,6,0x0600000,0x06FFFFF,237693,22.6682,18338,1.7488,2808,2733,d0e07a434a630fc041cb32775b4d3aebf3bdd796b146c5a52883ca08c635c694
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,7,0x0700000,0x07FFFFF,1048576,100.0,0,0.0,0,142,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,8,0x0800000,0x08FFFFF,1048576,100.0,0,0.0,0,167,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,9,0x0900000,0x09FFFFF,1048576,100.0,0,0.0,0,77,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,10,0x0A00000,0x0AFFFFF,1048576,100.0,0,0.0,0,80,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,11,0x0B00000,0x0BFFFFF,1048576,100.0,0,0.0,0,116,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,12,0x0C00000,0x0CFFFFF,21233,2.0249,323690,30.8695,1059,2957,6cbfc729712d4767ca9a84595557aefa7a2925f319c72ffd763bbded1f1fe2fe
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,13,0x0D00000,0x0DFFFFF,445511,42.4872,181406,17.3002,616,2042,1c5e637b22d0a3c42568fd238ba8b8ff2500a19ef760c6f622ddcffc6b5a7ad4
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,14,0x0E00000,0x0EFFFFF,1048576,100.0,0,0.0,0,178,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,15,0x0F00000,0x0FFFFFF,365963,34.901,578747,55.1936,252,527,b625bad2a1a6dd976903b7b5e58e05964c3b15e29c15732a07a794455f2334d2
Pokemon - Blattgruene Edition (Germany).gba,BPGD,0,0x0000000,0x00FFFFF,10506,1.0019,106773,10.1827,11834,15035,1d4528dd99c3bbd72952484b046af3d97dcd71f1a8bdce779de96a73bb7c0b8c
Pokemon - Blattgruene Edition (Germany).gba,BPGD,1,0x0100000,0x01FFFFF,17631,1.6814,179179,17.0878,10938,12096,881b96f080216e36c014f4e2a04d1a28bcedae26aa7c07b15211ad09a8a3e7d8
Pokemon - Blattgruene Edition (Germany).gba,BPGD,2,0x0200000,0x02FFFFF,16928,1.6144,376819,35.9363,5885,5854,7738fdaa05f60b3e4f886dfb9aa09a8233931d327e1319ecbc4731962a9ac860
Pokemon - Blattgruene Edition (Germany).gba,BPGD,3,0x0300000,0x03FFFFF,15223,1.4518,305985,29.181,19972,12443,61d426c59cd1ae5ff98ac403caddb31c108c790e1fb2bc7efa0809fcdbac26b7
Pokemon - Blattgruene Edition (Germany).gba,BPGD,4,0x0400000,0x04FFFFF,30182,2.8784,170136,16.2254,9121,7952,64cf848e24c71b6e75ce60dfdeceb822cd3c8bcacdf07c6efc8b0e57a5b0c4c2
Pokemon - Blattgruene Edition (Germany).gba,BPGD,5,0x0500000,0x05FFFFF,23906,2.2799,34459,3.2863,670,715,02fb7f894efabdb4bc154d36f72f1a28e745c6fab398430ee107142b266277f1
Pokemon - Blattgruene Edition (Germany).gba,BPGD,6,0x0600000,0x06FFFFF,11673,1.1132,25804,2.4609,2875,2820,f638ed0587e50b7187421d05280aa47e51237d73424dd25de80b18e41d6289b2
Pokemon - Blattgruene Edition (Germany).gba,BPGD,7,0x0700000,0x07FFFFF,952123,90.8015,10973,1.0465,300,163,391fd9345a5e32a341be96a6cd50cc0a3a87c23424281f2c1c50afc1d24da42b
Pokemon - Blattgruene Edition (Germany).gba,BPGD,8,0x0800000,0x08FFFFF,1048576,100.0,0,0.0,0,190,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Blattgruene Edition (Germany).gba,BPGD,9,0x0900000,0x09FFFFF,1048576,100.0,0,0.0,0,91,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Blattgruene Edition (Germany).gba,BPGD,10,0x0A00000,0x0AFFFFF,1048576,100.0,0,0.0,0,89,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Blattgruene Edition (Germany).gba,BPGD,11,0x0B00000,0x0BFFFFF,1048576,100.0,0,0.0,0,114,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Blattgruene Edition (Germany).gba,BPGD,12,0x0C00000,0x0CFFFFF,1048576,100.0,0,0.0,0,281,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Blattgruene Edition (Germany).gba,BPGD,13,0x0D00000,0x0DFFFFF,21232,2.0248,323697,30.8702,1058,2848,b3acd379afbc3e7fdac51d8f06132f6ca55fed56a391377b3ae093531680f562
Pokemon - Blattgruene Edition (Germany).gba,BPGD,14,0x0E00000,0x0EFFFFF,332927,31.7504,205597,19.6073,749,2277,9e79cb295fceffd48651e0cc8c3aca8b3cca90c9f0ab040d49cc74b0c8714859
Pokemon - Blattgruene Edition (Germany).gba,BPGD,15,0x0F00000,0x0FFFFFF,1048576,100.0,0,0.0,0,434,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,0,0x0000000,0x00FFFFF,10492,1.0006,106737,10.1792,11833,15046,2434c4ee1400bbf50c9c622a7aaba5b35687caf229e5350de3e04a3d5260d837
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,1,0x0100000,0x01FFFFF,18578,1.7717,195688,18.6623,11099,12218,21a6d622790d2a444bce879bada4b39e9065a8bfe719351cf7742fed733bb161
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,2,0x0200000,0x02FFFFF,16159,1.541,362884,34.6073,5905,5885,78d28b4f5329e945be5d2daa88cbb4647e438fc78c70a62a806f028a35b2a2a4
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,3,0x0300000,0x03FFFFF,15487,1.477,310162,29.5794,20053,12473,2e8ae290fa65d0fdf94f745ee3973a1ece6345d2ab971d03870b818c0a86922a
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,4,0x0400000,0x04FFFFF,30679,2.9258,167757,15.9986,9088,7951,29cce4b0d444a5fd5886bf542f5c113d51dae3024fb98c2a49fd99ec42773546
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,5,0x0500000,0x05FFFFF,24963,2.3807,35193,3.3563,613,687,ecfa5fc5a3bab494a74ae7cbfddb1d65312450d32f8ff7955c393574369127c2
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,6,0x0600000,0x06FFFFF,10829,1.0327,28499,2.7179,2974,2806,d16bd448bdd223e2171cab6d1daed8f7ee22745f53305d9cef2b812532c86173
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,7,0x0700000,0x07FFFFF,982630,93.7109,7136,0.6805,194,161,00ebc4f6069aeed4c356a6339e618248e35f967d651cc98f9d8548f669845238
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,8,0x0800000,0x08FFFFF,1048576,100.0,0,0.0,0,195,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,9,0x0900000,0x09FFFFF,1048576,100.0,0,0.0,0,89,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,10,0x0A00000,0x0AFFFFF,1048576,100.0,0,0.0,0,90,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,11,0x0B00000,0x0BFFFFF,1048576,100.0,0,0.0,0,121,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,12,0x0C00000,0x0CFFFFF,1048576,100.0,0,0.0,0,279,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,13,0x0D00000,0x0DFFFFF,21202,2.022,323681,30.8686,1058,2849,a2ad61252c9e97976b8717137586e3b4a51443d12cd88182e7d4f83ea5fc1ada
