file,game_code,signature,count,offsets,truncated
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,PokemonSioInfo,1,0x04028D0,False
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,FLASH1M_V103,1,0x06C0998,False
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,AGBJ01,1,0x06C479C,False
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,SIIRTC_V,0,,False
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,SIIRTC_,0,,False
Pocket Monsters - Leaf Green (Japan).gba,BPGJ,POKEMON,1,0x00000A0,False
Pokemon - Blattgruene Edition (Germany).gba,BPGD,PokemonSioInfo,1,0x043EF0C,False
Pokemon - Blattgruene Edition (Germany).gba,BPGD,FLASH1M_V103,1,0x06F96A4,False
Pokemon - Blattgruene Edition (Germany).gba,BPGD,AGBJ01,1,0x06FD228,False
Pokemon - Blattgruene Edition (Germany).gba,BPGD,SIIRTC_V,0,,False
Pokemon - Blattgruene Edition (Germany).gba,BPGD,SIIRTC_,0,,False
Pokemon - Blattgruene Edition (Germany).gba,BPGD,POKEMON,2,0x00000A0;0x06FF2D8,False
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,PokemonSioInfo,1,0x0439838,False
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,FLASH1M_V103,1,0x06F1F08,False
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,AGBJ01,1,0x06F5A8C,False
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,SIIRTC_V,0,,False
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,SIIRTC_,1,0x06F9531,False
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,POKEMON,2,0x00000A0;0x06F7B3C,False
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,PokemonSioInfo,1,0x043EC90,False
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,FLASH1M_V103,1,0x06FB860,False
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,AGBJ01,1,0x06FF664,False
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,SIIRTC_V,0,,False
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,SIIRTC_,0,,False
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,POKEMON,1,0x00000A0,False
Pokemon - Leaf Green Version (USA).gba,BPGE,PokemonSioInfo,1,0x043EC20,False
Pokemon - Leaf Green Version (USA).gba,BPGE,FLASH1M_V103,1,0x06FB7F0,False
Pokemon - Leaf Green Version (USA).gba,BPGE,AGBJ01,1,0x06FF5F4,False
Pokemon - Leaf Green Version (USA).gba,BPGE,SIIRTC_V,0,,False
Pokemon - Leaf Green Version (USA).gba,BPGE,SIIRTC_,0,,False
Pokemon - Leaf Green Version (USA).gba,BPGE,POKEMON,1,0x00000A0,False
Pokemon - Version Vert Feuille (France).gba,BPGF,PokemonSioInfo,1,0x04370A4,False
Pokemon - Version Vert Feuille (France).gba,BPGF,FLASH1M_V103,1,0x06F0D04,False
Pokemon - Version Vert Feuille (France).gba,BPGF,AGBJ01,1,0x06F4888,False
Pokemon - Version Vert Feuille (France).gba,BPGF,SIIRTC_V,0,,False
Pokemon - Version Vert Feuille (France).gba,BPGF,SIIRTC_,0,,False
Pokemon - Version Vert Feuille (France).gba,BPGF,POKEMON,1,0x00000A0,False
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,PokemonSioInfo,1,0x0436190,False
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,FLASH1M_V103,1,0x06EF100,False
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,AGBJ01,1,0x06F2C84,False
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,SIIRTC_V,0,,False
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,SIIRTC_,0,,False
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,POKEMON,2,0x00000A0;0x06F4D34,False
