target_id,function,file_offset,size,sha256
JPN-AXPJ-v0,AllocSpriteTiles,0x00001074,284,6787a11aeef5c2034b96fc476551ed75b5d5310267fc7820deb6db816f8f7dfa
JPN-AXPJ-v0,SpriteTileAllocBitmapOp,0x00001190,112,88647a4b9ef9a46466985a8cfdb7ac31b96a16dd4da489ce004412b119c83bb3
JPN-AXPJ-v0,SpriteCallbackDummy,0x00001200,4,6c1871acd4bd9950e81b2850fac7ddd44f28500d6bba63991c2599234ddbe61c
JPN-AXPJ-v0,ProcessSpriteCopyRequests,0x00001204,92,7b69285da3c32c809a2a252abef65e0cace292fd14459fbcb75b2854304ad855
JPN-AXPJ-v0,RequestSpriteFrameImageCopy,0x00001260,100,90b1ea4364f3817b8334f4d32a9fed43bf974155adde0fcdb2543a52b5c08ff9
JPN-AXPJ-v0,RequestSpriteCopy,0x000012C4,80,863dc740aa74bceac7c7e3c3614b082f2d9eed6a7854d18ca58b95cac7367eb0
JPN-AXPJ-v0,CopyFromSprites,0x00001314,40,ccc5f95aa65979c071d28b4a72d2a0fa498a843d37e99730ebdf313692910db0
JPN-AXPJ-v0,CopyToSprites,0x0000133C,40,2ec3b0a823abf0eab5f717d50c22382d034ee15a177cf70da18ba32c577898b7
JPN-AXPJ-v0,ResetAllSprites,0x00001364,60,3867202dd9b2cd4c54bcc27f8f8e4424abd0693ab8d3a79eb2fee22fe975b694
JPN-AXPJ-v0,FreeSpriteTiles,0x000013A0,28,20a2afcf28a08e4813ecb99a47e03b23e367f75e6af3af4c840878d165bc28d3
JPN-AXPJ-v0,FreeSpritePalette,0x000013BC,16,7d3836fa8c3ca1f6de080303f47971876e302596c4f562e5c5d6601890352bf7
JPN-AXPJ-v0,FreeSpriteOamMatrix,0x000013CC,44,34e84461dd4ed1040ff545feca715446209a1692965c06ec66348900e37c890b
JPN-AXPJ-v0,DestroySpriteAndFreeResources,0x000013F8,32,0b20b9623eac45462bb015c761503bb39687b7df93832d856f27128de29a85a1
DEU-AXPD-v1,AllocSpriteTiles,0x000011B8,284,61804c9455a58c22c639fe6c13f1d95f7f2fad85635edee3359bde5358646d0f
DEU-AXPD-v1,SpriteTileAllocBitmapOp,0x000012D4,112,052ad0b238f8d24426769b357e9b943d27f094c195400071c2967e4909527b43
DEU-AXPD-v1,SpriteCallbackDummy,0x00001344,4,6c1871acd4bd9950e81b2850fac7ddd44f28500d6bba63991c2599234ddbe61c
DEU-AXPD-v1,ProcessSpriteCopyRequests,0x00001348,92,3cb9188786bbe16b04cc50c1c70986fbef12273b0068d40abd1a58a3752e1d7f
DEU-AXPD-v1,RequestSpriteFrameImageCopy,0x000013A4,100,c0a7b661f5852d9062a42db42e7d1b1f410d58d5a86aceea2f0717757d6f85da
DEU-AXPD-v1,RequestSpriteCopy,0x00001408,80,1ad6f155c04e4fb71e3288c0f9d60c3ad071e5f0d67b5174e99a8485e9956dc5
DEU-AXPD-v1,CopyFromSprites,0x00001458,40,ccc5f95aa65979c071d28b4a72d2a0fa498a843d37e99730ebdf313692910db0
DEU-AXPD-v1,CopyToSprites,0x00001480,40,2ec3b0a823abf0eab5f717d50c22382d034ee15a177cf70da18ba32c577898b7
DEU-AXPD-v1,ResetAllSprites,0x000014A8,64,bea0d2f84481bf7d22b93d7da3a5203e4c8ab127310c431b21df76fec6890fb7
DEU-AXPD-v1,FreeSpriteTiles,0x000014E8,28,e5f37309ad2cd9bf13d4cb50f6c15608e58ae5e5df609667f0716b06561c827c
DEU-AXPD-v1,FreeSpritePalette,0x00001504,16,ba3d15726dc9be811a2528138b9e7301f7a148a9fbed6cd82a342d9cf164c006
DEU-AXPD-v1,FreeSpriteOamMatrix,0x00001514,44,7c604f27bc91ea4a39be0587597323a66fc70dcfdb347d49a9bd4ddea50d8669
DEU-AXPD-v1,DestroySpriteAndFreeResources,0x00001540,32,85c8b9d314bd5c6fa69cec4ff69cbd66200397a66a5cc43b3a6f9dffebe0223c
EUR-AXPE-v1,AllocSpriteTiles,0x00001084,284,61804c9455a58c22c639fe6c13f1d95f7f2fad85635edee3359bde5358646d0f
EUR-AXPE-v1,SpriteTileAllocBitmapOp,0x000011A0,112,052ad0b238f8d24426769b357e9b943d27f094c195400071c2967e4909527b43
EUR-AXPE-v1,SpriteCallbackDummy,0x00001210,4,6c1871acd4bd9950e81b2850fac7ddd44f28500d6bba63991c2599234ddbe61c
EUR-AXPE-v1,ProcessSpriteCopyRequests,0x00001214,92,8bb363bd3986ffb2141b16b6435b73e327004996ce524ef40269ada46d52337d
EUR-AXPE-v1,RequestSpriteFrameImageCopy,0x00001270,100,c0a7b661f5852d9062a42db42e7d1b1f410d58d5a86aceea2f0717757d6f85da
EUR-AXPE-v1,RequestSpriteCopy,0x000012D4,80,1ad6f155c04e4fb71e3288c0f9d60c3ad071e5f0d67b5174e99a8485e9956dc5
EUR-AXPE-v1,CopyFromSprites,0x00001324,40,ccc5f95aa65979c071d28b4a72d2a0fa498a843d37e99730ebdf313692910db0
EUR-AXPE-v1,CopyToSprites,0x0000134C,40,2ec3b0a823abf0eab5f717d50c22382d034ee15a177cf70da18ba32c577898b7
EUR-AXPE-v1,ResetAllSprites,0x00001374,64,65a1a6b00360f9d696db8801d447115fff23c5c4286e36e690451513ede13963
EUR-AXPE-v1,FreeSpriteTiles,0x000013B4,28,e5f37309ad2cd9bf13d4cb50f6c15608e58ae5e5df609667f0716b06561c827c
EUR-AXPE-v1,FreeSpritePalette,0x000013D0,16,ba3d15726dc9be811a2528138b9e7301f7a148a9fbed6cd82a342d9cf164c006
EUR-AXPE-v1,FreeSpriteOamMatrix,0x000013E0,44,7c604f27bc91ea4a39be0587597323a66fc70dcfdb347d49a9bd4ddea50d8669
EUR-AXPE-v1,DestroySpriteAndFreeResources,0x0000140C,32,85c8b9d314bd5c6fa69cec4ff69cbd66200397a66a5cc43b3a6f9dffebe0223c
USA-AXPE-v0,AllocSpriteTiles,0x00001084,284,61804c9455a58c22c639fe6c13f1d95f7f2fad85635edee3359bde5358646d0f
USA-AXPE-v0,SpriteTileAllocBitmapOp,0x000011A0,112,052ad0b238f8d24426769b357e9b943d27f094c195400071c2967e4909527b43
USA-AXPE-v0,SpriteCallbackDummy,0x00001210,4,6c1871acd4bd9950e81b2850fac7ddd44f28500d6bba63991c2599234ddbe61c
USA-AXPE-v0,ProcessSpriteCopyRequests,0x00001214,92,6e7c3490a0d885979786bf5c03cfacdd57277e7c97c89dab964feb4cc17322c4
USA-AXPE-v0,RequestSpriteFrameImageCopy,0x00001270,100,c0a7b661f5852d9062a42db42e7d1b1f410d58d5a86aceea2f0717757d6f85da
USA-AXPE-v0,RequestSpriteCopy,0x000012D4,80,1ad6f155c04e4fb71e3288c0f9d60c3ad071e5f0d67b5174e99a8485e9956dc5
USA-AXPE-v0,CopyFromSprites,0x00001324,40,ccc5f95aa65979c071d28b4a72d2a0fa498a843d37e99730ebdf313692910db0
USA-AXPE-v0,CopyToSprites,0x0000134C,40,2ec3b0a823abf0eab5f717d50c22382d034ee15a177cf70da18ba32c577898b7
USA-AXPE-v0,ResetAllSprites,0x00001374,64,fd902d963f3a83806ce4e2d3962b55370663487995500bf487bff3332dabb4c8
USA-AXPE-v0,FreeSpriteTiles,0x000013B4,28,e5f37309ad2cd9bf13d4cb50f6c15608e58ae5e5df609667f0716b06561c827c
USA-AXPE-v0,FreeSpritePalette,0x000013D0,16,ba3d15726dc9be811a2528138b9e7301f7a148a9fbed6cd82a342d9cf164c006
USA-AXPE-v0,FreeSpriteOamMatrix,0x000013E0,44,7c604f27bc91ea4a39be0587597323a66fc70dcfdb347d49a9bd4ddea50d8669
USA-AXPE-v0,DestroySpriteAndFreeResources,0x0000140C,32,85c8b9d314bd5c6fa69cec4ff69cbd66200397a66a5cc43b3a6f9dffebe0223c
USA-EUR-AXPE-v2,AllocSpriteTiles,0x00001084,284,61804c9455a58c22c639fe6c13f1d95f7f2fad85635edee3359bde5358646d0f
USA-EUR-AXPE-v2,SpriteTileAllocBitmapOp,0x000011A0,112,052ad0b238f8d24426769b357e9b943d27f094c195400071c2967e4909527b43
USA-EUR-AXPE-v2,SpriteCallbackDummy,0x00001210,4,6c1871acd4bd9950e81b2850fac7ddd44f28500d6bba63991c2599234ddbe61c
USA-EUR-AXPE-v2,ProcessSpriteCopyRequests,0x00001214,92,8bb363bd3986ffb2141b16b6435b73e327004996ce524ef40269ada46d52337d
USA-EUR-AXPE-v2,RequestSpriteFrameImageCopy,0x00001270,100,c0a7b661f5852d9062a42db42e7d1b1f410d58d5a86aceea2f0717757d6f85da
USA-EUR-AXPE-v2,RequestSpriteCopy,0x000012D4,80,1ad6f155c04e4fb71e3288c0f9d60c3ad071e5f0d67b5174e99a8485e9956dc5
USA-EUR-AXPE-v2,CopyFromSprites,0x00001324,40,ccc5f95aa65979c071d28b4a72d2a0fa498a843d37e99730ebdf313692910db0
USA-EUR-AXPE-v2,CopyToSprites,0x0000134C,40,2ec3b0a823abf0eab5f717d50c22382d034ee15a177cf70da18ba32c577898b7
USA-EUR-AXPE-v2,ResetAllSprites,0x00001374,64,65a1a6b00360f9d696db8801d447115fff23c5c4286e36e690451513ede13963
USA-EUR-AXPE-v2,FreeSpriteTiles,0x000013B4,28,e5f37309ad2cd9bf13d4cb50f6c15608e58ae5e5df609667f0716b06561c827c
USA-EUR-AXPE-v2,FreeSpritePalette,0x000013D0,16,ba3d15726dc9be811a2528138b9e7301f7a148a9fbed6cd82a342d9cf164c006
USA-EUR-AXPE-v2,FreeSpriteOamMatrix,0x000013E0,44,7c604f27bc91ea4a39be0587597323a66fc70dcfdb347d49a9bd4ddea50d8669
USA-EUR-AXPE-v2,DestroySpriteAndFreeResources,0x0000140C,32,85c8b9d314bd5c6fa69cec4ff69cbd66200397a66a5cc43b3a6f9dffebe0223c
FRA-AXPF-v1,AllocSpriteTiles,0x000011B8,284,61804c9455a58c22c639fe6c13f1d95f7f2fad85635edee3359bde5358646d0f
FRA-AXPF-v1,SpriteTileAllocBitmapOp,0x000012D4,112,052ad0b238f8d24426769b357e9b943d27f094c195400071c2967e4909527b43
FRA-AXPF-v1,SpriteCallbackDummy,0x00001344,4,6c1871acd4bd9950e81b2850fac7ddd44f28500d6bba63991c2599234ddbe61c
FRA-AXPF-v1,ProcessSpriteCopyRequests,0x00001348,92,b569bd926ec26272e0998a38968cb7beb2172147562e56936ccbf276d9d3dfb2
FRA-AXPF-v1,RequestSpriteFrameImageCopy,0x000013A4,100,c0a7b661f5852d9062a42db42e7d1b1f410d58d5a86aceea2f0717757d6f85da
FRA-AXPF-v1,RequestSpriteCopy,0x00001408,80,1ad6f155c04e4fb71e3288c0f9d60c3ad071e5f0d67b5174e99a8485e9956dc5
FRA-AXPF-v1,CopyFromSprites,0x00001458,40,ccc5f95aa65979c071d28b4a72d2a0fa498a843d37e99730ebdf313692910db0
FRA-AXPF-v1,CopyToSprites,0x00001480,40,2ec3b0a823abf0eab5f717d50c22382d034ee15a177cf70da18ba32c577898b7
