path	size	sha256
REPORTS/WHITE-W5-COMPLETE-DECONSTRUCTION.md	7020	fd58bfc28846137349462b90886537433f4a628cceb75c6e5eb708df07369425
SUMMARY.json	91739	9051debbeeb5ede47655d1b78f5bc6cab36dab5985e01c3a240f466e04498fe9
UNRESOLVED.tsv	968	6f27f65fb0b071ad20032ffd59e7dbc1e486752a2775f5622dce122897e30ccb
domains/battle/moves.tsv	81471	d394ded89ec83441f8039396282c0990174d47fe1bb7a70e83f67628c187eac3
domains/field/encounter_rates.tsv	3446	a098e0e0d93ea2d416b4bc6cc84ebe1358a9ebe51261ec67c7e01405326b470d
domains/field/encounter_slots.tsv	281135	7d891f95db45e43be909ac174eada3fea9864550a70093f64bfa92d4a25ef891
domains/field/entity_member_tails.tsv	48322	c61b3d8f3dd240051adad484cdd685c911991b70fe62c2ae63291b2785056f64
domains/field/furniture.tsv	45093	5eba83eaf6f0982301a49a817026066c8d80697a32a9a555d099a8195dbdc4df
domains/field/initialization_script_refs.tsv	4668	45a16193a89edd1a8b18dd0f0f83971ae338645fb23aa44e058f0ea7bed621d2
domains/field/npcs.tsv	276575	da822a888e95d8767325511d17ad8e280b3bff6349c2fd97d39d65450efafb03
domains/field/trigger_related.tsv	1449	cdfbe639dc9c215bb4cfa489274b786f3d3e2441d2bc3614fb30cd66daa44375
domains/field/triggers.tsv	30301	6392abd81123efc9d83e0fd8966a9757e79738a4fbcefed25f6329d4b95f5f59
domains/field/warps.tsv	67457	76be5382f0851ad634986dbe3639b2793d5d0d3b13b3b39c66f405a8f7eff15d
domains/field/zone_join_graph.tsv	22025	4e4ce653aef0f83bfcd5d45c5c6011ecf2ee8e58fc66e2e876549b984e2702bc
domains/field/zones.tsv	126410	e0438676020afd447f26cd6395d5acfb249a861557fa9e719409d128b0d2cc8d
domains/items/items_raw.tsv	101765	fd30d74aeca7fdf96eb661aa225555a0a6412d01f83406f6f528b4d20bfd82ab
domains/pokemon/base_species.tsv	5658	59bb173e9d3e8b4c22bb481c0ea2e545ad8ada9295844688880af38d36c9e388
domains/pokemon/egg_moves.tsv	29832	2363ad41ea653ce7d87a182da148c5d71058c2ff59cf86e547ad80a3c2d05485
domains/pokemon/evolutions.tsv	5080	370dda2f4ed470b2e2c9afcf8814c21a1342fbca1b014214345b40661ebca302
domains/pokemon/growth_tables.tsv	9780	34b44a4dda536392d3119b7bf537c19a86377f20fa302af28cc474449b5ef622
domains/pokemon/levelup_learnsets.tsv	238304	7283d2c7ca536921a7eacf5264e3e6fd1fef1383036471dbe2b87ef5284d54e7
domains/pokemon/personal.tsv	132423	d9e377383cd276d60bb764043141ba9ea5586468db1bdf6368ef88e02c3c9540
domains/pokemon/unova_dex_map.tsv	5652	b8a96a6f194b093be50ee571ca401a9f01bef806cb47b20abac4d9ccc8d5c50c
domains/scripts/script_members.tsv	137315	127fe3e5e6884a26a85e9a039eb50aa7d026a55b323e6aa9198012866c9149c8
domains/scripts/script_pointers.tsv	251955	dbc6a9d767b22f56b6d02593cc6be3c2b904b2d6cc0ef020845156db13e06e02
domains/text/known_banks.tsv	2639	5d2d6ce2cd7ba3301fae365917466e3c1d97c42fc473e121166f461118d310e3
domains/text/story_field_strings.tsv	860376	5e564934b1c0cfe7af5c90bd79316101f78be5452f3373213c271f7928cee209
domains/text/system_strings.tsv	1982373	6c753360409a45ddb7d2a9f5c37d8c3ae6ea2fb810e85c562c66a355d76dd752
domains/text/text_member_catalog.tsv	121932	ea5ebd907ba94c1264dfa551f966e57afa0235458f63e1e47164760f3a83659d
domains/trainers/trdata.tsv	30107	b73a355039a5791093e572078ec0d30ebf7bfbd93ae2161ce65923eaffc68535
domains/trainers/trpoke_raw.tsv	56229	7693f33e675806514e6ceb74398b96f90fc6e398ebb2ebe5161ac8ac743f4bd5
identity.json	1102	3669e8f993ab90ed1f8306238e6748e98278da2eb35ab36aa22413ef24fcd4f5
native/arm9_overlays.tsv	34895	3223f3acf7fb6431b42ca3b62ea243449e2bf12888b39c12894ee8df86ccc12f
native/narc_archives.tsv	159444	ec2051922e56bb4c6eb9c8e7bcd04c9230aa729112715a5720ad336585446962
native/narc_members.tsv	5105840	4aad418e88961c7acb4911bba0f35ac6f0e2f8b9c2ef14404933d36e5ed03955
native/nitrofs_files.tsv	70559	60b2a31bafbd7eceea5b6ad56405d4fb7a59c4b2e276844cce0252ef3b524274
native/physical_regions.tsv	653	830e46eed1b473c7a1686f5067749b2dfbbc02694d97a4dcf1237d63e3dbf7e1
