target,generation,file,size,sha1,cart_type,rom_size_code,ram_size_code,save_hardware,direct_rom_observation
Gold_KR,2,Pocket Monsters Geum (Korea).gbc,2097152,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,0x10,0x06,0x03,32 KiB,GBC cartridge header
Silver_KR,2,Pocket Monsters Eun (Korea).gbc,2097152,cb22d7e03a74dc3a563fde6be8626626b2b392e7,0x10,0x06,0x03,32 KiB,GBC cartridge header
Crystal_JP,2,Pocket Monsters - Crystal Version (Japan).gbc,2097152,95127b901bbce2407daf43cce9f45d4c27ef635d,0x10,0x06,0x05,64 KiB,GBC cartridge header
Crystal_EN_RevA,2,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",2097152,f2f52230b536214ef7c9924f483392993e226cfb,0x10,0x06,0x03,32 KiB,GBC cartridge header
Ruby_JP,3,Pocket Monsters - Ruby (Japan).gba,8388608,5c5e546720300b99ae45d2aa35c646c8b8ff5c56,,,,FLASH1M_V signature @ 0x654F18,GBA ROM save-library signature
Ruby_EN_Rev2,3,"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",16777216,5b64eacf892920518db4ec664e62a086dd5f5bc8,,,,FLASH1M_V signature @ 0x6B07AC,GBA ROM save-library signature
Sapphire_JP,3,Pocket Monsters - Sapphire (Japan).gba,8388608,3233342c2f3087e6ffe6c1791cd5867db07df842,,,,FLASH1M_V signature @ 0x654F00,GBA ROM save-library signature
Sapphire_EN_Rev2,3,"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",16777216,89b45fb172e6b55d51fc0e61989775187f6fe63c,,,,FLASH1M_V signature @ 0x6B080C,GBA ROM save-library signature
Emerald_JP,3,Pocket Monsters - Emerald (Japan).gba,16777216,d7cf8f156ba9c455d164e1ea780a6bf1945465c2,,,,FLASH1M_V signature @ 0x90ED44,GBA ROM save-library signature
Emerald_EN,3,"Pokemon - Emerald Version (USA, Europe).gba",16777216,f3ae088181bf583e55daf962a92bb46f4f1d07b7,,,,FLASH1M_V signature @ 0x9A30C0,GBA ROM save-library signature
FireRed_JP_Rev1,3,Pocket Monsters - Fire Red (Japan) (Rev 1).gba,16777216,7c7107b87c3ccf6e3dbceb9cf80ceeffb25a1857,,,,FLASH1M_V signature @ 0x6BC350,GBA ROM save-library signature
FireRed_EN_Rev1,3,"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",16777216,c4d0119d9bcb36687f41a8f7ca72ab7af60558e4,,,,FLASH1M_V signature @ 0x6FBF74,GBA ROM save-library signature
LeafGreen_JP,3,Pocket Monsters - Leaf Green (Japan).gba,16777216,5946f1b59e8d71cc61249661464d864185c92a5f,,,,FLASH1M_V signature @ 0x6C0998,GBA ROM save-library signature
LeafGreen_EU_Rev1,3,Pokemon - Leaf Green Version (Europe) (Rev 1).gba,16777216,7862c67bdecbe21d1d69ce082ce34327e1c6ed5e,,,,FLASH1M_V signature @ 0x6FB860,GBA ROM save-library signature
