bank_hex,offset_hex,equal,differing_bytes,gold_sha1,silver_sha1
00,000000,False,17,c4663c8a646657dcc0b96722f0976432958a2243,59f72dba5fad85ee31c3d0c419d0e25d619d7e26
01,004000,False,4415,2ba1a3f5d8ef856440749ad95b4f48e77fcf51c6,ba4b431fdd955dcdb737d67dcf37345efdc19241
02,008000,False,79,b709d204ec8197b86dd86f4d51cd9f50c011fc71,1369015e017c5372c4b3138c4161b674167c51ab
03,00C000,False,21,060a3076b60cb18da5a9170efc263e3beeb2c4f8,0165fd7eef42cb9726fcb3adcc1e1a38f1c81c65
04,010000,False,9,24cc12bf9cf03b896e86f95f80bbba7449729f01,76abcb943f7a92ce63ff5f61ceb419f55368c973
05,014000,False,1,ec743fe335991da33f51449863b5a6212ccf3031,6ca51cdc06bd751e9cdd95d41a454bd14ece82dc
06,018000,True,0,efbe01666cb20748c4d3686068320a001156c6e7,efbe01666cb20748c4d3686068320a001156c6e7
07,01C000,True,0,0ba71d034c808e602fc23c7de4f46a9d7af2f553,0ba71d034c808e602fc23c7de4f46a9d7af2f553
08,020000,True,0,13d52e5556da9b93b707c72885eb1ae3261505e9,13d52e5556da9b93b707c72885eb1ae3261505e9
09,024000,False,1,5d26c70bc5d911026238427875b2313686acf413,92cc70d7ec603ec0c97c31072ef13c3ba3435f1e
0A,028000,False,274,f827aa31d651f79d6831d3f3ae89e60fa95f406f,a9910702362027ff55f871bcbf2a9beee853872b
0B,02C000,False,2,6d07965906567b57ec64aad5afb53599b3480bbd,72d3e510864499282c45d1e21098c58728f035b5
0C,030000,True,0,dcf5777c6f8295847a8ff24f2512aa4376d83152,dcf5777c6f8295847a8ff24f2512aa4376d83152
0D,034000,False,1,47a31eee6bc6e9e0e1cf44844cc8e40f253cf9b4,94b7e44d0b87e230857915b8af97b5170eb5b93a
0E,038000,True,0,675013824c9a4433d0a374e83850fe658e15ddc5,675013824c9a4433d0a374e83850fe658e15ddc5
0F,03C000,False,5,b1dc020ccc1d70ddd25b29ec814e08c2ca1b0510,aeb20d8513574bb40c2ae949665a41c8ad695637
10,040000,True,0,6a91efbd1a02e915248b98955c5fd3814249aba0,6a91efbd1a02e915248b98955c5fd3814249aba0
11,044000,False,289,afaebc6cf42b9c38a17959ecee532a90e462d457,0541b17fa77137964580ad0f491fd31e1c80288e
12,048000,False,15801,b65c28dde3ecbbcbbc223b42416f7e8826aea84d,b39c216d4498a7ad792bff8bff062b8dc47d3284
13,04C000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
14,050000,False,5,de7858876711a09aa1c8bc3f098172cb3eb48ce1,5da6817fe4b00b7b5fb8cc2781ea61c04049ca53
15,054000,False,16160,0a6ca06f1a533b3c3845cd0e9982d0699c8f3424,e0bb62db34e1aeae7badbcff2f3614913d5ee470
16,058000,False,16134,3f98bcc7c85af26f069c2f56ecba9916bc94a5f5,f358f5fe7c3cbbada5baa27f3a2e2fc8b875aebc
17,05C000,False,16125,cf7baab77197097c7ed98e259eff863f843b0728,fb125f682cfbe8c6cc76c081de7c31b0988ac389
18,060000,False,16046,538533e53fce2678d1bf3f21cc4455ef6290ab92,177aad8f74c6744c859a816cd7478b81c17b5ecd
19,064000,False,16081,e5f402342da3d6bfcff0e310f10d51540247a410,ea283f0e547e70a426b135642d5d2a5030d0b335
1A,068000,False,16079,888932a8543366177745272a3cf27a384120fd5a,d287a53b1422ec9afec9943f91ed5963a81afe4f
1B,06C000,False,16127,4261b2e228ddc4d1249b6a5e7d45ed21a1aba5e5,fb5b86f0b3b14a5a61ab8e78a5d489500cd7707d
1C,070000,False,15745,5e5127de41054b462500695f632931ff93d510e7,00381a509e72100613e935ea2c0f95172cf5fa38
1D,074000,False,16121,5b61fbe83de9575bf926f2191eac83b7db8e8966,36d884497b649d0cae9ae1b963401d41481136c2
1E,078000,False,16097,41f722e88a8a8563bb35881678a4241e0e95d4fe,34ec88572889a4b372258f83ab55c267110da907
1F,07C000,False,15529,60a0aac6f84e436583ba4b8424f67c80ea8644db,5ec81487f93904cac580539a588bffed16ef177c
20,080000,False,16086,950ad30b853d5587c687440b1b991553d3263eed,620a42843373f5577cc7cde11de75da2fa865c4c
21,084000,False,26,5b9740f35b6d29b283f586120b74dc1bb5506ca0,b5f1241e49f83a9bceb318013d3ea8b02ca59877
22,088000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
23,08C000,False,9359,c0884aad2a81628f96717c1350959f365e8d0bdf,83b95970a0fa4ac894888d973b63ea17bb5bf3e7
24,090000,False,1,ccc8645d397f2631e51cecb8acaa28d6c989e93e,9ae7e1ea582565c6e449b2b5e0913084b41ecc7b
25,094000,False,7,90397b8f335e29c745f86f8304d0c00b0e9d818a,142c349d7d47457815caa6c6386556afda35178a
26,098000,False,1030,d3ef89a88999dccef0952273fed9272ad04a625a,1040c3433fd6aa1d09d819d78bffa2fe2887e2f3
27,09C000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
28,0A0000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
29,0A4000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
2A,0A8000,True,0,ab92aa28bb7fa3a0daf96b184a25270814eeedd6,ab92aa28bb7fa3a0daf96b184a25270814eeedd6
