bank,address,symbol,kind,source
20,4000,TrainerPicPointers,data,pret/pokegold symbols
21,4000,Printer_StartTransmission,code,pret/pokegold symbols
21,442C,PrintDexEntry,code,pret/pokegold symbols
21,44BC,PrintPCBox,code,pret/pokegold symbols
21,4560,PrintUnownStamp,code,pret/pokegold symbols
21,45D4,PrintMailAndExit,code,pret/pokegold symbols
21,4616,PrintPartymon,code,pret/pokegold symbols
21,4684,_PrintDiploma,code,pret/pokegold symbols
21,640A,HallOfFame,code,pret/pokegold symbols
21,6446,RedCredits,code,pret/pokegold symbols
21,6632,_HallOfFamePC,code,pret/pokegold symbols
23,4000,SaveMenu_CopyTilemapAtOnce,code,pret/pokegold symbols
23,40B9,PhoneRing_CopyTilemapAtOnce,code,pret/pokegold symbols
23,417A,_ResetClock,code,pret/pokegold symbols
23,4310,_DeleteSaveData,code,pret/pokegold symbols
23,4356,UpdateTimeOfDayPal,code,pret/pokegold symbols
23,4366,_TimeOfDayPals,data,pret/pokegold symbols
23,4397,_UpdateTimePals,code,pret/pokegold symbols
23,43A0,FadeInFromWhite,code,pret/pokegold symbols
23,43AB,FadeOutToWhite,code,pret/pokegold symbols
23,43E9,ReplaceTimeOfDayPals,code,pret/pokegold symbols
23,4A5E,PlayWhirlpoolSound,code,pret/pokegold symbols
23,4BB8,OWCutAnimation,code,pret/pokegold symbols
23,5174,ClearSpriteAnims,code,pret/pokegold symbols
23,5183,PlaySpriteAnimationsAndDelayFrame,code,pret/pokegold symbols
23,518A,PlaySpriteAnimations,code,pret/pokegold symbols
23,519B,DoNextFrameForAllSprites,code,pret/pokegold symbols
23,51C9,DoNextFrameForFirst16Sprites,code,pret/pokegold symbols
23,66FD,AnimateEndOfExpBar,code,pret/pokegold symbols
23,6774,ClearSpriteAnims2,code,pret/pokegold symbols
23,678B,LoadOverworldMonIcon,code,pret/pokegold symbols
23,679F,LoadMenuMonIcon,code,pret/pokegold symbols
23,688F,GetSpeciesIcon,code,pret/pokegold symbols
23,68FB,FreezeMonIcons,code,pret/pokegold symbols
23,6922,UnfreezeMonIcons,code,pret/pokegold symbols
23,693D,HoldSwitchmonIcon,code,pret/pokegold symbols
23,7DBE,InitDisplayForHallOfFame,code,pret/pokegold symbols
23,7DFF,InitDisplayForRedCredits,code,pret/pokegold symbols
24,4000,AddPhoneNumber,code,pret/pokegold symbols
24,400F,DelCellNum,code,pret/pokegold symbols
24,4019,CheckCellNum,code,pret/pokegold symbols
24,4074,CheckPhoneCall,code,pret/pokegold symbols
24,413E,CheckSpecialPhoneCall,code,pret/pokegold symbols
24,4298,PhoneCall,code,pret/pokegold symbols
24,42D7,Phone_NoSignal,code,pret/pokegold symbols
24,42DF,HangUp,code,pret/pokegold symbols
24,437E,CheckCanDeletePhoneNumber,code,pret/pokegold symbols
24,4414,GetCallerLocation,code,pret/pokegold symbols
24,4641,InitClock,code,pret/pokegold symbols
24,4B0F,PrintHour,code,pret/pokegold symbols
24,4B5E,PokeGear,code,pret/pokegold symbols
24,4D0B,AnimatePokegearModeIndicatorArrow,code,pret/pokegold symbols
24,55FF,AnimateTuningKnob,code,pret/pokegold symbols
24,57CA,RadioMusicRestartDE,code,pret/pokegold symbols
24,57DE,RadioMusicRestartPokemonChannel,code,pret/pokegold symbols
24,588A,_TownMap,code,pret/pokegold symbols
24,59C1,PlayRadio,code,pret/pokegold symbols
24,5A4F,PokegearMap,code,pret/pokegold symbols
24,5A61,_FlyMap,code,pret/pokegold symbols
24,5E74,TownMapPals,data,pret/pokegold symbols
24,7772,Slots_AnimateGolem,code,pret/pokegold symbols
24,7801,Slots_AnimateChansey,code,pret/pokegold symbols
25,4000,MapScenes,data,pret/pokegold symbols
25,40ED,MapGroupPointers,data,pret/pokegold symbols
25,65F9,OverworldLoop,code,pret/pokegold symbols
25,6619,EnableEvents,code,pret/pokegold symbols
25,6B89,EnableScriptMode,code,pret/pokegold symbols
25,6B91,ScriptEvents,code,pret/pokegold symbols
25,7365,CallCallback,code,pret/pokegold symbols
25,7A80,LoadMemScript,code,pret/pokegold symbols
25,7B2E,CanEncounterWildMon,code,pret/pokegold symbols
25,7B62,ChooseWildEncounter_BugContest,code,pret/pokegold symbols
25,7BE4,DoBikeStep,code,pret/pokegold symbols
25,7C2A,ClearCmdQueue,code,pret/pokegold symbols
25,7C39,HandleCmdQueue,code,pret/pokegold symbols
25,7C62,WriteCmdQueue,code,pret/pokegold symbols
25,7C8D,DelCmdQueue,code,pret/pokegold symbols
2E,6300,CheckForHiddenItems,code,pret/pokegold symbols
2E,6ECA,ReadPartyMonMail,code,pret/pokegold symbols
2E,6ED8,ReadAnyMail,code,pret/pokegold symbols
2E,7AED,ItemIsMail,code,pret/pokegold symbols
