game,platform,release_id,dump_id,filename,size,md5,sha1,sha256,crc32,title,header_version,destination,cgb_flag,sgb_flag,cart_type,rom_size_code,ram_size_code,header_checksum_valid,global_checksum_valid
RED,GB,JP-JA-HV0,DUMP-SHA256-392CE450D708C8D1,Pocket Monsters - Aka (Japan) (SGB Enhanced).gb,524288,912d4f77d118390a2e2c42b2016a19d4,0623ad12f48c259447980d68bd85ddbf8204b2cd,392ce450d708c8d127aaed7afc20001a48625bd83a5fa5325be82f5c0972ccfa,13652705,POKEMON RED,0,0,0x00,0x03,0x03,0x04,0x03,True,True
RED,GB,JP-JA-HV1,DUMP-SHA256-751ABB1FB2B2D6B9,Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,524288,4c44844f8d5aa3305a0cf2c95cf96333,ef74c79cded14204ac79e77f4964d9cb25003120,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,b77be1e0,POKEMON RED,1,0,0x00,0x03,0x03,0x04,0x03,True,True
RED,GB,US-EU-EN-HV0,DUMP-SHA256-5CA7BA01642A3B27,"Pokemon - Red Version (USA, Europe) (SGB Enhanced).gb",1048576,3d45c1ee9abd5738df46d2bdda8b57dc,ea9bcae617fdf159b045185467ae58b2e4a48b9a,5ca7ba01642a3b27b0cc0b5349b52792795b62d3ed977e98a09390659af96b7b,9f7fdd53,POKEMON RED,0,1,0x00,0x03,0x13,0x05,0x03,True,True
GREEN,GB,JP-JA-HV0,DUMP-SHA256-6576B4E0979E93D4,Pocket Monsters - Midori (Japan) (SGB Enhanced).gb,524288,e30ffbab1f239f09b226477d84db1368,82c0eef40a5e2423699d9fd8ba15dfaa8b51d196,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,baeacd2b,POKEMON GREEN,0,0,0x00,0x03,0x03,0x04,0x03,True,True
GREEN,GB,JP-JA-HV1,DUMP-SHA256-3F0DC460CA8D06BE,Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,524288,16ddd8897092936fbc0e286c6a6b23a2,4b97cd44aa3f0dd290bfe7b3ac17b7bd8270897b,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,37ae8dc4,POKEMON GREEN,1,0,0x00,0x03,0x03,0x04,0x03,True,True
BLUE,GB,JP-JA-HV0,DUMP-SHA256-71A70E5F77C10917,Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,524288,c1adf0a77809ac91d905a4828888a2f0,0da501e3e5c51ab8fef55b092dcdd7e6b050e424,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,e4468d14,POKEMON BLUE,0,0,0x00,0x03,0x03,0x04,0x03,True,True
BLUE,GB,US-EU-EN-HV0,DUMP-SHA256-2A951313C2640E8C,"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",1048576,50927e843568814f7ed45ec4f944bd8b,d7037c83e1ae5b39bde3c30787637ba1d4c48ce2,2a951313c2640e8c2cb21f25d1db019ae6245d9c7121f754fa61afd7bee6452d,d6da8a1a,POKEMON BLUE,0,1,0x00,0x03,0x13,0x05,0x03,True,True
YELLOW,GB,JP-JA-HV0,DUMP-SHA256-09A083624C4F84CC,Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1048576,aa13e886a47fd473da63b7d5ddf2828d,1fb6c264e950d97ce3fd99b347e485b2150df4ff,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,4ec85504,POKEMON YELLOW,0,0,0x00,0x03,0x13,0x05,0x03,True,True
YELLOW,GB,JP-JA-HV1,DUMP-SHA256-1ACAB20D1AA3E19C,Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,1048576,96c1f411671b6e1761cf31884dde0dbb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,1acab20d1aa3e19c081abaac3e303c4cf3e582213937acbf25942b31c28aecfe,a2545d33,POKEMON YELLOW,1,0,0x00,0x03,0x13,0x05,0x03,True,True
YELLOW,GB,JP-JA-HV2,DUMP-SHA256-2C67561F6B2DE4CA,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,1048576,5d9c071cf6eb5f3a697bbcd9311b4d04,91864ecdf26d1c593bde4d9ed615520eb57d5e41,2c67561f6b2de4ca3a1150f04dc736aead4bf7b5a98ce38196cef899a91be2fd,fd3da7ff,POKEMON YELLOW,2,0,0x00,0x03,0x13,0x05,0x03,True,True
YELLOW,GB,JP-JA-HV3,DUMP-SHA256-1349408F328F633B,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,1048576,90ae2ea218f8e21afa678c6a4e7b6013,a40298a8123613ee60cd7aab204d788b8425976e,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,e9e6483a,POKEMON YELLOW,3,0,0x00,0x03,0x13,0x05,0x03,True,True
YELLOW,GBC,US-EU-EN-HV0,DUMP-SHA256-8CBAA499397E4F1A,"Pokemon - Yellow Version (USA, Europe).gbc",1048576,d9290db87b1f0a23b89f99ee4469e34b,cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,8cbaa499397e4f1a679c992ea9382a2dd7942ab398b48c19829c2d9529de47bf,7d527d62,POKEMON YELLOW,0,1,0x80,0x03,0x1B,0x05,0x03,True,True
