bank_hex,start_offset_hex,end_offset_hex,different_bytes,difference_percent,rev_0_sha256,rev_a_sha256,identical
00,000000,003FFF,13109,80.010986,979077c1267386064f5a3fa42b7d3a8e668d2df0c3e06c6bae26fdb1247c6be7,8a76064d73a67d28ee674f93ed1c7d897615eaaec81ea2a30da5a9b0f11f4c79,False
01,004000,007FFF,11803,72.039795,c4247538d76f301363728e4a7f89190700432132451f33d89937ece3617c03c9,733b3b90429cc2366000c4da111618317281666291cab5368fdbe0ba3db4d00d,False
02,008000,00BFFF,18,0.109863,533b5a6c7533f6f3f40b5fc1d17ffba84b5b7583cada723fc1e3d42577692c55,f7800640200368d660701f1b43689f2bb92d3335f27f112935a324c15bfa4f42,False
03,00C000,00FFFF,366,2.233887,dfd68c0a8bc77fb0e16f1d079a38324d9b23623f5c3c7cbfadac8150026683de,5172ddc07d8459603df0086fe5b121b4313daa87478d590840e1ea53efe1ad07,False
04,010000,013FFF,233,1.422119,f77b18e01e1397725a57bc688231a5c52ed8dd628300dfa77764086b92f4c86a,1e93ad1cd0934d00f486996f7703e3d46883241ab3ca82cafcd44a129f5eff46,False
05,014000,017FFF,83,0.506592,dc051279962d56f656e9806f91b4607e9989c2a9cf7839a89e9a9f07816c8d35,5fb6466d542055cdcf9f4e9e829a61ae92841ed2831d13d50d7d147bdb9b1e3c,False
06,018000,01BFFF,348,2.124023,2c2edb33e8e53d73c432225f1901aba7298086afd1468a87e51454555d366cf1,61674fd3246d2990ecbf2a17a895d30362b5bad7efd39d7023e146d402cb16aa,False
07,01C000,01FFFF,560,3.417969,3f7b33a64a54438d98db710ffa313171927eda4d30f4c75b17cce22a15e77268,dc9359cea78181f434660f396be5e0ced9ab083a65a4d8769af26c837b497c85,False
08,020000,023FFF,60,0.366211,946c2e747f7735488c86982d3e6fa15c887240e80b0e84c25858b285d28779a1,a8be2124fb91a90310a7b852020dbffa6d54c5ada7e8ef7d0e6dc200e12dbfbe,False
09,024000,027FFF,519,3.167725,73b926764a8fab48eee70990edf41cce53b112705bdb3d97014f96a6bfa002bf,92f26eab1015a9579e43f48803fd418ee4798b7f92d5218e7b48e1e762b5cfc8,False
0A,028000,02BFFF,14,0.085449,bb56ce96522f1ced9056016e80fe4599a5e829ab181f29ac1009c755c75a2715,2db55460431594ee855e9603102f13c31faae88c1f043dce03ac30f5b90573ca,False
0B,02C000,02FFFF,13,0.079346,3b8ed6da57fb5894d08a755023d5eb12c70c8d879bba218a10c56d3b73476bf1,c5fb1d70772169363d8a66541a1e38cdb70a7ca3da6ff1f7a0007c76328b240f,False
0C,030000,033FFF,32,0.195312,4d82057e843087d79f709150091cb8b19e2c902ecd1da390fc7c51e8a4447cc5,929ac90ea76ad841d288fc4648596559d5c0839ddf42707b4485815bb7cd8d96,False
