family,pokemon_id,species_number,resource_id,config_form_index,config_variant_index,game_form,game_gender,normal_shiny_role,icon_path,animation_name_count,animation_file_count,animation_names_sha256,has_default_wait,has_battle_wait,has_attack,has_damage,has_eye_track,has_mouth_track,source_config_path,source_config_sha256,source_repo,source_commit,source_status,canonical_source_status,consistency_flags
SCVI,pm0000,0,pm0000_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0000_00_00_00_big.png,3,6,034e9a21c0311ddf8bbe4768df5523e9d118327b8a7076aa0aa114e48de10814,True,False,False,False,False,False,assets/local/configs/SCVI/pm0000.json,d79fd565f7b1dc45a6beacc68a1b14c96ce9a00356ad51126f1f7c4db081ee87,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
SCVI,pm0001,1,pm0001_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0001_00_00_00_big.png,46,92,5a9f1b52282756f578da62961c34c91c76fa2976b69f4c828615a1aa07a9ec65,True,True,True,True,True,True,assets/local/configs/SCVI/pm0001.json,1998fa822fd0caf58c7b43f66b5ede3ea95418704d09483ecc50d9d4bf534bc0,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
SCVI,pm0002,2,pm0002_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0002_00_00_00_big.png,49,98,ec974bec80ed07a54924175cca7d753c2ad2709e2f07aebdfd99fa333b328ad3,True,True,True,True,True,True,assets/local/configs/SCVI/pm0002.json,c18603a1ae8c1a5b8fea7c7c4903befa9dbe51460c5e1c68d71c34429cf78736,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
SCVI,pm0003,3,pm0003_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0003_00_00_00_big.png,49,98,ec974bec80ed07a54924175cca7d753c2ad2709e2f07aebdfd99fa333b328ad3,True,True,True,True,True,True,assets/local/configs/SCVI/pm0003.json,6c69ca3000f7e2366ef4fc71acb6d5be3f831b151b55e2b9381843afd855e50f,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
SCVI,pm0003,3,pm0003_01_00,1,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0003_01_00_00_big.png,49,98,ec974bec80ed07a54924175cca7d753c2ad2709e2f07aebdfd99fa333b328ad3,True,True,True,True,True,True,assets/local/configs/SCVI/pm0003.json,6c69ca3000f7e2366ef4fc71acb6d5be3f831b151b55e2b9381843afd855e50f,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
SCVI,pm0004,4,pm0004_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0004_00_00_00_big.png,50,100,a0ac961578b78843dbe718fb984ea2713dc1fcb3fedce1142d5e4f58ee3be2f1,True,True,True,True,True,True,assets/local/configs/SCVI/pm0004.json,92c4434836aabd443f7037acd1c1655e685e7207fadebbfe3132be6d6bb42262,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
SCVI,pm0005,5,pm0005_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0005_00_00_00_big.png,50,100,a0ac961578b78843dbe718fb984ea2713dc1fcb3fedce1142d5e4f58ee3be2f1,True,True,True,True,True,True,assets/local/configs/SCVI/pm0005.json,1994686d8ea4f095d64f713f44bb75fbc9ee1eed1b26f153cd66ebea506a7c48,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
SCVI,pm0006,6,pm0006_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0006_00_00_00_big.png,83,166,06865535e2fe72663158758e9a443f4fdf95d7a4867a8fdf97a910653b362a64,True,True,True,True,True,True,assets/local/configs/SCVI/pm0006.json,d0144bc1db67d7339d9bd5a1490cb44a57b591980024816676abaf2c7aa471fc,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
SCVI,pm0007,7,pm0007_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0007_00_00_00_big.png,86,172,acf8f05a33d07ee35a3fc6067d9d03a9bf323af7bbd24d285c906d5e66efd136,True,True,True,True,True,True,assets/local/configs/SCVI/pm0007.json,29a545b9f917f5c528bc2f4f881923f0488344765d27fc0243b4263c9d1de183,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
SCVI,pm0008,8,pm0008_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0008_00_00_00_big.png,83,166,1425519ba0ad5b7ee642c83ab167aa19ad6d87647bfa8de213dc14c220ac21ae,True,True,True,True,True,True,assets/local/configs/SCVI/pm0008.json,f7ff06313ace8f95e1ad89a184b112c49e114f6cc7fea095d579f750a2209fb8,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
