family,version,address,label,instruction_count,byte_count
F001,DE-REV-0,0x0008,FarCall,1,3
F001,DE-REV-0,0x0040,VBlankVector,1,3
F001,DE-REV-0,0x0048,LCDVector,1,3
F001,DE-REV-0,0x0058,SerialVector,1,3
F001,DE-REV-0,0x0060,JoypadVector,1,3
F001,ES-REV-0,0x0008,FarCall,1,3
F001,ES-REV-0,0x0040,VBlankVector,1,3
F001,ES-REV-0,0x0048,LCDVector,1,3
F001,ES-REV-0,0x0058,SerialVector,1,3
F001,ES-REV-0,0x0060,JoypadVector,1,3
F001,FR-REV-0,0x0008,FarCall,1,3
F001,FR-REV-0,0x0040,VBlankVector,1,3
F001,FR-REV-0,0x0048,LCDVector,1,3
F001,FR-REV-0,0x0058,SerialVector,1,3
F001,FR-REV-0,0x0060,JoypadVector,1,3
F001,IT-REV-0,0x0008,FarCall,1,3
F001,IT-REV-0,0x0040,VBlankVector,1,3
F001,IT-REV-0,0x0048,LCDVector,1,3
F001,IT-REV-0,0x0058,SerialVector,1,3
F001,IT-REV-0,0x0060,JoypadVector,1,3
F001,JP-REV-0,0x0008,FarCall,1,3
F001,JP-REV-0,0x0040,VBlankVector,1,3
F001,JP-REV-0,0x0048,LCDVector,1,3
F001,JP-REV-0,0x0058,SerialVector,1,3
F001,JP-REV-0,0x0060,JoypadVector,1,3
F001,JP-REV-A,0x0008,FarCall,1,3
F001,JP-REV-A,0x0040,VBlankVector,1,3
F001,JP-REV-A,0x0048,LCDVector,1,3
F001,JP-REV-A,0x0058,SerialVector,1,3
F001,JP-REV-A,0x0060,JoypadVector,1,3
F001,KR-REV-0,0x0008,FarCall,1,3
F001,KR-REV-0,0x0040,VBlankVector,1,3
F001,KR-REV-0,0x0048,LCDVector,1,3
F001,KR-REV-0,0x0058,SerialVector,1,3
F001,KR-REV-0,0x0060,JoypadVector,1,3
F001,USA-EUROPE-REV-0,0x0008,FarCall,1,3
F001,USA-EUROPE-REV-0,0x0040,VBlankVector,1,3
F001,USA-EUROPE-REV-0,0x0048,LCDVector,1,3
F001,USA-EUROPE-REV-0,0x0058,SerialVector,1,3
F001,USA-EUROPE-REV-0,0x0060,JoypadVector,1,3
F002,DE-REV-0,0x0018,Rst18Trap,8,8
F002,DE-REV-0,0x0020,Rst20Trap,8,8
F002,DE-REV-0,0x0038,Rst38Trap,8,8
