member_index,member_size,bw_relation,differing_seasons
0,232,different,all
1,232,identical,
2,928,identical,
3,232,identical,
4,232,identical,
5,232,different,all
6,232,different,all
7,232,identical,
8,232,identical,
9,232,identical,
10,232,identical,
11,232,identical,
12,232,identical,
13,232,identical,
14,232,identical,
15,232,identical,
16,232,identical,
17,232,identical,
18,232,identical,
19,232,identical,
20,232,identical,
21,232,identical,
22,232,identical,
23,232,identical,
24,232,identical,
25,232,identical,
26,232,identical,
27,232,identical,
28,232,identical,
29,232,identical,
30,232,identical,
31,232,identical,
32,232,identical,
33,232,identical,
34,232,identical,
35,232,identical,
36,232,identical,
37,232,identical,
38,232,identical,
39,232,identical,
40,232,identical,
41,232,identical,
42,232,identical,
43,232,identical,
44,928,identical,
45,928,identical,
46,928,identical,
47,928,identical,
48,928,identical,
49,928,different,spring;summer;autumn;winter
50,232,identical,
51,232,identical,
52,232,different,all
53,232,different,all
54,232,identical,
55,232,identical,
56,232,identical,
57,232,identical,
58,232,different,all
59,232,identical,
60,232,identical,
61,232,identical,
62,232,identical,
63,232,identical,
64,232,identical,
65,232,identical,
66,232,identical,
67,232,identical,
68,232,identical,
69,232,different,all
70,232,identical,
71,232,different,all
72,232,identical,
73,928,identical,
74,232,identical,
75,232,different,all
76,232,identical,
77,232,different,all
78,232,identical,
79,232,different,all
80,232,different,all
81,232,different,all
82,232,different,all
83,232,different,all
84,928,different,spring;summer;autumn;winter
85,232,identical,
86,232,identical,
87,232,identical,
88,928,identical,
89,232,identical,
90,232,identical,
91,232,identical,
92,232,identical,
93,928,identical,
94,928,identical,
95,232,different,all
96,232,identical,
97,232,identical,
98,232,different,all
99,232,different,all
100,232,different,all
101,232,different,all
102,232,different,all
103,232,identical,
104,232,different,all
105,232,different,all
106,232,different,all
107,232,different,all
108,232,different,all
109,232,different,all
110,232,identical,
111,232,identical,
