product,platform,region,language,revision,status,identity_source,notes
Pokemon Ruby,GBA,ALL,ALL,ALL,pending_direct_verification,,expand into one row per verified retail revision
Pokemon Sapphire,GBA,ALL,ALL,ALL,pending_direct_verification,,expand into one row per verified retail revision
Pokemon Emerald,GBA,ALL,ALL,ALL,pending_direct_verification,,expand into one row per verified retail revision
Pokemon FireRed,GBA,ALL,ALL,ALL,pending_direct_verification,,expand into one row per verified retail revision
Pokemon LeafGreen,GBA,ALL,ALL,ALL,pending_direct_verification,,expand into one row per verified retail revision
Pokemon Colosseum,GameCube,ALL,ALL,ALL,pending_direct_verification,,expand into one row per verified disc revision
Pokemon XD Gale of Darkness,GameCube,ALL,ALL,ALL,pending_direct_verification,,expand into one row per verified disc revision
Pokemon Box Ruby & Sapphire,GameCube,ALL,ALL,ALL,pending_direct_verification,,expand into one row per verified disc revision
Pokemon Channel,GameCube,ALL,ALL,ALL,pending_direct_verification,,only Generation III-relevant linkage/distribution tracks are in scope here
e-Reader/e-Cards,GBA peripheral,ALL,ALL,ALL,pending_direct_verification,,separate hardware/software/card-region compatibility and card-set identity
GBA Wireless Adapter,GBA peripheral,ALL,ALL,ALL,pending_direct_verification,,record supported title/revision combinations
Bonus and distribution discs,GameCube,ALL,ALL,ALL,pending_direct_verification,,one row per verified official distribution image/revision
Official event cartridges/devices,mixed,ALL,ALL,ALL,pending_direct_verification,,one row per verified official unit/payload revision
