bank,offset_start,offset_end,size_bytes,sha1
00,0x000000,0x003FFF,16384,5c50c205d61da12784a5aa0fa9014e0318517326
01,0x004000,0x007FFF,16384,34690d3cfb7abacfd770c52d76dd3955c082a4f5
02,0x008000,0x00BFFF,16384,d348c7b86ddd36c2d45fef78a5fae97367df865d
03,0x00C000,0x00FFFF,16384,6deff8266de605d8562cbdbf67b8921f2cb4e029
04,0x010000,0x013FFF,16384,d99683eb102a738e08163e11c4bf7bd444a49550
05,0x014000,0x017FFF,16384,ac4181a6e38c3372d9842c338d86ea74694a4305
06,0x018000,0x01BFFF,16384,01b06cb8ccb9110b631543af06ffc727a82035e4
07,0x01C000,0x01FFFF,16384,f201f3741860acac72069bd9e27d18a0b1b12eda
08,0x020000,0x023FFF,16384,de9a604ae943e89bdd9e74e33f3c8d6f167d9be1
09,0x024000,0x027FFF,16384,314b4e40615342e72ace9e1d44878cce518070e2
0A,0x028000,0x02BFFF,16384,5370045e0ff523d9102dae4753a4e1135657172f
0B,0x02C000,0x02FFFF,16384,07efe0e7a4b5df67fbd877d9a23265b56f840169
0C,0x030000,0x033FFF,16384,26eadb4795517d29936489d446962e23d0ffa437
0D,0x034000,0x037FFF,16384,1225b1bb261614c8dfffc27611148b57471ed4de
0E,0x038000,0x03BFFF,16384,6f9a7d65eef81c77d8344056ac265a806fc9e597
0F,0x03C000,0x03FFFF,16384,29766acd4191e6ce6f1467513168cd847bff8ccd
10,0x040000,0x043FFF,16384,d6880c1bfde1eb5543a9deaa333648a3c2331636
11,0x044000,0x047FFF,16384,e27bf15c20ac626b708a622f3a970920b38f3766
12,0x048000,0x04BFFF,16384,e8faafcf931045513e2210b0565435e1f7f96d8f
13,0x04C000,0x04FFFF,16384,a39b3e680a40e3b74d37c1692fa847bdbce19d21
14,0x050000,0x053FFF,16384,6e57a9e5726fa5b3252cf321c416ff1bb3456fd9
15,0x054000,0x057FFF,16384,ef7edd451a6eeee4b6e41f6f932ae9990864663c
16,0x058000,0x05BFFF,16384,50b3d96ef2acc522863c3cfba9c8055bbc5ade04
17,0x05C000,0x05FFFF,16384,7cc73d86eec3d2371f13bac2869f8c365060bab6
18,0x060000,0x063FFF,16384,802db7b1328a4c15c4fa712e3a446ab1e0f5b5f6
19,0x064000,0x067FFF,16384,b72b68391c735f3c2723fc31b02f13106cdef09f
1A,0x068000,0x06BFFF,16384,a266c160f6ace3bf3c3d40aab9c24823ff965ed2
1B,0x06C000,0x06FFFF,16384,682b94550690d2e4c4103fe93753ed74ab38fc72
1C,0x070000,0x073FFF,16384,4249ab5133841889a9b90b21d30edf0d62624a60
1D,0x074000,0x077FFF,16384,9dae16e0708e97de2af1f24f58db67bfc176974c
1E,0x078000,0x07BFFF,16384,19bfac7d62658a98c000d7e6d2ec699ed1ecef2b
1F,0x07C000,0x07FFFF,16384,ff43de20c18860e296b7ed16e5de19d2a298aa88
