slot_index_zero_based,item_id_decimal,item_id_hex,slot_kind,original_gs_korean_name,latest_official_korean_name,original_gs_korean_description,final_korean_description,engine_description_source,official_name_source,description_translation_source,verification_status,change_reason,description_cpu_address_hex
0,1,0x01,ITEM_ID,마스터볼,,포켓몬을 반드시 잡을 수 있는<NEXT>최고의 볼,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4200
1,2,0x02,ITEM_ID,하이퍼볼,,높은 확률로 포켓몬을<NEXT>잡을 수 있는 볼,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4227
2,3,0x03,ITEM_ID,반짝가루,,지니게하면 강한 빛을 발산해서<NEXT>상대의 명중률을 낮춘다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x424C
3,4,0x04,ITEM_ID,수퍼볼,,포켓몬을 잡기 위한 도구<NEXT>몬스터볼보다 고성능이다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4281
4,5,0x05,ITEM_ID,몬스터볼,,포켓몬을 잡기 위한 도구,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x42B1
5,6,0x06,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x42C9
6,7,0x07,ITEM_ID,자전거,,2배의 빠르기로 이동할 수 있는<NEXT>접이식 자전거,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x42CC
7,8,0x08,ITEM_ID,달맞이 돌,,특정 포켓몬을 진화시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x42F8
8,9,0x09,ITEM_ID,해독제,,중독상태를 치료하여 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4311
9,10,0x0A,ITEM_ID,화상 치료제,,화상을 치료하여 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4330
10,11,0x0B,ITEM_ID,얼음상태 치료제,,얼음상태를 치료하여 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x434B
11,12,0x0C,ITEM_ID,잠깨는 약,,졸음상태를 치료하여 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x436A
12,13,0x0D,ITEM_ID,마비 치료제,,마비상태를 치료하여 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4389
13,14,0x0E,ITEM_ID,회복약,,모든 상태 이상과<NEXT>체력을 전부 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x43A8
14,15,0x0F,ITEM_ID,풀 회복약,,체력을 전부 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x43D0
15,16,0x10,ITEM_ID,고급 상처약,,체력을 200 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x43E7
16,17,0x11,ITEM_ID,좋은 상처약,,체력을 50 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x43FD
17,18,0x12,ITEM_ID,상처약,,체력을 20 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4412
18,19,0x13,ITEM_ID,동굴탈출 로프,,동굴 등지에서 빠져나올 수 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4427
19,20,0x14,ITEM_ID,벌레회피스프레이,,100보 동안에 약한 포켓몬이랑<NEXT>만나지 않게된다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4446
20,21,0x15,ITEM_ID,PP 맥스,,포켓몬 1마리의 모든 기술<NEXT>포인트를 전부 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4473
21,22,0x16,ITEM_ID,불꽃의 돌,,특정 포켓몬을 진화시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x44A7
22,23,0x17,ITEM_ID,천둥의 돌,,특정 포켓몬을 진화시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x44C0
23,24,0x18,ITEM_ID,물의 돌,,특정 포켓몬을 진화시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x44D9
24,25,0x19,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x44F2
25,26,0x1A,ITEM_ID,맥스 업,,체력의 기초포인트를 올려준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x44F5
26,27,0x1B,ITEM_ID,타우린,,공격의 기초포인트를 올려준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4512
27,28,0x1C,ITEM_ID,사포닌,,방어의 기초포인트를 올려준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x452F
28,29,0x1D,ITEM_ID,알칼로이드,,스피드의 기초포인트를 올려준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x454C
29,30,0x1E,ITEM_ID,럭키 펀치,,럭키에게 지니게 하면<NEXT>급소를 맞추기 쉽게된다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x456B
30,31,0x1F,ITEM_ID,리보플라빈,,특수공격 특수방어의<NEXT>기초포인트를 올려준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4597
31,32,0x20,ITEM_ID,이상한 사탕,,포켓몬의 레벨을 1 올려준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x45C1
32,33,0x21,ITEM_ID,잘-맞히기,,사용한 전투중에서만<NEXT>기술이 명중하기 쉽게된다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x45DC
33,34,0x22,ITEM_ID,잎사귀 돌,,특정 포켓몬을 진화시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4609
34,35,0x23,ITEM_ID,금속 파우더,,메타몽에게 지니게하면<NEXT>방어력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4622
35,36,0x24,ITEM_ID,금구슬,,순금성분<NEXT>비싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x464A
36,37,0x25,ITEM_ID,삐삐인형,,우연히 만난 야생 포켓몬에게서<NEXT>반드시 도망칠 수 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4661
37,38,0x26,ITEM_ID,만병통치제,,모든 상태 이상을<NEXT>회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4695
38,39,0x27,ITEM_ID,기력의 조각,,체력을 절반인 상태로<NEXT>기절상태에서 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x46B3
39,40,0x28,ITEM_ID,기력의 덩어리,,체력을 전체 상태로<NEXT>기절상태에서 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x46E2
40,41,0x29,ITEM_ID,이펙트 가드,,사용한 전투중에서만<NEXT>능력을 떨어뜨리지 않게된다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x470F
41,42,0x2A,ITEM_ID,실버 스프레이,,200보 이내에서 약한 포켓몬과<NEXT>만나지 않게된다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x473E
42,43,0x2B,ITEM_ID,골드 스프레이,,250보 이내에서 약한 포켓몬과<NEXT>만나지 않게된다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x476B
43,44,0x2C,ITEM_ID,크리티컬 커터,,사용한 전투중에서만<NEXT>급소에 명중시키기 쉽게된다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4798
44,45,0x2D,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x47C7
45,46,0x2E,ITEM_ID,맛있는 물,,은빛 산에서 손에 넣었다<NEXT>체력을 50 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x47CA
46,47,0x2F,ITEM_ID,미네랄 사이다,,시원하고 상쾌한 맛이다<NEXT>체력을 60 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x47F9
47,48,0x30,ITEM_ID,후르츠 밀크,,매우 달콤하다<NEXT>체력을 80 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4827
48,49,0x31,ITEM_ID,플러스파워,,사용한 전투중에서만<NEXT>공격력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x484C
49,50,0x32,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4872
