code_hex,width_bytes,text,kind
0x0101,2,가,HANGUL
0x0102,2,각,HANGUL
0x0103,2,간,HANGUL
0x0104,2,갇,HANGUL
0x0105,2,갈,HANGUL
0x0106,2,갉,HANGUL
0x0107,2,갊,HANGUL
0x0108,2,감,HANGUL
0x0109,2,갑,HANGUL
0x010A,2,값,HANGUL
0x010B,2,갓,HANGUL
0x010C,2,갔,HANGUL
0x010D,2,강,HANGUL
0x010E,2,갖,HANGUL
0x010F,2,갗,HANGUL
0x0110,2,같,HANGUL
0x0111,2,갚,HANGUL
0x0112,2,갛,HANGUL
0x0113,2,개,HANGUL
0x0114,2,객,HANGUL
0x0115,2,갠,HANGUL
0x0116,2,갤,HANGUL
0x0117,2,갬,HANGUL
0x0118,2,갭,HANGUL
0x0119,2,갯,HANGUL
0x011A,2,갰,HANGUL
0x011B,2,갱,HANGUL
0x011C,2,갸,HANGUL
0x011D,2,갹,HANGUL
0x011E,2,갼,HANGUL
0x011F,2,걀,HANGUL
0x0120,2,걋,HANGUL
0x0121,2,걍,HANGUL
0x0122,2,걔,HANGUL
0x0123,2,걘,HANGUL
0x0124,2,걜,HANGUL
0x0125,2,거,HANGUL
0x0126,2,걱,HANGUL
0x0127,2,건,HANGUL
0x0128,2,걷,HANGUL
0x0129,2,걸,HANGUL
0x012A,2,걺,HANGUL
0x012B,2,검,HANGUL
0x012C,2,겁,HANGUL
0x012D,2,것,HANGUL
0x012E,2,겄,HANGUL
0x012F,2,겅,HANGUL
0x0130,2,겆,HANGUL
0x0131,2,겉,HANGUL
0x0132,2,겊,HANGUL
0x0133,2,겋,HANGUL
0x0134,2,게,HANGUL
0x0135,2,겐,HANGUL
0x0136,2,겔,HANGUL
0x0137,2,겜,HANGUL
0x0138,2,겝,HANGUL
0x0139,2,겟,HANGUL
0x013A,2,겠,HANGUL
0x013B,2,겡,HANGUL
0x013C,2,겨,HANGUL
0x013D,2,격,HANGUL
0x013E,2,겪,HANGUL
0x013F,2,견,HANGUL
0x0140,2,겯,HANGUL
0x0141,2,결,HANGUL
0x0142,2,겹,HANGUL
0x0143,2,겸,HANGUL
0x0144,2,겻,HANGUL
0x0145,2,겼,HANGUL
0x0146,2,경,HANGUL
0x0147,2,곁,HANGUL
0x0148,2,계,HANGUL
0x0149,2,곈,HANGUL
0x014A,2,곌,HANGUL
0x014B,2,곕,HANGUL
0x014C,2,곗,HANGUL
0x014D,2,고,HANGUL
0x014E,2,곡,HANGUL
0x014F,2,곤,HANGUL
0x0160,2,곧,HANGUL
0x0161,2,골,HANGUL
0x0162,2,곪,HANGUL
0x0163,2,곬,HANGUL
0x0164,2,곯,HANGUL
0x0165,2,곰,HANGUL
0x0166,2,곱,HANGUL
0x0167,2,곳,HANGUL
0x0168,2,공,HANGUL
0x0169,2,곶,HANGUL
0x016A,2,과,HANGUL
0x016B,2,곽,HANGUL
0x016C,2,관,HANGUL
0x016D,2,괄,HANGUL
0x016E,2,괆,HANGUL
0x0171,2,괌,HANGUL
0x0172,2,괍,HANGUL
0x0173,2,괏,HANGUL
0x0174,2,광,HANGUL
0x0175,2,괘,HANGUL
0x0176,2,괜,HANGUL
0x0177,2,괠,HANGUL
0x0178,2,괩,HANGUL
0x0179,2,괬,HANGUL
0x017A,2,괭,HANGUL
0x017B,2,괴,HANGUL
0x017C,2,괵,HANGUL
0x017D,2,괸,HANGUL
0x017E,2,괼,HANGUL
0x017F,2,괻,HANGUL
0x0180,2,굅,HANGUL
0x0181,2,굇,HANGUL
0x0182,2,굉,HANGUL
0x0183,2,교,HANGUL
0x0184,2,굔,HANGUL
0x0185,2,굘,HANGUL
0x0186,2,굡,HANGUL
0x0187,2,굣,HANGUL
0x0188,2,구,HANGUL
0x0189,2,국,HANGUL
0x018A,2,군,HANGUL
0x018B,2,굳,HANGUL
0x018C,2,굴,HANGUL
0x018D,2,굵,HANGUL
0x018E,2,굶,HANGUL
0x018F,2,굻,HANGUL
0x0190,2,굼,HANGUL
0x0191,2,굽,HANGUL
0x0192,2,굿,HANGUL
0x0193,2,궁,HANGUL
0x0194,2,궂,HANGUL
0x0195,2,궈,HANGUL
0x0196,2,궉,HANGUL
0x0197,2,권,HANGUL
0x0198,2,궐,HANGUL
0x0199,2,궜,HANGUL
0x019A,2,궝,HANGUL
0x019B,2,궤,HANGUL
0x019C,2,궷,HANGUL
0x019D,2,귀,HANGUL
0x019E,2,귁,HANGUL
0x019F,2,귄,HANGUL
0x01A0,2,귈,HANGUL
0x01A1,2,귐,HANGUL
0x01A2,2,귑,HANGUL
0x01A3,2,귓,HANGUL
0x01A4,2,규,HANGUL
0x01A5,2,균,HANGUL
0x01A6,2,귤,HANGUL
0x01A7,2,그,HANGUL
0x01A8,2,극,HANGUL
0x01A9,2,근,HANGUL
0x01AA,2,귿,HANGUL
0x01AB,2,글,HANGUL
0x01AC,2,긁,HANGUL
0x01AD,2,금,HANGUL
0x01AE,2,급,HANGUL
0x01AF,2,긋,HANGUL
0x01B0,2,긍,HANGUL
0x01B1,2,긔,HANGUL
0x01B2,2,기,HANGUL
0x01B3,2,긱,HANGUL
0x01B4,2,긴,HANGUL
0x01B5,2,긷,HANGUL
0x01B6,2,길,HANGUL
0x01B7,2,긺,HANGUL
0x01B8,2,김,HANGUL
0x01B9,2,깁,HANGUL
0x01BA,2,깃,HANGUL
0x01BB,2,깅,HANGUL
0x01BC,2,깆,HANGUL
0x01BD,2,깊,HANGUL
0x01BE,2,까,HANGUL
0x01BF,2,깍,HANGUL
0x01C0,2,깎,HANGUL
0x01C1,2,깐,HANGUL
0x01C2,2,깔,HANGUL
0x01C3,2,깖,HANGUL
0x01C4,2,깜,HANGUL
0x01C5,2,깝,HANGUL
0x01C6,2,깟,HANGUL
0x01C7,2,깠,HANGUL
0x01C8,2,깡,HANGUL
0x01C9,2,깥,HANGUL
0x01CA,2,깨,HANGUL
0x01CB,2,깩,HANGUL
0x01CC,2,깬,HANGUL
0x01CD,2,깰,HANGUL
0x01CE,2,깸,HANGUL
0x01D1,2,깹,HANGUL
0x01D2,2,깻,HANGUL
0x01D3,2,깼,HANGUL
0x01D4,2,깽,HANGUL
0x01D5,2,꺄,HANGUL
0x01D6,2,꺅,HANGUL
0x01D7,2,꺌,HANGUL
0x01D8,2,꺼,HANGUL
0x01D9,2,꺽,HANGUL
0x01DA,2,꺾,HANGUL
0x01DB,2,껀,HANGUL
0x01DC,2,껄,HANGUL
0x01DD,2,껌,HANGUL
0x01DE,2,껍,HANGUL
0x01DF,2,껏,HANGUL
0x01E0,2,껐,HANGUL
0x01E1,2,껑,HANGUL
0x01E2,2,께,HANGUL
0x01E3,2,껙,HANGUL
0x01E4,2,껜,HANGUL
0x01E5,2,껨,HANGUL
0x01E6,2,껫,HANGUL
0x01E7,2,껭,HANGUL
0x01E8,2,껴,HANGUL
0x01E9,2,껸,HANGUL
0x01EA,2,껼,HANGUL
0x01EB,2,꼇,HANGUL
0x01EC,2,꼈,HANGUL
0x01ED,2,꼍,HANGUL
0x01EE,2,꼐,HANGUL
0x01EF,2,꼬,HANGUL
0x01F0,2,꼭,HANGUL
