filename,generation,game_id,platform_id,release_id,dump_id,size_bytes,sha1,sha256,header_title,technical_token,header_version,cgb_flag,sgb_flag,cartridge_type,header_checksum_valid,global_checksum_valid
Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,GEN-01,RED,GB,JP-JA-HV1,USER-UPLOAD-ef74c79c,524288,ef74c79cded14204ac79e77f4964d9cb25003120,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,POKEMON RED,,1,0x00,0x03,0x03,True,True
"Pokemon - Red Version (USA, Europe) (SGB Enhanced).gb",GEN-01,RED,GB,US-EU-EN-HV0,USER-UPLOAD-ea9bcae6,1048576,ea9bcae617fdf159b045185467ae58b2e4a48b9a,5ca7ba01642a3b27b0cc0b5349b52792795b62d3ed977e98a09390659af96b7b,POKEMON RED,,0,0x00,0x03,0x13,True,True
Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,GEN-01,GREEN,GB,JP-JA-HV1,USER-UPLOAD-4b97cd44,524288,4b97cd44aa3f0dd290bfe7b3ac17b7bd8270897b,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,POKEMON GREEN,EN,1,0x00,0x03,0x03,True,True
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,GEN-01,BLUE,GB,JP-JA-HV0,USER-UPLOAD-0da501e3,524288,0da501e3e5c51ab8fef55b092dcdd7e6b050e424,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,POKEMON BLUE,E,0,0x00,0x03,0x03,True,True
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",GEN-01,BLUE,GB,US-EU-EN-HV0,USER-UPLOAD-d7037c83,1048576,d7037c83e1ae5b39bde3c30787637ba1d4c48ce2,2a951313c2640e8c2cb21f25d1db019ae6245d9c7121f754fa61afd7bee6452d,POKEMON BLUE,E,0,0x00,0x03,0x13,True,True
Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,GEN-01,YELLOW,GB,JP-JA-HV3,USER-UPLOAD-a40298a8,1048576,a40298a8123613ee60cd7aab204d788b8425976e,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,POKEMON YELLOW,LOW,3,0x00,0x03,0x13,True,True
"Pokemon - Yellow Version (USA, Europe).gbc",GEN-01,YELLOW,GB,US-EU-EN-HV0,USER-UPLOAD-cc7d0326,1048576,cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,8cbaa499397e4f1a679c992ea9382a2dd7942ab398b48c19829c2d9529de47bf,POKEMON YELLOW,LOW,0,0x80,0x03,0x1B,True,True
"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (GBC,SGB Enhanced).gb",GEN-01,YELLOW,GB,US-EU-EN-HV0,USER-UPLOAD-cc7d0326,1048576,cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,8cbaa499397e4f1a679c992ea9382a2dd7942ab398b48c19829c2d9529de47bf,POKEMON YELLOW,LOW,0,0x80,0x03,0x1B,True,True
Pocket Monsters Kin (Japan) (Rev A).gbc,GEN-02,GOLD,GBC,AAUJ-HV1,PROJECT-a2224022,1048576,a222402235d484ee8e39f3f31bae57cf13daf585,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e,POKEMON_GLDAAUJ,AAUJ,1,0x80,0x03,0x10,True,True
"Pokemon - Gold Version (USA, Europe).gbc",GEN-02,GOLD,GBC,AAUE-HV0,PROJECT-d8b8a360,2097152,d8b8a3600a465308c9953dfa04f0081c05bdcb94,fb0016d27b1e5374e1ec9fcad60e6628d8646103b5313ca683417f52b97e7e4e,POKEMON_GLDAAUE,AAUE,0,0x80,0x03,0x10,True,True
