bank,offset_start_hex,offset_end_hex,sha256
00,0x000000,0x003FFF,c99332e2388b4fcac8c39309b5d00cbf843e0c2612d8f710a4ac6ab7ae6eb9b7
01,0x004000,0x007FFF,2dd387423613cd3c25f2fc0d1660dc659bda9edfc1cb0c065ba6e3b0c6afe3bd
02,0x008000,0x00BFFF,0421cbdfb34166cedd17cf43b96484d3085274d5f56accb9acbe7fe8c5c82136
03,0x00C000,0x00FFFF,003f4ce812600650eb7dc298f13654c0c2102be1447f8a2fc336eb335218664f
04,0x010000,0x013FFF,761b678b350e1267746de618ff02efc461377a002955caf77c6dd796790a781e
05,0x014000,0x017FFF,43c93bb7e6aacee07e38a26929202b8fbb5df6c3f4ee523b193fb3d0059c4825
06,0x018000,0x01BFFF,f1813b24d20ea13c093d3ed34ea75ffbea3b00ae35aa298831ea3cdc35678dc2
07,0x01C000,0x01FFFF,495bb1bc2ecdb1783be63142ec4f546cd157e200364eb58c63db5f4189dcfc6f
08,0x020000,0x023FFF,ffaba959955993854fb55a2b59741ce15068ffe03c012706a99f10759a1056ca
09,0x024000,0x027FFF,23632cac46bd1c8871165f6af31b3d63cb071fa6121e5b27747986ff7855f9d8
0A,0x028000,0x02BFFF,b1a2903d29a8bef3d55777b5f69c1bbdbc8c9a2c429cb456758a0f16aa6b4193
0B,0x02C000,0x02FFFF,7e6cfe54f6e57d580f4fd28917144931b0399cf68148136edadaaacd929001e7
0C,0x030000,0x033FFF,6fdf2e5afdbf68068051e4c6634e9acd254a6591a679cf9d5867d3c8661cc56f
0D,0x034000,0x037FFF,7b592f60dc5650c8b2d15eea1ae34d26a221e61e63fd005273a960ba435d8338
0E,0x038000,0x03BFFF,b2fdc7fb24ff7976a1eb141ccecfc118cbca929862d043d714ed817525f775fa
0F,0x03C000,0x03FFFF,438b864b26741fb964e4f62d22d847590d00563de74d78f11fddbd85fb2c8005
10,0x040000,0x043FFF,b89a85b852b3ac8abebbc44cf06f872c5bc44b9ba84c9a183fbfbec275ffc906
11,0x044000,0x047FFF,eb8d903e68d2e8a068698767bfb3f78000d349e934d5b9c11655d5818c37e92f
12,0x048000,0x04BFFF,bba35fb0fd473b453b8c42026d9a254bad65fa6d7cd203d84252911f8e207c87
13,0x04C000,0x04FFFF,db753b7904834e3a85c08f865b8fbaebd51d84b2b70c264b5c34174a9713fd5c
14,0x050000,0x053FFF,f185a9cb58bd17d60215a7d5aa784db6d36c95b4a078de89193ad5e47d036a6b
15,0x054000,0x057FFF,5d685d59aea0837c1513105f9fb092d2cacaeb524c36d72909492dc49822d436
16,0x058000,0x05BFFF,c1dc950e082bf2998858c3496e53196069c29a362c37ee14709bd029666204b0
17,0x05C000,0x05FFFF,c0360f95892a07f3a5906310c27cb12e1a5fc3bf111c527c72ec9faa2efd4159
18,0x060000,0x063FFF,0684b8c75ad4907d1ff1a2f2227528adafd99ea0433564d8ca5f9b185b9ae98e
19,0x064000,0x067FFF,33d063fbf263c98194862c7b8250440d86a29ca18ec76102e44055750be6d71e
1A,0x068000,0x06BFFF,976967e035c6a8498846bfb437fd374103fb4f5ab52721797018fd184a2f709e
1B,0x06C000,0x06FFFF,debb39d79829cbef537163d1bf5252430e90ed966e6bc73141a4e44544a04f30
1C,0x070000,0x073FFF,cadfbde96d8a2169106730052abab442a2e09a9d338ec5049f436679ad403b4d
1D,0x074000,0x077FFF,44848dae3b87c7bc58d10b35680c28d79c2587ae2963762939713a6953d82606
1E,0x078000,0x07BFFF,3f63d86c7485f7deea6f58ae08cd072b1c03ef63685173c804bc59ee0fb83e19
1F,0x07C000,0x07FFFF,9e8e7a5026fee43e67643676e83d705d2dfc6dfbe058e9d19b9395f0994b30de
20,0x080000,0x083FFF,5b7457ddb006beb60d06685379977673c00cc5955036a4b9df7ea3ad7045d847
21,0x084000,0x087FFF,b011dee6d58d2384fbfb5415c985370798f98a9ffa4d828ac85d2cc1dad94ac6
