gen5_item_id,symbol,target_gen3_item_id,target_status,evolution_uses
80,SUN_STONE,93,native,4
81,MOON_STONE,94,native,6
82,FIRE_STONE,95,native,4
83,THUNDER_STONE,96,native,3
84,WATER_STONE,97,native,6
85,LEAF_STONE,98,native,5
107,SHINY_STONE,377,project_append,3
108,DUSK_STONE,378,project_append,3
109,DAWN_STONE,379,project_append,2
110,OVAL_STONE,380,project_append,1
221,KINGS_ROCK,187,native,2
226,DEEP_SEA_TOOTH,192,native,1
227,DEEP_SEA_SCALE,193,native,1
233,METAL_COAT,199,native,2
235,DRAGON_SCALE,201,native,1
252,UP_GRADE,218,native,1
321,PROTECTOR,381,project_append,1
322,ELECTIRIZER,382,project_append,1
323,MAGMARIZER,383,project_append,1
324,DUBIOUS_DISC,384,project_append,1
325,REAPER_CLOTH,385,project_append,1
326,RAZOR_CLAW,386,project_append,1
327,RAZOR_FANG,387,project_append,1
537,PRISM_SCALE,388,project_append,1
