bank	diff_bytes	diff_pct	runs	first_diff	last_diff	largest_run
00	13109	80.0110	359	00051	03FFF	319
01	11803	72.0398	234	04795	07FFF	344
02	18	0.1099	7	08A49	0BFFF	12
03	366	2.2339	316	0C532	0FFFF	21
04	233	1.4221	199	11AFB	13FFF	4
05	83	0.5066	41	17C2D	17FFF	31
06	348	2.1240	297	18E68	1BFFF	40
07	560	3.4180	469	1C222	1FFFF	67
08	60	0.3662	56	20004	20FEF	2
09	519	3.1677	32	27DCE	27FFF	136
0A	14	0.0854	8	2BF92	2BFFF	7
0B	13	0.0793	11	2FE80	2FFFF	2
0C	32	0.1953	6	33F83	33FFE	27
0D	65	0.3967	58	373AF	37FA8	2
0E	79	0.4822	78	39AF2	3BFFF	2
0F	15403	94.0125	333	3C04D	3FFFF	523
10	135	0.8240	109	40001	43FFF	14
11	307	1.8738	255	4410C	47FFF	48
12	406	2.4780	315	480EC	4BFFF	85
13	36	0.2197	33	4FD11	4FFFF	2
14	379	2.3132	354	50C01	53FFF	19
15	313	1.9104	291	55250	57FFF	11
16	330	2.0142	300	58D9D	5BFFF	14
17	397	2.4231	343	5C0B1	5FFFF	50
18	359	2.1912	305	6042D	63FFF	30
19	32	0.1953	1	67FE0	67FFF	32
1A	2	0.0122	2	6BFF4	6BFFF	1
1B	0	0.0000	0			0
1C	203	1.2390	176	70009	73FFF	8
1D	425	2.5940	348	74068	77FFF	62
1E	132	0.8057	96	78C8C	7BFFF	13
1F	7	0.0427	4	7C3F0	7FFFF	4
