path,members_black,members_white,size_black,size_white,sha1_black,sha1_white,bw_relation
a/0/1/6,669,669,46780,46780,0cc77c1d0d649c1c3daa7ad4d1aeeab2c63ce94b,0cc77c1d0d649c1c3daa7ad4d1aeeab2c63ce94b,identical
a/0/1/7,8,8,3348,3348,fbbf1287b2ac10c5212be0e4a69461507e860005,fbbf1287b2ac10c5212be0e4a69461507e860005,identical
a/0/1/8,668,668,46904,46904,f1d190627b1e64e35fe82cee9633b33db0ee9b08,f1d190627b1e64e35fe82cee9633b33db0ee9b08,identical
a/0/1/9,668,668,34788,34788,5e20bbfe6d178b1372844dea6f5016d2b7e87b14,5e20bbfe6d178b1372844dea6f5016d2b7e87b14,identical
a/0/2/0,650,650,7852,7852,135c29bfe32d251397f3911cdefad480ba19ac17,135c29bfe32d251397f3911cdefad480ba19ac17,identical
a/0/2/1,560,560,24692,24692,8247cba4a422c66caa1f71d54775db09f742c5fd,8247cba4a422c66caa1f71d54775db09f742c5fd,identical
a/0/2/4,627,627,27640,27640,a6492550716ab4ed71f87224cb10eb8f7fe9fc9c,a6492550716ab4ed71f87224cb10eb8f7fe9fc9c,identical
a/0/9/2,616,616,17296,17296,4f4b1251427a522e31acb24c72bacf5319bc2a2e,4f4b1251427a522e31acb24c72bacf5319bc2a2e,identical
a/0/9/3,616,616,17144,17144,296bd091f64065a3ae83b3d028b026a22e9d6979,296bd091f64065a3ae83b3d028b026a22e9d6979,identical
a/1/2/3,650,650,13140,13140,0a58fd3e449e4c7c46094e34ade6c0dbb0b4ad7d,0a58fd3e449e4c7c46094e34ade6c0dbb0b4ad7d,identical
a/1/2/6,112,112,35284,35284,523858b7935f517bd4e06d36cbd9cfd14eb76b03,c8aaa2e3cdb8046008923b5cd1a6d02675fe67e8,different
VALIDATION:personal,669,669,,,,,"668 personal/data records + 1 regional mapping; growth IDs used 1-649={0: 251, 1: 22, 2: 14, 3: 175, 4: 52, 5: 135}"
VALIDATION:trainer_party,616,616,,,,,"all nonempty records size-valid; templates={0: 546, 1: 42, 2: 20, 3: 7}"
VALIDATION:encounters,112,112,,,,,29 member records differ; 100x232 + 12x928 each version
