target,rom,rom_sha1,gBattleMoves_offset,legacy_entries,stride,meaningful_legacy_bytes,zero_padding_records,aligned_absolute_refs_into_table,unique_ref_deltas
Ruby_JP,Pocket Monsters - Ruby (Japan).gba,5c5e546720300b99ae45d2aa35c646c8b8ff5c56,0x1CCEE0,355,12,9,355,137,0:132;4:5
Ruby_EN_Rev2,"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",5b64eacf892920518db4ec664e62a086dd5f5bc8,0x1FB144,355,12,9,355,139,0:132;4:5;1588:1;3900:1
Sapphire_JP,Pocket Monsters - Sapphire (Japan).gba,3233342c2f3087e6ffe6c1791cd5867db07df842,0x1CCE70,355,12,9,355,137,0:132;4:5
Sapphire_EN_Rev2,"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",89b45fb172e6b55d51fc0e61989775187f6fe63c,0x1FB0D4,355,12,9,355,139,0:132;4:5;1700:1;4012:1
Emerald_JP,Pocket Monsters - Emerald (Japan).gba,d7cf8f156ba9c455d164e1ea780a6bf1945465c2,0x2ED220,355,12,9,355,148,0:143;4:5
Emerald_EN,"Pokemon - Emerald Version (USA, Europe).gba",f3ae088181bf583e55daf962a92bb46f4f1d07b7,0x31C898,355,12,9,355,147,0:142;4:5
FireRed_JP_Rev1,Pocket Monsters - Fire Red (Japan) (Rev 1).gba,7c7107b87c3ccf6e3dbceb9cf80ceeffb25a1857,0x208E24,355,12,9,355,143,0:138;4:5
FireRed_EN_Rev1,"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",c4d0119d9bcb36687f41a8f7ca72ab7af60558e4,0x250C74,355,12,9,355,143,0:137;4:5;192:1
LeafGreen_JP,Pocket Monsters - Leaf Green (Japan).gba,5946f1b59e8d71cc61249661464d864185c92a5f,0x20D5E8,355,12,9,355,143,0:138;4:5
LeafGreen_EU_Rev1,Pokemon - Leaf Green Version (Europe) (Rev 1).gba,7862c67bdecbe21d1d69ce082ce34327e1c6ed5e,0x250C50,355,12,9,355,143,0:137;4:5;228:1
