target,family,agbmain_offset,main_region_end_offset,main_region_size,main_region_sha1
japan_rev0,japan,0x24C,0x74C,1280,7e3b70650013f2e17cf52f53702c4708d42038fc
english_rev0,international,0x24C,0x748,1276,4c8f97962d241089136471922e2fba28933c55fe
english_rev1,international,0x24C,0x748,1276,e55482f58a22da864200cb2bef2224042ff03c32
english_rev2,international,0x24C,0x748,1276,e55482f58a22da864200cb2bef2224042ff03c32
germany_rev0,international,0x380,0x87C,1276,5f4200e14bd5432ca077e30a59e72a4040570d3f
germany_rev1,international,0x380,0x87C,1276,5f4200e14bd5432ca077e30a59e72a4040570d3f
germany_debug_rev0,international,0x380,0x87C,1276,45b2504cb9eafe2ca8876150e11c4357330fc66e
france_rev0,international,0x380,0x87C,1276,966d6030a3df7957e7490941da358c6aafb25519
france_rev1,international,0x380,0x87C,1276,966d6030a3df7957e7490941da358c6aafb25519
italy_rev0,international,0x380,0x87C,1276,78ee774f1fa88f98f963d0d01e52f3abf792d447
italy_rev1,international,0x380,0x87C,1276,78ee774f1fa88f98f963d0d01e52f3abf792d447
spain_rev0,international,0x380,0x87C,1276,22a81d81daf33d711871cb1b5b98bb794b97e002
spain_rev1,international,0x380,0x87C,1276,22a81d81daf33d711871cb1b5b98bb794b97e002
