target,family,sprite_base_offset,mapped_end_offset,mapped_size,mapped_sha1
japan_rev0,japan,0x74C,0x15F0,3748,217fff7e0511bac82c99eb6f97f603eea884c560
english_rev0,retail_intl,0x748,0x16D4,3980,02aa36aa39c95e3e0692f6b217fc8ef57bec6e0d
english_rev1,retail_intl,0x748,0x16D4,3980,2e06fa9b2be3fd683a1ce34a075d08d366219930
english_rev2,retail_intl,0x748,0x16D4,3980,2e06fa9b2be3fd683a1ce34a075d08d366219930
germany_rev0,retail_intl,0x87C,0x1808,3980,93129324a367ba2cc6143109ebe3b295b8a2d034
germany_rev1,retail_intl,0x87C,0x1808,3980,93129324a367ba2cc6143109ebe3b295b8a2d034
germany_debug_rev0,german_debug,0x87C,0x1820,4004,76172c5ca607f1b6197a2fdd88b52dcf43121e7c
france_rev0,retail_intl,0x87C,0x1808,3980,870a5c9ddba29b2f7b86ec1ad6264b0bc6c27a28
france_rev1,retail_intl,0x87C,0x1808,3980,870a5c9ddba29b2f7b86ec1ad6264b0bc6c27a28
italy_rev0,retail_intl,0x87C,0x1808,3980,f2b58f94b198040989f673f4ced88bf96bcb5863
italy_rev1,retail_intl,0x87C,0x1808,3980,f2b58f94b198040989f673f4ced88bf96bcb5863
spain_rev0,retail_intl,0x87C,0x1808,3980,a6492ac1652989a5dda09dc1921e4f0ece171334
spain_rev1,retail_intl,0x87C,0x1808,3980,a6492ac1652989a5dda09dc1921e4f0ece171334
