family,symbol,relative_offset,size
retail_intl,ResetSpriteData,0x0,76
retail_intl,AnimateSprites,0x4C,76
retail_intl,BuildOamBuffer,0x98,76
retail_intl,UpdateOamCoords,0xE4,196
retail_intl,BuildSpritePriorities,0x1A8,64
retail_intl,SortSprites,0x1E8,448
retail_intl,CopyMatricesToOamBuffer,0x3A8,84
retail_intl,AddSpritesToOamBuffer,0x3FC,152
retail_intl,CreateSprite,0x494,84
retail_intl,CreateSpriteAtEnd,0x4E8,108
retail_intl,CreateInvisibleSprite,0x554,72
retail_intl,CreateSpriteAt,0x59C,344
retail_intl,CreateSpriteAndAnimate,0x6F4,148
retail_intl,DestroySprite,0x788,104
retail_intl,ResetOamRange,0x7F0,56
retail_intl,LoadOam,0x828,48
retail_intl,ClearSpriteCopyRequests,0x858,64
retail_intl,ResetOamMatrices,0x898,44
retail_intl,SetOamMatrix,0x8C4,32
retail_intl,ResetSprite,0x8E4,20
retail_intl,CalcCenterToCornerVec,0x8F8,68
retail_intl,AllocSpriteTiles,0x93C,284
retail_intl,SpriteTileAllocBitmapOp,0xA58,112
retail_intl,SpriteCallbackDummy,0xAC8,4
retail_intl,ProcessSpriteCopyRequests,0xACC,92
retail_intl,RequestSpriteFrameImageCopy,0xB28,100
retail_intl,RequestSpriteCopy,0xB8C,80
retail_intl,CopyFromSprites,0xBDC,40
retail_intl,CopyToSprites,0xC04,40
retail_intl,ResetAllSprites,0xC2C,64
retail_intl,FreeSpriteTiles,0xC6C,28
retail_intl,FreeSpritePalette,0xC88,16
retail_intl,FreeSpriteOamMatrix,0xC98,44
retail_intl,DestroySpriteAndFreeResources,0xCC4,32
retail_intl,DrawPartyMenuMonText,0xCE4,208
retail_intl,AnimateSprite,0xDB4,72
retail_intl,BeginAnim,0xDFC,240
retail_intl,ContinueAnim,0xEEC,160
japan,ResetSpriteData,0x0,76
japan,AnimateSprites,0x4C,76
japan,BuildOamBuffer,0x98,76
japan,UpdateOamCoords,0xE4,196
japan,BuildSpritePriorities,0x1A8,64
japan,SortSprites,0x1E8,448
japan,CopyMatricesToOamBuffer,0x3A8,76
japan,AddSpritesToOamBuffer,0x3F4,140
japan,CreateSprite,0x480,84
japan,CreateSpriteAtEnd,0x4D4,108
japan,CreateInvisibleSprite,0x540,72
japan,CreateSpriteAt,0x588,344
japan,CreateSpriteAndAnimate,0x6E0,148
japan,DestroySprite,0x774,104
japan,ResetOamRange,0x7DC,56
japan,LoadOam,0x814,48
japan,ClearSpriteCopyRequests,0x844,64
japan,ResetOamMatrices,0x884,44
japan,SetOamMatrix,0x8B0,32
japan,ResetSprite,0x8D0,20
japan,CalcCenterToCornerVec,0x8E4,68
japan,AllocSpriteTiles,0x928,284
japan,SpriteTileAllocBitmapOp,0xA44,112
japan,SpriteCallbackDummy,0xAB4,4
japan,ProcessSpriteCopyRequests,0xAB8,92
japan,RequestSpriteFrameImageCopy,0xB14,100
japan,RequestSpriteCopy,0xB78,80
japan,CopyFromSprites,0xBC8,40
japan,CopyToSprites,0xBF0,40
japan,ResetAllSprites,0xC18,60
japan,FreeSpriteTiles,0xC54,28
japan,FreeSpritePalette,0xC70,16
japan,FreeSpriteOamMatrix,0xC80,44
japan,DestroySpriteAndFreeResources,0xCAC,32
japan,AnimateSprite,0xCCC,72
japan,BeginAnim,0xD14,240
japan,ContinueAnim,0xE04,160
german_debug,ResetSpriteData,0x0,76
german_debug,AnimateSprites,0x4C,76
german_debug,BuildOamBuffer,0x98,76
german_debug,UpdateOamCoords,0xE4,196
german_debug,BuildSpritePriorities,0x1A8,64
german_debug,SortSprites,0x1E8,448
german_debug,CopyMatricesToOamBuffer,0x3A8,84
german_debug,AddSpritesToOamBuffer,0x3FC,152
german_debug,CreateSprite,0x494,84
german_debug,CreateSpriteAtEnd,0x4E8,108
german_debug,CreateInvisibleSprite,0x554,72
german_debug,CreateSpriteAt,0x59C,344
german_debug,CreateSpriteAndAnimate,0x6F4,148
german_debug,DestroySprite,0x788,104
german_debug,ResetOamRange,0x7F0,56
german_debug,LoadOam,0x828,48
german_debug,ClearSpriteCopyRequests,0x858,64
german_debug,ResetOamMatrices,0x898,44
german_debug,SetOamMatrix,0x8C4,32
german_debug,ResetSprite,0x8E4,20
german_debug,CalcCenterToCornerVec,0x8F8,68
german_debug,AllocSpriteTiles,0x93C,284
german_debug,SpriteTileAllocBitmapOp,0xA58,112
german_debug,SpriteCallbackDummy,0xAC8,4
german_debug,ProcessSpriteCopyRequests,0xACC,92
german_debug,RequestSpriteFrameImageCopy,0xB28,112
german_debug,RequestSpriteCopy,0xB98,92
german_debug,CopyFromSprites,0xBF4,40
german_debug,CopyToSprites,0xC1C,40
german_debug,ResetAllSprites,0xC44,64
german_debug,FreeSpriteTiles,0xC84,28
german_debug,FreeSpritePalette,0xCA0,16
german_debug,FreeSpriteOamMatrix,0xCB0,44
german_debug,DestroySpriteAndFreeResources,0xCDC,32
german_debug,DrawPartyMenuMonText,0xCFC,208
german_debug,AnimateSprite,0xDCC,72
german_debug,BeginAnim,0xE14,240
german_debug,ContinueAnim,0xF04,160
