family,symbol,relative_offset,size
japan,AgbMain,0x0,252
japan,UpdateLinkAndCallCallbacks,0xFC,72
japan,InitMainCallbacks,0x144,32
japan,CallCallbacks,0x164,36
japan,SetMainCallback2,0x188,20
japan,SeedRngWithRtc,0x19C,28
japan,InitKeys,0x1B8,40
japan,ReadKeys,0x1E0,156
japan,InitIntrHandlers,0x27C,124
japan,SetVBlankCallback,0x2F8,12
japan,SetHBlankCallback,0x304,12
japan,SetVCountCallback,0x310,12
japan,SetSerialCallback,0x31C,12
japan,VBlankIntr,0x328,124
japan,InitFlashTimer,0x3A4,20
japan,HBlankIntr,0x3B8,48
japan,VCountIntr,0x3E8,48
japan,SerialIntr,0x418,48
japan,IntrDummy,0x448,4
japan,WaitForVBlank,0x44C,32
japan,DoSoftReset,0x46C,112
japan,ClearPokemonCrySongs,0x4DC,36
international,AgbMain,0x0,244
international,UpdateLinkAndCallCallbacks,0xF4,72
international,InitMainCallbacks,0x13C,32
international,CallCallbacks,0x15C,36
international,SetMainCallback2,0x180,24
international,SeedRngWithRtc,0x198,28
international,InitKeys,0x1B4,40
international,ReadKeys,0x1DC,156
international,InitIntrHandlers,0x278,124
international,SetVBlankCallback,0x2F4,12
international,SetHBlankCallback,0x300,12
international,SetVCountCallback,0x30C,12
international,SetSerialCallback,0x318,12
international,VBlankIntr,0x324,124
international,InitFlashTimer,0x3A0,20
international,HBlankIntr,0x3B4,48
international,VCountIntr,0x3E4,48
international,SerialIntr,0x414,48
international,IntrDummy,0x444,4
international,WaitForVBlank,0x448,32
international,DoSoftReset,0x468,112
international,ClearPokemonCrySongs,0x4D8,36
