target,layout,part1_base_offset,mapped_end_offset,mapped_size,mapped_sha1
japan_rev0,japanese,0x27DC,0x2C28,1100,64000792d5a1dc3eef9bdd441f62f8f9702ca01f
english_rev0,international,0x29AC,0x2D54,936,4e3e659ce402271de2302169527c0e5e61b8fd9d
english_rev1,international,0x29AC,0x2D54,936,2f7d79100843b11c97a4be28df1bbd897ba2fd27
english_rev2,international,0x29AC,0x2D54,936,2f7d79100843b11c97a4be28df1bbd897ba2fd27
germany_rev0,international,0x2AE0,0x2E88,936,a0184e330f7bc50ef9063d78a27a3372fa5b036a
germany_rev1,international,0x2AE0,0x2E88,936,a0184e330f7bc50ef9063d78a27a3372fa5b036a
germany_debug_rev0,international,0x2AF8,0x2EA0,936,162f135953bf434b39dcde1dd5ab17236bbba21d
france_rev0,international,0x2AE0,0x2E88,936,0774f21d86e839fab37076cc243867d095e8e0d7
france_rev1,international,0x2AE0,0x2E88,936,0774f21d86e839fab37076cc243867d095e8e0d7
italy_rev0,international,0x2AE0,0x2E88,936,1b81f08223f6ef970147b0af08a86f95151c5b07
italy_rev1,international,0x2AE0,0x2E88,936,1b81f08223f6ef970147b0af08a86f95151c5b07
spain_rev0,international,0x2AE0,0x2E88,936,d747b47c8bc02a07d6f4b6afead8906ab1c8e962
spain_rev1,international,0x2AE0,0x2E88,936,d747b47c8bc02a07d6f4b6afead8906ab1c8e962
