target,layout,part4_base_offset,sprite_end_offset,mapped_size,mapped_sha1
japan_rev0,japanese,0x2540,0x27DC,668,ca08a13dfa8d15f9593114ae7be4cb583ffb36cd
english_rev0,international,0x2730,0x29AC,636,03a817b8640db6b95e8df6a38a314c93b74bbebf
english_rev1,international,0x2730,0x29AC,636,895b771a5a74d4bbc7ba4ed00fb9a9b484991286
english_rev2,international,0x2730,0x29AC,636,895b771a5a74d4bbc7ba4ed00fb9a9b484991286
germany_rev0,international,0x2864,0x2AE0,636,6317c5e82ffb6b8a0af8ee338cb7e1d4d8529403
germany_rev1,international,0x2864,0x2AE0,636,6317c5e82ffb6b8a0af8ee338cb7e1d4d8529403
germany_debug_rev0,international,0x287C,0x2AF8,636,965dd5065f46ba0bc20f68451f7bf2bad2b79a9c
france_rev0,international,0x2864,0x2AE0,636,e52b525fb26b4aec05badb524e5f5b2d236a3f90
france_rev1,international,0x2864,0x2AE0,636,e52b525fb26b4aec05badb524e5f5b2d236a3f90
italy_rev0,international,0x2864,0x2AE0,636,8f8073e143b2b0d961a773b63caaaea771bc8ac7
italy_rev1,international,0x2864,0x2AE0,636,8f8073e143b2b0d961a773b63caaaea771bc8ac7
spain_rev0,international,0x2864,0x2AE0,636,60250a96fadd79d50b8ae05c0ff2e2db6379df38
spain_rev1,international,0x2864,0x2AE0,636,60250a96fadd79d50b8ae05c0ff2e2db6379df38
