target,layout,part2_base_offset,mapped_end_offset,mapped_size,mapped_sha1
japan_rev0,japanese,0x2C28,0x2E8C,612,4b49d7724124d8a40f947f0a3f9873bd0717baec
english_rev0,international,0x2D54,0x2FE0,652,fe45f2796364ca6f814f0ccae6b7903f651a4eb4
english_rev1,international,0x2D54,0x2FE0,652,d13643ce31522a5ee969f1b742eeeddc25956b0b
english_rev2,international,0x2D54,0x2FE0,652,d13643ce31522a5ee969f1b742eeeddc25956b0b
germany_rev0,international,0x2E88,0x3114,652,358243a01b2c9b2d99a0193bc24b8fec8791eee9
germany_rev1,international,0x2E88,0x3114,652,358243a01b2c9b2d99a0193bc24b8fec8791eee9
germany_debug_rev0,international,0x2EA0,0x312C,652,9ba4eed300f6c4a5f45d2de7f18b7aeba172d1d0
france_rev0,international,0x2E88,0x3114,652,b2eca139ad0f153781943ab5eeab24e085ab870e
france_rev1,international,0x2E88,0x3114,652,b2eca139ad0f153781943ab5eeab24e085ab870e
italy_rev0,international,0x2E88,0x3114,652,d0732eac6d78ebf8a469aa57605aaf2efb2ba171
italy_rev1,international,0x2E88,0x3114,652,d0732eac6d78ebf8a469aa57605aaf2efb2ba171
spain_rev0,international,0x2E88,0x3114,652,e7cd47f1f8d50655ea6d68a4ca4b9b89539184ee
spain_rev1,international,0x2E88,0x3114,652,e7cd47f1f8d50655ea6d68a4ca4b9b89539184ee
