layout,symbol,relative_offset,size,status
japanese,Text_InitWindowWithTemplate,0x0,64,verified_behavior
japanese,Text_InitWindow,0x40,88,verified_behavior
japanese,JP_TextPrinterHelper_02CC0,0x98,60,provisional_name_verified_behavior
japanese,Text_InitWindow8002E4C,0xD4,32,probable_source_equivalent_verified_wrapper
japanese,Contest_StartTextPrinter,0xF4,152,verified_behavior
japanese,sub_8002FA0,0x18C,52,verified_behavior
japanese,Text_PrintWindow8002F44,0x1C0,80,verified_behavior
japanese,Text_SetWindowText,0x210,28,verified_behavior
japanese,Text_PrintWindowSimple,0x22C,56,verified_behavior
international,Text_InitWindowWithTemplate,0x0,108,verified_source_order
international,Text_InitWindow,0x6C,140,verified_source_order
international,Text_InitWindow8002E4C,0xF8,68,verified_source_order
international,Text_SetWindowText,0x13C,32,verified_source_order
international,Contest_StartTextPrinter,0x15C,148,verified_source_order
international,Text_PrintWindow8002F44,0x1F0,92,verified_source_order
international,sub_8002FA0,0x24C,64,verified_source_order
