symbol,relative_offset,size
AnimCmd_frame,0x0,172
AnimCmd_end,0xAC,24
AnimCmd_jump,0xC4,200
AnimCmd_loop,0x18C,32
BeginAnimLoop,0x1AC,56
ContinueAnimLoop,0x1E4,32
JumpToTopOfAnimLoop,0x204,116
BeginAffineAnim,0x278,124
ContinueAffineAnim,0x2F4,152
AffineAnimDelay,0x38C,52
AffineAnimCmd_loop,0x3C0,52
BeginAffineAnimLoop,0x3F4,60
ContinueAffineAnimLoop,0x430,48
JumpToTopOfAffineAnimLoop,0x460,108
AffineAnimCmd_jump,0x4CC,76
AffineAnimCmd_end,0x518,60
AffineAnimCmd_frame,0x554,56
CopyOamMatrix,0x58C,32
GetSpriteMatrixNum,0x5AC,32
SetSpriteOamFlipBits,0x5CC,116
AffineAnimStateRestartAnim,0x640,28
AffineAnimStateStartAnim,0x65C,40
AffineAnimStateReset,0x684,40
ApplyAffineAnimFrameAbsolute,0x6AC,36
DecrementAnimDelayCounter,0x6D0,40
DecrementAffineAnimDelayCounter,0x6F8,48
ApplyAffineAnimFrameRelativeAndUpdateMatrix,0x728,152
ConvertScaleParam,0x7C0,24
GetAffineAnimFrame,0x7D8,108
ApplyAffineAnimFrame,0x844,64
StartSpriteAnim,0x884,24
StartSpriteAnimIfDifferent,0x89C,28
SeekSpriteAnim,0x8B8,124
StartSpriteAffineAnim,0x934,44
StartSpriteAffineAnimIfDifferent,0x960,52
ChangeSpriteAffineAnim,0x994,56
ChangeSpriteAffineAnimIfDifferent,0x9CC,52
SetSpriteSheetFrameTileNum,0xA00,88
ResetAffineAnimData,0xA58,52
AllocOamMatrix,0xA8C,56
FreeOamMatrix,0xAC4,64
InitSpriteAffineAnim,0xB04,80
