layout,symbol,relative_offset,size,status
japanese,JP_Text_LoadWindowTemplateByKey,0x0,36,provisional_name_verified_behavior
japanese,JP_ClearBGMemByTemplateKey,0x24,16,provisional_name_verified_behavior
japanese,JP_LoadFontDefaultPaletteByTemplateKey,0x34,16,provisional_name_verified_behavior
japanese,JP_UpdateBGRegsByTemplateKey,0x44,16,provisional_name_verified_behavior
japanese,ClearBGMem,0x54,48,verified_behavior
japanese,LoadFontDefaultPalette,0x84,24,verified_behavior
japanese,UpdateBGRegs,0x9C,68,verified_behavior
japanese,InitWindowTileData,0xE0,148,verified_behavior
japanese,MultistepInitWindowTileData,0x174,144,verified_behavior
japanese,MultistepLoadFont,0x204,112,verified_behavior
japanese,MultistepLoadFont_LoadGlyph,0x274,164,verified_behavior
japanese,LoadFixedWidthFont,0x318,56,verified_behavior
japanese,LoadFixedWidthFont_Font1Latin,0x350,52,verified_behavior
japanese,LoadFixedWidthFont_Font4Latin,0x384,60,verified_behavior
japanese,LoadFixedWidthFont_Braille,0x3C0,52,verified_behavior
japanese,InitVariableWidthFontTileData,0x3F4,84,verified_behavior
japanese,EmptyFunc,0x448,4,verified_behavior
international,UpdateBGRegs,0x0,60,verified_source_order
international,ClearBGMem,0x3C,52,verified_source_order
international,LoadFontDefaultPalette,0x70,24,verified_source_order
international,Text_LoadWindowTemplate,0x88,28,verified_source_order
international,InitWindowTileData,0xA4,136,verified_source_order
international,InitVariableWidthFontTileData,0x12C,84,verified_source_order
international,LoadFixedWidthFont,0x180,44,verified_source_order
international,LoadFixedWidthFont_Font1Latin,0x1AC,52,verified_source_order
international,LoadFixedWidthFont_Font4Latin,0x1E0,60,verified_source_order
international,LoadFixedWidthFont_Braille,0x21C,52,verified_source_order
international,MultistepInitWindowTileData,0x250,88,verified_source_order
international,MultistepLoadFont,0x2A8,100,verified_source_order
international,MultistepLoadFont_LoadGlyph,0x30C,152,verified_source_order
international,EmptyFunc,0x3A4,4,verified_source_order
