bank_dec,bank_hex,JP_role,Western_role,same_position_JP_vs_EN_pct
0,00,ROM0 / interrupts / header / home engine + garbage padding,ROM0 / interrupts / header / home engine,3.100586
1,01,system engine / menus / naming / marts / Pokédex display + garbage,system engine / menus / naming / marts / Pokédex display,6.518555
2,02,audio 1 + garbage,audio headers + SFX + audio engine 1 + music 1,99.853516
3,03,overworld core / items / hidden-event dispatch + garbage,overworld core / items / hidden-event dispatch / field logic,2.270508
4,04,move names + NPC sprites 1 + font + battle engine 1 + garbage,NPC sprites 1 + font + battle engine 1,5.670166
5,05,NPC sprites 2 + battle engine 2 + garbage,NPC sprites 2 + battle engine 2,95.513916
6,06,maps 1-2 + play time + doors/ledges + garbage,maps 1-2 + play time + doors/ledges,24.993896
7,07,maps 3-4 + clear save + hidden events 1 + garbage,maps 3-4 + Pokémon names + hidden events 1,4.565430
8,08,audio 2,audio headers + SFX + audio engine 2 + music 2,33.813477
9,09,Pokémon pics 1 + battle engine 3 + garbage,Pokémon pics 1 + battle engine 3,96.228027
10,0A,Pokémon pics 2 + battle engine 4 + garbage,Pokémon pics 2 + battle engine 4,98.419189
11,0B,Pokémon pics 3 + battle engine 5 + garbage,Pokémon pics 3 + battle engine 5,94.146729
12,0C,Pokémon pics 4 + battle engine 6 + garbage,Pokémon pics 4 + battle engine 6,99.011230
13,0D,Pokémon pics 5 + slots + garbage,Pokémon pics 5 + slot machines,81.433105
14,0E,battle engine 7 incl. Pokémon names/data + garbage,battle engine 7 + move/base-stat/cry/evolution data,33.325195
15,0F,battle core,battle core + battle effects,3.747559
16,10,Pokédex/trade/intro + garbage,Pokédex menu + trade/intro movies,9.942627
17,11,maps 5-6 + rating + hidden core + garbage,maps 5-6 + Pokédex rating + hidden-event core,2.825928
18,12,maps 7-8 + screen effects + garbage,maps 7-8 + screen effects,3.558350
19,13,trainer pics + maps 9 + predefs + garbage,trainer pics + maps 9 + predefs,95.812988
20,14,maps 10 + battle engine 8 + hidden 2 + garbage,maps 10 + battle engine 8 + hidden events 2,19.696045
21,15,maps 11-12 + battle engine 9 + diploma/trainer sight + garbage,maps 11-12 + battle engine 9 + diploma + trainer sight,32.843018
22,16,maps 13-14 + battle engine 10 + Saffron guards + garbage,maps 13-14 + battle engine 10 + Saffron guards,23.059082
23,17,maps 15-16 + starter dex + hidden 3 + garbage,maps 15-16 + starter dex + hidden events 3,4.309082
24,18,maps 17-18 + Cinnabar lab + hidden 4 + garbage,maps 17-18 + Cinnabar lab + hidden events 4,7.958984
25,19,tilesets 1 + garbage,tilesets 1,99.633789
26,1A,battle engine 11 + version gfx + tilesets 2 + garbage,battle engine 11 + version gfx + tilesets 2,99.749756
27,1B,tilesets 3,tilesets 3,100.000000
28,1C,credits/splash/HOF/etc + garbage,splash/Hall of Fame/healing/player anims/transitions/map/icons/trades/palettes/save,4.516602
29,1D,maps 19-21 + itemfinder/vending/hidden items + garbage,maps 19-21 + itemfinder + vending + hidden items,1.782227
30,1E,battle animation/status/effects/evolution/TM prices + garbage,battle animations + overworld effects + evolution + TM prices,8.605957
31,1F,audio 3 + garbage,audio headers + SFX + audio engine 3 + music 3,99.945068
