bank,file_start,size,sha1,entropy_bits_per_byte,zero_bytes,ff_bytes
00,0x000000,16384,ea4e846d437aeda413b99a9351058c4078e138e4,7.153624,368,200
01,0x004000,16384,684a549d7dafd4085856ca30473be2864c62b4e8,7.255463,581,102
02,0x008000,16384,b0aa7e34c8e5c4f2c1191ea7f9505704a1bc93c7,6.977057,380,258
03,0x00C000,16384,90955297368490ccadb0b20a6ba6493788147f24,7.354959,394,267
04,0x010000,16384,243f329b7054e3657158ab97fa8519393afb3d34,6.780313,2173,311
05,0x014000,16384,db0b85deeeb98ae32f8e391fdb983dce390b5d39,6.298147,810,191
06,0x018000,16384,c89c789bbf7d34e698156919d598ef7112d3b95c,7.241052,375,174
07,0x01C000,16384,3defa14e68c8957db302a734860f449cb5119374,7.174936,378,234
08,0x020000,16384,4f562b7171ee7900e5fa8500bdf5530ee505fb04,7.060186,309,287
09,0x024000,16384,c78d296a1573526c10af4b42842cb8ea062b02c3,7.807699,16,299
0A,0x028000,16384,0b3bdecdbeb2792a478acbc9c0dfa28a7a1ecf9d,7.840425,12,284
0B,0x02C000,16384,84dc6698c5aec1dabec371204d905f09c87a754b,7.836648,203,299
0C,0x030000,16384,ae4366bcc8d4956a64cd6f6fc019e98af0ca298a,7.819104,12,338
0D,0x034000,16384,623f710d726377b21627ac3c50f3aa2b0e5a210f,7.804546,250,549
0E,0x038000,16384,0980662be6b58f1c63a62b2124273d1f16072b01,7.145709,2018,373
0F,0x03C000,16384,9c9807f0249461f981a1ddc4bd4ceb18350dc7b9,7.065423,290,70
10,0x040000,16384,636d5f380ef191017bf457f0284c5245fb77e262,6.965785,1259,438
11,0x044000,16384,3c6ece3ee092846179085187ddfc1bd8a51b7a5a,7.189089,361,347
12,0x048000,16384,af1896b2f6cef12f4205781681e5aeae190d2fdd,7.116142,407,221
13,0x04C000,16384,c1abe23353d3ea4db69f05b29a3d8f09eae4fdb3,7.835600,35,326
14,0x050000,16384,601d7efd2510eb5763c874428886866dd0ea69ef,7.280832,341,171
15,0x054000,16384,717d98a7614353fc6c94202021eb335c74992120,7.131844,405,128
16,0x058000,16384,b0940397d70235a1192c6a440af6be89c9a55db0,7.151137,384,133
17,0x05C000,16384,9a0d7997c1c885d3b2fc518e5276010648eb6b64,7.093362,371,193
18,0x060000,16384,e6d9783d74055b6b2400872cbc0b138966aeeeb9,7.033718,382,188
19,0x064000,16384,35c5fa205c031e2ea47b43740a33cadc320bffef,6.504074,1475,1588
1A,0x068000,16384,59ed004f46ec877f512faad982d51e8c427d8c19,6.370778,1043,1293
1B,0x06C000,16384,682b94550690d2e4c4103fe93753ed74ab38fc72,6.201428,1420,1810
1C,0x070000,16384,02237adf7b392abe694f0a5ad7b435d9fda01ebf,6.879579,2107,431
1D,0x074000,16384,3b7cc2fa3a82a2b76fb9b481bd3a01f7b52fa47f,7.083362,323,178
1E,0x078000,16384,82b68e0ed9c8765fa36645f1ea15f122ca7e7d9a,6.785580,2200,613
1F,0x07C000,16384,ac511d8b454da83f87cc82c3425e56fd62f8aa1f,7.071512,402,290
