a,b,size_a,size_b,different_bytes,equal_bytes,similarity_ratio
JA-JP,ES-ES,16777216,16777216,13394712,3382504,0.2016129494
JA-JP,EN-US-EU,16777216,16777216,13390435,3386781,0.2018678784
JA-JP,EN-US-EU-ALIAS,16777216,16777216,13390435,3386781,0.2018678784
JA-JP,DE-DE,16777216,16777216,13386784,3390432,0.2020854950
JA-JP,FR-FR,16777216,16777216,13362861,3414355,0.2035114169
JA-JP,IT-IT,16777216,16777216,13352629,3424587,0.2041212916
ES-ES,EN-US-EU,16777216,16777216,10158364,6618852,0.3945143223
ES-ES,EN-US-EU-ALIAS,16777216,16777216,10158364,6618852,0.3945143223
ES-ES,DE-DE,16777216,16777216,10744509,6032707,0.3595773578
ES-ES,FR-FR,16777216,16777216,9927235,6849981,0.4082906842
ES-ES,IT-IT,16777216,16777216,10199886,6577330,0.3920394182
EN-US-EU,EN-US-EU-ALIAS,16777216,16777216,0,16777216,1.0000000000
EN-US-EU,DE-DE,16777216,16777216,10785193,5992023,0.3571524024
EN-US-EU,FR-FR,16777216,16777216,10409185,6368031,0.3795642257
EN-US-EU,IT-IT,16777216,16777216,10494578,6282638,0.3744744062
EN-US-EU-ALIAS,DE-DE,16777216,16777216,10785193,5992023,0.3571524024
EN-US-EU-ALIAS,FR-FR,16777216,16777216,10409185,6368031,0.3795642257
EN-US-EU-ALIAS,IT-IT,16777216,16777216,10494578,6282638,0.3744744062
DE-DE,FR-FR,16777216,16777216,10740226,6036990,0.3598326445
DE-DE,IT-IT,16777216,16777216,10399592,6377624,0.3801360130
FR-FR,IT-IT,16777216,16777216,10402855,6374361,0.3799415231
