tag,pointer_class,count
JA-JP,ROM,99316
JA-JP,EWRAM,30889
JA-JP,IWRAM,14048
JA-JP,IO,1100
JA-JP,PALRAM,334
JA-JP,VRAM,12395
JA-JP,OAM,358
JA-JP,TOTAL_RECOGNIZED,158440
ES-ES,ROM,98549
ES-ES,EWRAM,29771
ES-ES,IWRAM,13997
ES-ES,IO,1121
ES-ES,PALRAM,317
ES-ES,VRAM,11971
ES-ES,OAM,327
ES-ES,TOTAL_RECOGNIZED,156053
EN-US-EU,ROM,98681
EN-US-EU,EWRAM,29761
EN-US-EU,IWRAM,13989
EN-US-EU,IO,1142
EN-US-EU,PALRAM,325
EN-US-EU,VRAM,11968
EN-US-EU,OAM,322
EN-US-EU,TOTAL_RECOGNIZED,156188
EN-US-EU-ALIAS,ROM,98681
EN-US-EU-ALIAS,EWRAM,29761
EN-US-EU-ALIAS,IWRAM,13989
EN-US-EU-ALIAS,IO,1142
EN-US-EU-ALIAS,PALRAM,325
EN-US-EU-ALIAS,VRAM,11968
EN-US-EU-ALIAS,OAM,322
EN-US-EU-ALIAS,TOTAL_RECOGNIZED,156188
DE-DE,ROM,98534
DE-DE,EWRAM,29765
DE-DE,IWRAM,13975
DE-DE,IO,1142
DE-DE,PALRAM,309
DE-DE,VRAM,12007
DE-DE,OAM,343
DE-DE,TOTAL_RECOGNIZED,156075
FR-FR,ROM,98638
FR-FR,EWRAM,29792
FR-FR,IWRAM,13974
FR-FR,IO,1124
FR-FR,PALRAM,319
FR-FR,VRAM,11953
FR-FR,OAM,343
FR-FR,TOTAL_RECOGNIZED,156143
IT-IT,ROM,98490
IT-IT,EWRAM,29768
IT-IT,IWRAM,13975
IT-IT,IO,1136
IT-IT,PALRAM,305
IT-IT,VRAM,11947
IT-IT,OAM,348
IT-IT,TOTAL_RECOGNIZED,155969
