rom,table,offset_hex,bank_hex,entry_count,entry_size,byte_length,sha1
JP,BaseData,0x0514BA,0x14,251,32,8032,33b3dad88e67289252d419cc56248dfbf4ae7887
JP,Moves,0x041C69,0x10,251,7,1757,88aec41b405babe450cb766530344fed58803b19
EN0,BaseData,0x051424,0x14,251,32,8032,33b3dad88e67289252d419cc56248dfbf4ae7887
EN0,Moves,0x041AFB,0x10,251,7,1757,88aec41b405babe450cb766530344fed58803b19
EN1,BaseData,0x051424,0x14,251,32,8032,33b3dad88e67289252d419cc56248dfbf4ae7887
EN1,Moves,0x041AFB,0x10,251,7,1757,88aec41b405babe450cb766530344fed58803b19
DE,BaseData,0x05140E,0x14,251,32,8032,33b3dad88e67289252d419cc56248dfbf4ae7887
DE,Moves,0x041AEB,0x10,251,7,1757,88aec41b405babe450cb766530344fed58803b19
FR,BaseData,0x051417,0x14,251,32,8032,33b3dad88e67289252d419cc56248dfbf4ae7887
FR,Moves,0x041B06,0x10,251,7,1757,88aec41b405babe450cb766530344fed58803b19
IT,BaseData,0x051433,0x14,251,32,8032,33b3dad88e67289252d419cc56248dfbf4ae7887
IT,Moves,0x041AFA,0x10,251,7,1757,88aec41b405babe450cb766530344fed58803b19
ES,BaseData,0x05142D,0x14,251,32,8032,33b3dad88e67289252d419cc56248dfbf4ae7887
ES,Moves,0x041B0E,0x10,251,7,1757,88aec41b405babe450cb766530344fed58803b19
