national_dex_number,latest_official_korean,official_detail_record_id,official_source,official_index_source,source_accessed_date,selection_rule
1,이상해씨,1,https://pokemonkorea.co.kr/pokedex/view/1,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
2,이상해풀,2,https://pokemonkorea.co.kr/pokedex/view/2,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
3,이상해꽃,3,https://pokemonkorea.co.kr/pokedex/view/3,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
4,파이리,6,https://pokemonkorea.co.kr/pokedex/view/6,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
5,리자드,7,https://pokemonkorea.co.kr/pokedex/view/7,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
6,리자몽,8,https://pokemonkorea.co.kr/pokedex/view/8,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
7,꼬부기,12,https://pokemonkorea.co.kr/pokedex/view/12,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
8,어니부기,13,https://pokemonkorea.co.kr/pokedex/view/13,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
9,거북왕,14,https://pokemonkorea.co.kr/pokedex/view/14,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
10,캐터피,17,https://pokemonkorea.co.kr/pokedex/view/17,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
