bank_hex,JP-JA-HV0,US-EU-EN-HV0,EU-DE-HV0,EU-FR-HV0,EU-IT-HV0,EU-ES-HV0
00,3f3c27f7b8960211fc903af906610c34d98e7a84,cf785a689639826f7a9ae2eda88e8d6cdeebc54e,bf5661ca44cdee2e1827016ef556aa36e17108cc,351387bf9ad2c98f0545109c032d7a93f675f306,35646dd4fa4ca99c3e4f0ea567fcbe4d19d7390a,3fd427297d15e9f0b13a2e83fb233d8946623bf4
01,658e0b402cfcfb73b348e28ea211f8f5d71617c8,f39c9737b3d36c15782666a05ab0ac3691a77eb3,18e2ff1ec7781f862bb0992bdc2a9dc791bb03fd,08aebbf933525d8d18c44ab28f3d245989e7fd7a,9b5c9f0f71e15c838747c1eaed8600d78ea3b05b,6f6cc23177be4dd3d4394a3133193ac6a54835c2
02,ab1c569e0bef1f2a1430410e031248df70047316,466a84098c3df3e7a767b2a18846cbec9e98550d,798122e37bba533e8814747f105ad37117986a06,41856b8af84c392e846831c1d2d53ebd8096c96c,42f8879adf60fcf4f76583a2fc09615559386bed,ab32dbc81b14be10440e73be148cc50e8962e1e6
03,6bd8547d7892b51a977325d69ec9bd3bd9a92e62,37ce99e1cc36b56c41a604337a057b30cf3fba0c,ccee9b6b5b6ec513ff27eb6bc45f5b22dc010025,8525f8483603c574300123dc6ca1bdd9397ae360,7714aba31f4ff2e742a60b65ab8644454d47fe05,c90b4a2cfa8ee07864fa493b972f29516af58eee
04,58dc26595a4912d4e9b982d542b53d5bfb06bddc,46e2b9663e3ea9fa6703ef58d6d7c29dcabfc5ab,09f7fc7b6cd92d2ac10e4ef757dd3c6cda104518,d80e617d92cd22d1dc1594f19c0d911c7bd4b0bb,e170b86b2a5544ce87a82f2e040b5d8c602e3f5d,307a4523b1fa88cfcf73d851571bd5805ffee618
05,c79c041b521451e5850bc3b54f8f0c05b8da440b,efe18ca8e07ece64f76cfc4780e4413a27e38926,1031cbe0426a95e76bd18b519bcde126209e7e9b,c089206a5f63f9ab90d225ebcc1f6c6b3e334d5c,8946602d7466e1c33de16f2923f05b6288b55c42,13b966337452244b8c34e8450b4ca2fcb4288379
06,b32c6b738774849da75a7c4bb47bd90356986507,d5c3b6f8a853fc321dbaef95d547cc66d1764ead,b2a22d6798088c6ae633a9034f7f60933d7bd15f,28a46a7016ffdaf595b61edfbf5e3003d21fef3e,8d3b20fb8d3c073cbd8fb7395e68cf14ab0c7e31,45853456f934b9aa5b93fcade10d50a00c516b1a
07,633525341119f61b6f91b2160ff8a3bf730b252d,521af681a3e4c9d45521d2e3921d008fffa1a436,82eb3afbf415e16abd3bdeac198befe77f3e68a8,817657ca9aa4e9fbd5b9cc696ad5660eef318d16,220bdfa35f8ede6e46932151f9100423e8cb51b0,60ca8ff3921753cea70790d469577fbd6f62afa5
08,ecc410117d05472d5face73eb53470407812765b,2b77916418ed61d8787ad77029f9ea08e158e12f,af6ac20e70c189535140727b75a536563229a79f,05dfe45299550ec43dcd61992769975fd528dfbb,147935d0edda14fb29077888d50212d822447bd8,19b00ddcf0ee8a3a69eb8fec177827692aaa9492
09,badae8ebbc4298561e4b73ecbe064a9bf6e5784b,7e54fcda332d9d3767042fb4c18ca4bdd5eda2a9,f9f9d123ed48dfe0366c43192bd7ad105be030fd,c1103a9fac5f30c89de1936a7d9f6df7916ac4cb,bf49c5704ea695f352c43c21ab95d8feaff61f8b,76bfde2094a59995deb09be6cd027775bffde92c
0A,e2228c5b805beee48b2e1489c7c1282c96d6fda2,8190a9213c0244043ce018c6e494531913f6ee00,adc20a64213648943b2bfeb82c5bfa53b0147c4b,02098afc288b543287f9cc797ace794a11347335,c450f0aa3835483d6c4f905dcaff4fe2e7e28010,2dede17213f9a28e9040e50ae95f7e362ec55819
0B,df2da00a2535ea70186f90f7792eb2c55c0bd3b9,01277e001ed9ac257d8afb678528b70cd34c6bac,1e9c6f9b6af6d91a196bcc795b4b23fdfff59c55,500382d885071c74ee75c084c7a64578898f7fea,aa37373e521e27cfaee3de3b1365cf8c34d1a2d5,43600e3d2f83721e5f3369a62c68ffeef8e50663
0C,646b718c30c60121331f2db4fc244b1d48ed8ca9,b98c55406c15bfa81968914f33076c826e01383c,e4674f6718c051310376275dd11609411739b498,4840e9dc3780d40d8e970f050733cc1f0e58fa65,7eeeeb3c994275ed7f9531cf12181de778990f29,7122394cab44dc3197e1164fff107520734dbbf2
0D,3aba8b2bc8369e347cf275af8f0a924fe7cb2a1e,04d47d67f8c7ca0ed2420162d34597ab655d276d,12cd5f0c9d22fdb916cdb615878d08de0c1aa81f,93763ba3081e0c810133d8edab6eea33eec33297,ac6a5cd0f2e33b0b2c83e0b81ccdbee346bcfca6,99c7b4b0b6cf89428c09d6386dee1683909ef551
0E,69e954f1cfdb580b7233c7da806428546aa7971e,c2df217d01e65752b20bd53b5e566913169c48f4,d1f451c3e75dacd7826147e41d386b6a400e8a81,c261decbd903d106da611d5bb4e16d6e649094c9,133470af017ce64cba82ae59bf1e47116eb102a9,2b2a124d8bd9be9f3b2eea01e66755f0d768bcaf
0F,d3a40caff3d0863fa573190be730c62310a093f1,bf8b2db73ffd9e2aad3b0a1850afd436c27bab05,3aff39922f22d26a3e4ed106261333a3bf185ded,6d6e0d2d9cea98f512fa7022ce1646b233b9087d,7b9ed051494f7f95868867b616f47ca2421e2c94,ede57637eb837156e4c222c161e827fbf32d7fdf
10,4e39c442afc4b87b3bf4e183e08869205e10b27e,0262bd539db613059fab8f80909b5256ce9d3fb8,9a5690d5d644d4b7bac665749d2f0b1cb2ae8749,66784ad65ba4035ceea9ed5fed855300a100249c,bc9bc915ef1127963b9da808357e9805e88e9059,77055d084b4d0b4f0dfa2a1f2810c69ea371b979
11,b51b49dd69864efe1d2b3147c8e08bae3acc2ae3,0ead61a0b929368d14c8fcf557952f8d3d0ddde5,6c589d675fcb3b03e211c6260fe7a78bb3e706e9,0175b930b2ea70f3f6df17ba121f750ae26852ac,4b6b83907ec4074ec318abb8a049e03cfebafbdb,a7f4b4fbaec91397a13bb2e4da7331e0cf165b61
12,61df00cf006290c81d0474cbea485b593045816f,e174e5deda87b69be86d25bb54e99da601c39c4b,ff9a68088f8649b88a66e48c3d08d234e33f62f6,01772856f45bfdf2d8f9ae5de528189ede223c67,b979d991a9bd895941357fe449f4a6e6ed0f59e3,3972ee7f7720e4e55eac79026531aee337f0ce2e
13,fad644712faccf84abda5aee8846dabeb9f7546a,6ae5df7f883014e15f50e214837f48acc94dfb4b,af89cd758dd741ea937d86334fcd43b93be29210,4799c8d241a06698507d60a631e2a31d0c6f9bae,aa76309d68d550e6f4859ff479067f882b6e2b1c,1c255573105142ec052b4cc7b1930465faaf2d49
14,ad3e5ea5db776f005b70582e2f595ebb80349f4e,9af2fa9944e431e0d8f9885916213c5f65f5e2ee,3b5236d795ea7eab8ae071d7f567494c262da8c8,1b3b64ffa917dcc97c6599297c3d250ea3b08d69,14a87c9b5c66c5297f0076fa544a9cfd080c4f3b,f2a602906e7d5653ecbcd1e328d3745b7479e0bd
15,04730d346be6a74f4b0b0546fedbbc99de61443d,f9e0e10fa88d678f485523241cb3524b6f9f183b,3bb0531992f733b08124257f0b8b93e7a37ae1a8,6012f59ccf99ec75aaac30281ad0e003f1100555,632393c11408bb6112d7318075fc610fde8c633c,b2217226bcf4a934234f9b8f2e280b7aac745112
16,c948152db434eb6bf106dc101eb0d159fd2192e2,3efd9b0faba5c087c3989052ed52661bb5870faf,879fc683ef7a916c1ab483d374974ddf99a3b1ef,fabee9ab4c82b4b6173d91bba79f243542d96513,e2cd0415bfd943fc5b13b45f5c8e4bbeb177d1bd,94f8db969ab465782ba7468c0fcf47e40853040f
17,0fac544bd6f5dfd7ed736d9d61c935391b7555a3,2808151e38cce83885ad9bc7c00cae66481bd39f,f7602050d047cc1047f13cdc3674ca1b00f315e6,a93ab975e649205df3fbb397e35a14ff2fae9a38,197005f7fa96950cfdf8c18e95848ab892d3a946,1a09b04028feaa214a71aad4061ac6858bc7aaaf
18,406068f3e1530dc4332e8511ef98de7edba8718e,36b907a9783ae00ef1eea92357cb88c45284ef7b,52158744bc34ba52340d80a8e73cd8bbf4b9e0b0,ea6a3135878ea2b3cd47ec2477d867e3b69c948b,debcd82b1c001021829eb10441aa1015c2a15fc0,6cdb84a3190315c2ed1d3f6dc3dea032fc5a53b7
19,2ff9dfdcc4e131f90f816058e1815f27f2e36bd0,41d0ea917b41d3f8796b549fd0ef63427fbd1ab1,8fbb2bb1aa3b27c23958bdd898a0c460a8cab9ff,992906511fa05f1179ac2dcf12dca8ec980f3a2a,7877663186ab536a3a6ee080cd925df2e030bba6,792325ce97fec4f99287fecc31989f13ffffa38b
