bank_hex,sha1,release_count,release_ids
1B,682b94550690d2e4c4103fe93753ed74ab38fc72,6,JP-JA-HV0;US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
2D,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
2E,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
2F,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
30,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
31,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
32,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
33,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
34,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
35,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
36,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
37,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
38,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
39,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
3A,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
3B,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
3C,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
3D,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
3E,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
3F,897256b6709e1a4da9daba92b6bde39ccfccd8c1,5,US-EU-EN-HV0;EU-DE-HV0;EU-FR-HV0;EU-IT-HV0;EU-ES-HV0
