release_id,bank_hex,offset_start,offset_end_exclusive,sha1,sha256,entropy_bits_per_byte,zero_fraction,ff_fraction,most_common_byte,most_common_fraction,all_zero,all_ff
US-EU-EN-HV0,00,0x000000,0x004000,cf785a689639826f7a9ae2eda88e8d6cdeebc54e,4566d6f503d8420529f2c7918465c169b4eb464300cbcfe29a31694e1e3cc6b5,7.129822,0.034973,0.009827,0xCD,0.037415,False,False
US-EU-EN-HV0,01,0x004000,0x008000,f39c9737b3d36c15782666a05ab0ac3691a77eb3,417c4610d394efe72729ed0cf8cfc7f73a17901e143f627474744c371753467e,7.035003,0.090637,0.005188,0x00,0.090637,False,False
US-EU-EN-HV0,02,0x008000,0x00C000,466a84098c3df3e7a767b2a18846cbec9e98550d,6277577a36b5d75d3c1032ae8c1fcf352730177cd3e5f31de4cf7b135b92e7af,6.978287,0.024170,0.015564,0xC0,0.034119,False,False
US-EU-EN-HV0,03,0x00C000,0x010000,37ce99e1cc36b56c41a604337a057b30cf3fba0c,53f6923c31f441ed3a0f2ad7909fe9b3ec7af6346ec065bd2351d34514123e7b,7.139818,0.079895,0.015442,0x00,0.079895,False,False
US-EU-EN-HV0,04,0x010000,0x014000,46e2b9663e3ea9fa6703ef58d6d7c29dcabfc5ab,9fe7ea1643645d108ad1b895a5ea8a304cd4d8cf404a33a3fdea0c1209b9e199,6.180473,0.242859,0.021912,0x00,0.242859,False,False
US-EU-EN-HV0,05,0x014000,0x018000,efe18ca8e07ece64f76cfc4780e4413a27e38926,61622d4c512aa99f3451d3d6be530fde11a87f8892bdc80d94179f188946e56c,6.247522,0.058777,0.010803,0xFC,0.060669,False,False
US-EU-EN-HV0,06,0x018000,0x01C000,d5c3b6f8a853fc321dbaef95d547cc66d1764ead,8a3aeb3f4ba39feb37fff0917af2daeaab473e30f6a552bc202fe375e231036c,5.187322,0.400330,0.009094,0x00,0.400330,False,False
US-EU-EN-HV0,07,0x01C000,0x020000,521af681a3e4c9d45521d2e3921d008fffa1a436,daaa098d7a9ef16b5c970c21b318b5e0134cf2b3f0b5133a30439974c733f00b,5.711933,0.312073,0.013245,0x00,0.312073,False,False
US-EU-EN-HV0,08,0x020000,0x024000,2b77916418ed61d8787ad77029f9ea08e158e12f,5a2a94dd36930c01aa30aefee4035e8396838939130f82289b7845347e8ac046,7.018691,0.028564,0.017395,0xE5,0.034851,False,False
US-EU-EN-HV0,09,0x024000,0x028000,7e54fcda332d9d3767042fb4c18ca4bdd5eda2a9,8f684c599df8ad7617674008c8b7edfc97b01c75314ff738a600679d192544ae,7.814898,0.005127,0.014221,0xFF,0.014221,False,False
US-EU-EN-HV0,0A,0x028000,0x02C000,8190a9213c0244043ce018c6e494531913f6ee00,52ad1c8b985b336b9e28c6aaa0112e459e789be325e9f0a8379a012abd718e4e,7.808805,0.016479,0.015564,0x00,0.016479,False,False
US-EU-EN-HV0,0B,0x02C000,0x030000,01277e001ed9ac257d8afb678528b70cd34c6bac,ec0912b59d9f95b698ea63193266496fcde06e63ab7b764082cf62512d3f22d0,7.747118,0.038940,0.020203,0x00,0.038940,False,False
