object,jp_rev0,jp_rev1,us_rev0,us_rev1,fr,de,it,es
rom_header,0x08000000-0x080000FF,0x08000000-0x080000FF,0x08000000-0x080000FF,0x08000000-0x080000FF,0x08000000-0x080000FF,0x08000000-0x080000FF,0x08000000-0x080000FF,0x08000000-0x080000FF
gf_rom_header,0x08000100-0x08000203,0x08000100-0x08000203,0x08000100-0x08000203,0x08000100-0x08000203,0x08000100-0x08000203,0x08000100-0x08000203,0x08000100-0x08000203,0x08000100-0x08000203
crt0,0x08000204-0x080003A3,0x08000204-0x080003A3,0x08000204-0x080003A3,0x08000204-0x080003A3,0x08000204-0x080003A3,0x08000204-0x080003A3,0x08000204-0x080003A3,0x08000204-0x080003A3
main,0x080003A4-0x08000967,0x080003A4-0x08000963,0x080003A4-0x08000967,0x080003A4-0x0800097B,0x080003A4-0x08000963,0x080003A4-0x08000977,0x080003A4-0x08000977,0x080003A4-0x08000963
gpu_regs,0x08000968-0x08000BFB,0x08000964-0x08000BF7,0x08000968-0x08000BFB,0x0800097C-0x08000C0F,0x08000964-0x08000BF7,0x08000978-0x08000C0B,0x08000978-0x08000C0B,0x08000964-0x08000BF7
dma3_manager,0x08000BFC-0x08001027,0x08000BF8-0x08001023,0x08000BFC-0x08001027,0x08000C10-0x0800103B,0x08000BF8-0x08001023,0x08000C0C-0x08001037,0x08000C0C-0x08001037,0x08000BF8-0x08001023
bg,0x08001028-0x0800292B,0x08001024-0x08002927,0x08001028-0x0800292B,0x0800103C-0x0800293F,0x08001024-0x08002927,0x08001038-0x0800293B,0x08001038-0x0800293B,0x08001024-0x08002927
malloc,0x0800292C-0x08002C1B,0x08002928-0x08002B87,0x0800292C-0x08002C1B,0x08002940-0x08002C2F,0x08002928-0x08002B87,0x0800293C-0x08002B9B,0x0800293C-0x08002B9B,0x08002928-0x08002B87
text_printer,0x08002C1C-0x08003AEB,0x08002B88-0x08003A57,0x08002C1C-0x08003B1F,0x08002C30-0x08003B33,0x08002B88-0x08003A8B,0x08002B9C-0x08003A9F,0x08002B9C-0x08003A9F,0x08002B88-0x08003A8B
window,0x08003AEC-0x08004A2B,0x08003A58-0x08004997,0x08003B20-0x08004A5F,0x08003B34-0x08004A73,0x08003A8C-0x080049CB,0x08003AA0-0x080049DF,0x08003AA0-0x080049DF,0x08003A8C-0x080049CB
blit,0x08004A2C-0x08004FFF,0x08004998-0x08004F6B,0x08004A60-0x08005033,0x08004A74-0x08005047,0x080049CC-0x08004F9F,0x080049E0-0x08004FB3,0x080049E0-0x08004FB3,0x080049CC-0x08004F9F
window_8bpp,0x08005000-0x08005347,0x08004F6C-0x080052B3,0x08005034-0x0800537B,0x08005048-0x0800538F,0x08004FA0-0x080052E7,0x08004FB4-0x080052FB,0x08004FB4-0x080052FB,0x08004FA0-0x080052E7
text,0x08005348-0x0800668B,0x080052B4-0x080065F7,0x0800537C-0x08006B0F,0x08005390-0x08006B23,0x080052E8-0x08006A7B,0x080052FC-0x08006A8F,0x080052FC-0x08006A8F,0x080052E8-0x08006A7B
sprite,0x0800668C-0x0800886F,0x080065F8-0x080087DB,0x08006B10-0x08008CF3,0x08006B24-0x08008D07,0x08006A7C-0x08008C5F,0x08006A90-0x08008C73,0x08006A90-0x08008C73,0x08006A7C-0x08008C5F
string_util_next,0x08008870,0x080087DC,0x08008CF4,0x08008D08,0x08008C60,0x08008C74,0x08008C74,0x08008C60
