bank_dec,bank_hex,western_role,JP_role,EN_source_free,JP_AO_sha1,JP_AO_trailing00,DE_sha1,DE_trailing00,EN_sha1,EN_trailing00,ES_sha1,ES_trailing00,FR_sha1,FR_trailing00,IT_sha1,IT_trailing00
0,00,ROM0 / interrupts / header / home engine,ROM0 / interrupts / header / home engine + garbage padding,156,3f3c27f7b8960211fc903af906610c34d98e7a84,0,bf5661ca44cdee2e1827016ef556aa36e17108cc,64,cf785a689639826f7a9ae2eda88e8d6cdeebc54e,90,3fd427297d15e9f0b13a2e83fb233d8946623bf4,59,351387bf9ad2c98f0545109c032d7a93f675f306,61,35646dd4fa4ca99c3e4f0ea567fcbe4d19d7390a,66
1,01,system engine / menus / naming / marts / Pokédex display,system engine / menus / naming / marts / Pokédex display + garbage,951,658e0b402cfcfb73b348e28ea211f8f5d71617c8,0,18e2ff1ec7781f862bb0992bdc2a9dc791bb03fd,953,f39c9737b3d36c15782666a05ab0ac3691a77eb3,951,6f6cc23177be4dd3d4394a3133193ac6a54835c2,868,08aebbf933525d8d18c44ab28f3d245989e7fd7a,838,9b5c9f0f71e15c838747c1eaed8600d78ea3b05b,930
2,02,audio headers + SFX + audio engine 1 + music 1,audio 1 + garbage,12,ab1c569e0bef1f2a1430410e031248df70047316,1,798122e37bba533e8814747f105ad37117986a06,12,466a84098c3df3e7a767b2a18846cbec9e98550d,12,ab32dbc81b14be10440e73be148cc50e8962e1e6,12,41856b8af84c392e846831c1d2d53ebd8096c96c,12,42f8879adf60fcf4f76583a2fc09615559386bed,12
3,03,overworld core / items / hidden-event dispatch / field logic,overworld core / items / hidden-event dispatch + garbage,950,6bd8547d7892b51a977325d69ec9bd3bd9a92e62,0,ccee9b6b5b6ec513ff27eb6bc45f5b22dc010025,957,37ce99e1cc36b56c41a604337a057b30cf3fba0c,950,c90b4a2cfa8ee07864fa493b972f29516af58eee,948,8525f8483603c574300123dc6ca1bdd9397ae360,966,7714aba31f4ff2e742a60b65ab8644454d47fe05,956
4,04,NPC sprites 1 + font + battle engine 1,move names + NPC sprites 1 + font + battle engine 1 + garbage,1376,58dc26595a4912d4e9b982d542b53d5bfb06bddc,0,09f7fc7b6cd92d2ac10e4ef757dd3c6cda104518,1362,46e2b9663e3ea9fa6703ef58d6d7c29dcabfc5ab,1376,307a4523b1fa88cfcf73d851571bd5805ffee618,1329,d80e617d92cd22d1dc1594f19c0d911c7bd4b0bb,1359,e170b86b2a5544ce87a82f2e040b5d8c602e3f5d,1324
5,05,NPC sprites 2 + battle engine 2,NPC sprites 2 + battle engine 2 + garbage,161,c79c041b521451e5850bc3b54f8f0c05b8da440b,0,1031cbe0426a95e76bd18b519bcde126209e7e9b,176,efe18ca8e07ece64f76cfc4780e4413a27e38926,161,13b966337452244b8c34e8450b4ca2fcb4288379,176,c089206a5f63f9ab90d225ebcc1f6c6b3e334d5c,176,8946602d7466e1c33de16f2923f05b6288b55c42,176
6,06,maps 1-2 + play time + doors/ledges,maps 1-2 + play time + doors/ledges + garbage,6376,b32c6b738774849da75a7c4bb47bd90356986507,1,b2a22d6798088c6ae633a9034f7f60933d7bd15f,6371,d5c3b6f8a853fc321dbaef95d547cc66d1764ead,6376,45853456f934b9aa5b93fcade10d50a00c516b1a,6371,28a46a7016ffdaf595b61edfbf5e3003d21fef3e,6371,8d3b20fb8d3c073cbd8fb7395e68cf14ab0c7e31,6371
7,07,maps 3-4 + Pokémon names + hidden events 1,maps 3-4 + clear save + hidden events 1 + garbage,4926,633525341119f61b6f91b2160ff8a3bf730b252d,0,82eb3afbf415e16abd3bdeac198befe77f3e68a8,4929,521af681a3e4c9d45521d2e3921d008fffa1a436,4926,60ca8ff3921753cea70790d469577fbd6f62afa5,4926,817657ca9aa4e9fbd5b9cc696ad5660eef318d16,4926,220bdfa35f8ede6e46932151f9100423e8cb51b0,4927
8,08,audio headers + SFX + audio engine 2 + music 2,audio 2,174,ecc410117d05472d5face73eb53470407812765b,0,af6ac20e70c189535140727b75a536563229a79f,163,2b77916418ed61d8787ad77029f9ea08e158e12f,174,19b00ddcf0ee8a3a69eb8fec177827692aaa9492,169,05dfe45299550ec43dcd61992769975fd528dfbb,170,147935d0edda14fb29077888d50212d822447bd8,175
9,09,Pokémon pics 1 + battle engine 3,Pokémon pics 1 + battle engine 3 + garbage,72,badae8ebbc4298561e4b73ecbe064a9bf6e5784b,0,f9f9d123ed48dfe0366c43192bd7ad105be030fd,77,7e54fcda332d9d3767042fb4c18ca4bdd5eda2a9,72,76bfde2094a59995deb09be6cd027775bffde92c,55,c1103a9fac5f30c89de1936a7d9f6df7916ac4cb,84,bf49c5704ea695f352c43c21ab95d8feaff61f8b,42
