bank_dec,bank_hex,western_role,JP_role,EN_source_free,JP_AO_sha1,JP_AO_trailing00,DE_sha1,DE_trailing00,EN_sha1,EN_trailing00,ES_sha1,ES_trailing00,FR_sha1,FR_trailing00,IT_sha1,IT_trailing00
48,30,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
49,31,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
50,32,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
51,33,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
52,34,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
53,35,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
54,36,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
55,37,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
56,38,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
57,39,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
58,3A,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
59,3B,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
60,3C,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
61,3D,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
62,3E,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
63,3F,physical blank bank (outside linked 0x00-0x2C content),,,,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,16384
