bank_dec,bank_hex,western_role,JP_role,EN_source_free,JP_AO_sha1,JP_AO_trailing00,DE_sha1,DE_trailing00,EN_sha1,EN_trailing00,ES_sha1,ES_trailing00,FR_sha1,FR_trailing00,IT_sha1,IT_trailing00
16,10,Pokédex menu + trade/intro movies,Pokédex/trade/intro + garbage,6157,4e39c442afc4b87b3bf4e183e08869205e10b27e,0,9a5690d5d644d4b7bac665749d2f0b1cb2ae8749,6299,0262bd539db613059fab8f80909b5256ce9d3fb8,6157,77055d084b4d0b4f0dfa2a1f2810c69ea371b979,6269,66784ad65ba4035ceea9ed5fed855300a100249c,6279,bc9bc915ef1127963b9da808357e9805e88e9059,6267
17,11,maps 5-6 + Pokédex rating + hidden-event core,maps 5-6 + rating + hidden core + garbage,3925,b51b49dd69864efe1d2b3147c8e08bae3acc2ae3,0,6c589d675fcb3b03e211c6260fe7a78bb3e706e9,3925,0ead61a0b929368d14c8fcf557952f8d3d0ddde5,3925,a7f4b4fbaec91397a13bb2e4da7331e0cf165b61,3925,0175b930b2ea70f3f6df17ba121f750ae26852ac,3925,4b6b83907ec4074ec318abb8a049e03cfebafbdb,3925
18,12,maps 7-8 + screen effects,maps 7-8 + screen effects + garbage,7281,61df00cf006290c81d0474cbea485b593045816f,0,ff9a68088f8649b88a66e48c3d08d234e33f62f6,7278,e174e5deda87b69be86d25bb54e99da601c39c4b,7281,3972ee7f7720e4e55eac79026531aee337f0ce2e,7278,01772856f45bfdf2d8f9ae5de528189ede223c67,7282,b979d991a9bd895941357fe449f4a6e6ed0f59e3,7279
19,13,trainer pics + maps 9 + predefs,trainer pics + maps 9 + predefs + garbage,94,fad644712faccf84abda5aee8846dabeb9f7546a,0,af89cd758dd741ea937d86334fcd43b93be29210,94,6ae5df7f883014e15f50e214837f48acc94dfb4b,94,1c255573105142ec052b4cc7b1930465faaf2d49,94,4799c8d241a06698507d60a631e2a31d0c6f9bae,94,aa76309d68d550e6f4859ff479067f882b6e2b1c,94
20,14,maps 10 + battle engine 8 + hidden events 2,maps 10 + battle engine 8 + hidden 2 + garbage,5566,ad3e5ea5db776f005b70582e2f595ebb80349f4e,0,3b5236d795ea7eab8ae071d7f567494c262da8c8,5572,9af2fa9944e431e0d8f9885916213c5f65f5e2ee,5566,f2a602906e7d5653ecbcd1e328d3745b7479e0bd,5567,1b3b64ffa917dcc97c6599297c3d250ea3b08d69,5561,14a87c9b5c66c5297f0076fa544a9cfd080c4f3b,5564
21,15,maps 11-12 + battle engine 9 + diploma + trainer sight,maps 11-12 + battle engine 9 + diploma/trainer sight + garbage,5557,04730d346be6a74f4b0b0546fedbbc99de61443d,0,3bb0531992f733b08124257f0b8b93e7a37ae1a8,5546,f9e0e10fa88d678f485523241cb3524b6f9f183b,5557,b2217226bcf4a934234f9b8f2e280b7aac745112,5556,6012f59ccf99ec75aaac30281ad0e003f1100555,5564,632393c11408bb6112d7318075fc610fde8c633c,5552
22,16,maps 13-14 + battle engine 10 + Saffron guards,maps 13-14 + battle engine 10 + Saffron guards + garbage,6725,c948152db434eb6bf106dc101eb0d159fd2192e2,1,879fc683ef7a916c1ab483d374974ddf99a3b1ef,6726,3efd9b0faba5c087c3989052ed52661bb5870faf,6726,94f8db969ab465782ba7468c0fcf47e40853040f,6726,fabee9ab4c82b4b6173d91bba79f243542d96513,6726,e2cd0415bfd943fc5b13b45f5c8e4bbeb177d1bd,6726
23,17,maps 15-16 + starter dex + hidden events 3,maps 15-16 + starter dex + hidden 3 + garbage,8427,0fac544bd6f5dfd7ed736d9d61c935391b7555a3,0,f7602050d047cc1047f13cdc3674ca1b00f315e6,8432,2808151e38cce83885ad9bc7c00cae66481bd39f,8427,1a09b04028feaa214a71aad4061ac6858bc7aaaf,8422,a93ab975e649205df3fbb397e35a14ff2fae9a38,8445,197005f7fa96950cfdf8c18e95848ab892d3a946,8432
24,18,maps 17-18 + Cinnabar lab + hidden events 4,maps 17-18 + Cinnabar lab + hidden 4 + garbage,6870,406068f3e1530dc4332e8511ef98de7edba8718e,0,52158744bc34ba52340d80a8e73cd8bbf4b9e0b0,6870,36b907a9783ae00ef1eea92357cb88c45284ef7b,6870,6cdb84a3190315c2ed1d3f6dc3dea032fc5a53b7,6870,ea6a3135878ea2b3cd47ec2477d867e3b69c948b,6870,debcd82b1c001021829eb10441aa1015c2a15fc0,6870
25,19,tilesets 1,tilesets 1 + garbage,32,2ff9dfdcc4e131f90f816058e1815f27f2e36bd0,0,8fbb2bb1aa3b27c23958bdd898a0c460a8cab9ff,32,41d0ea917b41d3f8796b549fd0ef63427fbd1ab1,32,792325ce97fec4f99287fecc31989f13ffffa38b,32,992906511fa05f1179ac2dcf12dca8ec980f3a2a,32,7877663186ab536a3a6ee080cd925df2e030bba6,32
26,1A,battle engine 11 + version gfx + tilesets 2,battle engine 11 + version gfx + tilesets 2 + garbage,17,56036658f41b5e1b2a1582ddade0c19b010b4fc4,0,3619d0a56b9160b2ff0c7021f41a59e207bd1979,1,ac5aa0c95bcae04d82fc0a4d2a44fdcc5de908dd,17,997efc040ec4e4cc22446588373b3dec3d03c91b,17,866a709c34db4aceaba0ecb297438d4689b6be04,1,89449748973054316edf7866a506f24036f5883c,9
27,1B,tilesets 3,tilesets 3,0,682b94550690d2e4c4103fe93753ed74ab38fc72,0,682b94550690d2e4c4103fe93753ed74ab38fc72,0,682b94550690d2e4c4103fe93753ed74ab38fc72,0,682b94550690d2e4c4103fe93753ed74ab38fc72,0,682b94550690d2e4c4103fe93753ed74ab38fc72,0,682b94550690d2e4c4103fe93753ed74ab38fc72,0
28,1C,splash/Hall of Fame/healing/player anims/transitions/map/icons/trades/palettes/save,credits/splash/HOF/etc + garbage,1123,7b6e17254e6b33add162f0b050e9e0dacba7eed4,0,1cacbc73a93cfb7c3a3bf75498fb1ec73879faa6,1162,ef6a86911a346e202c3a180ff4f376e13a590972,1123,1085e645fc3deb7b2a7d4724b9365c75a77ff5df,1141,4e1ac59775ff3745236302b50701d546a9bc07d5,1148,8c3f265ba09de62a8637e9cc6f653741bd6dc8a0,1059
29,1D,maps 19-21 + itemfinder + vending + hidden items,maps 19-21 + itemfinder/vending/hidden items + garbage,6020,ca13e04be321fdacb465d795cf6e34a7781b597b,0,99f3e0ffd2db73a7e4f7177ad8993c438a89add3,5940,67815554da087e1129e16ba369348e365b33da50,6020,386cd9438659d0282afe104ad91958ef6ab7e31c,5885,a7692d761cd0e748cca5e06bd34dc7bf20aa894d,5955,416be887c5a9ee0ad3ac70ed0536d7e3eb562f2b,5904
30,1E,battle animations + overworld effects + evolution + TM prices,battle animation/status/effects/evolution/TM prices + garbage,64,b4f66792c3927068d94b1f18b5788e7922aa99ff,1,edf59ac262acb51911941e8aec3d003b019b402a,64,48af43ba8782a67364f10e686ac79fa54e1afb32,64,d641d4810129bfb972be709e2b640acfa2ea122a,64,70636d7b211df8e1f9f1269f83aeb774749781a3,64,1ca1b0b6cd83ecf657bd99e72436e85ba5a03e47,64
31,1F,audio headers + SFX + audio engine 3 + music 3,audio 3 + garbage,6,e6f56f437aa0818bbca734936d91644434ff803c,1,57de79a8f970180a9591d22bfbf89069923e9e3b,6,b42fad01373c0ac759b78f738e0f5dbeb1984f8f,6,2095c60cec020cb8f90c42814ca1dc7461b84278,6,be5f0b82176795895e2e6f7c2e8611fbb6d33cb8,6,a358404d08fca806687d9741308175689c364bd0,6
