role_in_project,generation,game,platform,package_kind,release_id,dump_id,locale_claim,source_filename,size,crc32,md5,sha1,sha256,canonical_release_root
SOURCE,GEN-04,DIAMOND,NDS-NTR,CART,ADAE-HV5,DUMP-a46233d8b79a,US-EN,Pokemon_Diamond_USA_NDS-LGC.nds,67108864,84427823,02a1af2a677d101394b1d99164a8c249,a46233d8b79a69ea87aa295a0efad5237d02841e,e29bc6ebe431d7a6b238267b6b1521fec4a3bc14f2fa348798062f870c738454,GEN-04/DIAMOND/SOURCE/NDS-NTR/CART/ADAE-HV5
SOURCE,GEN-04,PEARL,NDS-NTR,CART,APAE-HV5,DUMP-99083bf15ec7,US-EN,Pokemon_Pearl_USA_NDS-LGC.nds,67108864,e2d87ebf,e5da92c8cfabedd0d037ff33a2f2b6ba,99083bf15ec7c6b81b4ba241ee10abd9e80999ac,2dcc471033d1757ee572415f5773a77af67b350ad59e2aeb3fc28c1402c3a84c,GEN-04/PEARL/SOURCE/NDS-NTR/CART/APAE-HV5
SOURCE,GEN-04,PLATINUM,NDS-NTR,CART,CPUK-HV0,DUMP-f811d9c7ab52,KR-KO,포켓몬스터Pt 기라티나.nds,134217728,26f01598,e28b4ba15f1810ce26087a66cbb411ff,f811d9c7ab5262f593012da794c2fa81dbcdbcc1,51050f65776f402f86b8b2b2d3b84ab5bbe80dbec75129c86f8bd9b447f11d7b,GEN-04/PLATINUM/SOURCE/NDS-NTR/CART/CPUK-HV0
SOURCE,GEN-04,HEARTGOLD,NDS-NTR,CART,IPKK-HV0,DUMP-5834fb3a2d75,KR-KO,포켓몬스터 하트골드.nds,134217728,650745ad,81de94bae7a9033fe077cc885addcfe4,5834fb3a2d751c48501d47d6a56898d7af6ccf9e,659f20ca1d4f43b8b675d3c47217bb875a4f14c62438b08fa42f60467e2bed43,GEN-04/HEARTGOLD/SOURCE/NDS-NTR/CART/IPKK-HV0
SOURCE,GEN-04,SOULSILVER,NDS-NTR,CART,IPGK-HV0,DUMP-0330e6449306,KR-KO,포켓몬스터 소울실버.nds,134217728,ce5cb206,4e36e0c8c693d7cf52753f8601db5bbf,0330e6449306606114a92bdbb3f9d3d51d392b96,8e1c82d2f718fa404f0b13df1666c70cdfaa75cb67e0adcbdcfb6c002f4d8b55,GEN-04/SOULSILVER/SOURCE/NDS-NTR/CART/IPGK-HV0
TARGET,GEN-02,GOLD,GBC-CGB,CART,POKEMON-GLDA-DC1-MV0,DUMP-c0ff3999e109,KR-KO,Pocket Monsters Geum (Korea).gbc,2097152,249a7a66,82bd1d9171e60f147d9eeea13ef07a12,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,9c273e86e6120c6a038160ccb0153b8b20425b84fc08a496281c1d1bcac492f6,GEN-02/GOLD/SOURCE/GBC-CGB/CART/POKEMON-GLDA-DC1-MV0
TARGET,GEN-02,SILVER,GBC-CGB,CART,POKEMON-SLVA-DC1-MV0,DUMP-cb22d7e03a74,KR-KO,Pocket Monsters Eun (Korea).gbc,2097152,9cc1f90f,f5e14b069eaddee42735572bd23f7ef8,cb22d7e03a74dc3a563fde6be8626626b2b392e7,ebbac63c0c4309c82dbb6723e7163369784f962b4fd3e2f486075307c3008a22,GEN-02/SILVER/SOURCE/GBC-CGB/CART/POKEMON-SLVA-DC1-MV0
TARGET,GEN-02,CRYSTAL,GBC-CGB,CART,PM-CRYSTAL-DC0-MV0,DUMP-95127b901bbc,JP-JA,Pocket Monsters - Crystal Version (Japan).gbc,2097152,270c4ecc,9c3ae66bffb28ea8ed2896822da02992,95127b901bbce2407daf43cce9f45d4c27ef635d,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,GEN-02/CRYSTAL/SOURCE/GBC-CGB/CART/PM-CRYSTAL-DC0-MV0
TARGET,GEN-02,CRYSTAL,GBC-CGB,CART,PM-CRYSTAL-DC1-MV1,DUMP-f2f52230b536,US-EU-EN,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",2097152,3358e30a,301899b8087289a6436b0a241fbbb474,f2f52230b536214ef7c9924f483392993e226cfb,fdcc3c8c43813cf8731fc037d2a6d191bac75439c34b24ba1c27526e6acdc8a2,GEN-02/CRYSTAL/SOURCE/GBC-CGB/CART/PM-CRYSTAL-DC1-MV1
TARGET,GEN-03,RUBY,GBA-AGB,CART,AXVJ-HV0,DUMP-5c5e54672030,JP-JA,Pocket Monsters - Ruby (Japan).gba,8388608,cee9471a,27c9f37193977828f9808f3f76ff8c76,5c5e546720300b99ae45d2aa35c646c8b8ff5c56,e911caa1ffbf8704cd45bbe064ade40e24efa50dfdce82adf4b2899b5f733852,GEN-03/RUBY/SOURCE/GBA-AGB/CART/AXVJ-HV0
