item_id_decimal,item_id_hex,slot_kind,original_name,latest_name,original_display_tiles,latest_display_tiles,display_tile_delta,latest_encoded_bytes,encoded_bytes_with_terminator,name_buffer_copy_capacity_bytes,buffer_safe_with_terminator,pack_list_columns,mart_list_columns,pack_list_width_safe,mart_list_width_safe,exceeds_shipped_global_max_display_tiles,ui_risk_status
1,0x01,NAMED_ITEM,마스터볼,마스터볼,4,4,0,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
2,0x02,NAMED_ITEM,하이퍼볼,하이퍼볼,4,4,0,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
3,0x03,NAMED_ITEM,반짝가루,반짝가루,4,4,0,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
4,0x04,NAMED_ITEM,수퍼볼,슈퍼볼,3,3,0,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
5,0x05,NAMED_ITEM,몬스터볼,몬스터볼,4,4,0,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
6,0x06,UNUSED_OR_INTERNAL,?,?,1,1,0,2,3,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
7,0x07,NAMED_ITEM,자전거,자전거,3,3,0,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
8,0x08,NAMED_ITEM,달맞이 돌,달의돌,5,3,-2,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
9,0x09,NAMED_ITEM,해독제,해독제,3,3,0,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
10,0x0A,NAMED_ITEM,화상 치료제,화상치료제,6,5,-1,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
11,0x0B,NAMED_ITEM,얼음상태 치료제,얼음상태치료제,8,7,-1,14,15,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
12,0x0C,NAMED_ITEM,잠깨는 약,잠깨는약,5,4,-1,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
13,0x0D,NAMED_ITEM,마비 치료제,마비치료제,6,5,-1,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
14,0x0E,NAMED_ITEM,회복약,회복약,3,3,0,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
15,0x0F,NAMED_ITEM,풀 회복약,풀회복약,5,4,-1,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
16,0x10,NAMED_ITEM,고급 상처약,고급상처약,6,5,-1,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
17,0x11,NAMED_ITEM,좋은 상처약,좋은상처약,6,5,-1,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
18,0x12,NAMED_ITEM,상처약,상처약,3,3,0,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
19,0x13,NAMED_ITEM,동굴탈출 로프,동굴탈출로프,7,6,-1,12,13,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
20,0x14,NAMED_ITEM,벌레회피스프레이,벌레회피스프레이,8,8,0,16,17,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
21,0x15,NAMED_ITEM,PP 맥스,PP맥스,5,4,-1,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
22,0x16,NAMED_ITEM,불꽃의 돌,불꽃의돌,5,4,-1,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
23,0x17,NAMED_ITEM,천둥의 돌,천둥의돌,5,4,-1,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
24,0x18,NAMED_ITEM,물의 돌,물의돌,4,3,-1,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
25,0x19,UNUSED_OR_INTERNAL,?,?,1,1,0,2,3,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
26,0x1A,NAMED_ITEM,맥스 업,맥스업,4,3,-1,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
27,0x1B,NAMED_ITEM,타우린,타우린,3,3,0,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
28,0x1C,NAMED_ITEM,사포닌,사포닌,3,3,0,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
29,0x1D,NAMED_ITEM,알칼로이드,알칼로이드,5,5,0,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
30,0x1E,NAMED_ITEM,럭키 펀치,럭키펀치,5,4,-1,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
31,0x1F,NAMED_ITEM,리보플라빈,리보플라빈,5,5,0,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
32,0x20,NAMED_ITEM,이상한 사탕,이상한사탕,6,5,-1,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
33,0x21,NAMED_ITEM,잘-맞히기,잘-맞히기,5,5,0,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
34,0x22,NAMED_ITEM,잎사귀 돌,리프의돌,5,4,-1,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
35,0x23,NAMED_ITEM,금속 파우더,금속파우더,6,5,-1,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
36,0x24,NAMED_ITEM,금구슬,금구슬,3,3,0,6,7,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
37,0x25,NAMED_ITEM,삐삐인형,삐삐인형,4,4,0,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
38,0x26,NAMED_ITEM,만병통치제,만병통치제,5,5,0,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
39,0x27,NAMED_ITEM,기력의 조각,기력의조각,6,5,-1,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
40,0x28,NAMED_ITEM,기력의 덩어리,기력의덩어리,7,6,-1,12,13,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
41,0x29,NAMED_ITEM,이펙트 가드,이펙트가드,6,5,-1,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
42,0x2A,NAMED_ITEM,실버 스프레이,실버스프레이,7,6,-1,12,13,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
43,0x2B,NAMED_ITEM,골드 스프레이,골드스프레이,7,6,-1,12,13,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
44,0x2C,NAMED_ITEM,크리티컬 커터,크리티컬커터,7,6,-1,12,13,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
45,0x2D,UNUSED_OR_INTERNAL,?,?,1,1,0,2,3,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
46,0x2E,NAMED_ITEM,맛있는 물,맛있는물,5,4,-1,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
47,0x2F,NAMED_ITEM,미네랄 사이다,미네랄사이다,7,6,-1,12,13,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
48,0x30,NAMED_ITEM,후르츠 밀크,후르츠밀크,6,5,-1,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
49,0x31,NAMED_ITEM,플러스파워,플러스파워,5,5,0,10,11,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
50,0x32,UNUSED_OR_INTERNAL,?,?,1,1,0,2,3,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
51,0x33,NAMED_ITEM,디펜드 업,디펜드업,5,4,-1,8,9,21,True,8,8,True,True,False,STATIC_WIDTH_SAFE_RUNTIME_TEST_PENDING
