generation,game_id,platform_id,package_kind,release_id,dump_id,market,language,filename,size_bytes,md5,sha1,sha256,header_title,header_game_code,header_version,header_checksum_valid,global_checksum_valid,header_complement_valid,coordinate
GEN-01,RED,GB,CART,JP-JA-HV1,DUMP-SHA256-751ABB1FB2B2D6B9,JPN,ja,Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,524288,4c44844f8d5aa3305a0cf2c95cf96333,ef74c79cded14204ac79e77f4964d9cb25003120,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,POKEMON RED,,1,True,True,,GEN-01/RED/RELEASES/GB/CART/JP-JA-HV1
GEN-01,BLUE,GB,CART,JP-JA-HV0,DUMP-SHA256-71A70E5F77C10917,JPN,ja,Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,524288,c1adf0a77809ac91d905a4828888a2f0,0da501e3e5c51ab8fef55b092dcdd7e6b050e424,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,POKEMON BLUE,,0,True,True,,GEN-01/BLUE/RELEASES/GB/CART/JP-JA-HV0
GEN-02,CRYSTAL,GBC,CART,BXTJ-HV0,DUMP-SHA256-136ADA06CB68656B,JPN,ja,Pocket Monsters - Crystal Version (Japan).gbc,2097152,9c3ae66bffb28ea8ed2896822da02992,95127b901bbce2407daf43cce9f45d4c27ef635d,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,PM_CRYSTAL,BXTJ,0,True,True,,GEN-02/CRYSTAL/RELEASES/GBC/CART/BXTJ-HV0
GEN-03,EMERALD,GBA,CART,BPEJ-HV0,DUMP-SHA256-33F5610B9186B4AD,JPN,ja,Pocket Monsters - Emerald (Japan).gba,16777216,92eecf93f1ab828bdf2a83daddacf3e5,d7cf8f156ba9c455d164e1ea780a6bf1945465c2,33f5610b9186b4add09fef68895deb00f552b997b3d133b5a961e5123506343c,POKEMON EMER,BPEJ,0,,,True,GEN-03/EMERALD/RELEASES/GBA/CART/BPEJ-HV0
GEN-03,FIRERED,GBA,CART,BPRJ-HV1,DUMP-SHA256-CEC5FC4DBE38CD80,JPN,ja,Pocket Monsters - Fire Red (Japan) (Rev 1).gba,16777216,ff25067b591ba324cd44689a9ba8aa48,7c7107b87c3ccf6e3dbceb9cf80ceeffb25a1857,cec5fc4dbe38cd8026bd6664a1a041d9dc91e8d4249bab04e7bde70c3cdf4e06,POKEMON FIRE,BPRJ,1,,,True,GEN-03/FIRERED/RELEASES/GBA/CART/BPRJ-HV1
GEN-03,LEAFGREEN,GBA,CART,BPGJ-HV0,DUMP-SHA256-2957B392DC09FC8D,JPN,ja,Pocket Monsters - Leaf Green (Japan).gba,16777216,138a71a5be83f3f3d7af3d31916a5fc7,5946f1b59e8d71cc61249661464d864185c92a5f,2957b392dc09fc8df45a660af5493368d7bd378d299862f4cc115998e9da0bf2,POKEMON LEAF,BPGJ,0,,,True,GEN-03/LEAFGREEN/RELEASES/GBA/CART/BPGJ-HV0
GEN-01,GREEN,GB,CART,JP-JA-HV1,DUMP-SHA256-3F0DC460CA8D06BE,JPN,ja,Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,524288,16ddd8897092936fbc0e286c6a6b23a2,4b97cd44aa3f0dd290bfe7b3ac17b7bd8270897b,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,POKEMON GREEN,,1,True,True,,GEN-01/GREEN/RELEASES/GB/CART/JP-JA-HV1
GEN-01,YELLOW,GB,CART,JP-JA-HV3,DUMP-SHA256-1349408F328F633B,JPN,ja,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,1048576,90ae2ea218f8e21afa678c6a4e7b6013,a40298a8123613ee60cd7aab204d788b8425976e,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,POKEMON YELLOW,,3,True,True,,GEN-01/YELLOW/RELEASES/GB/CART/JP-JA-HV3
GEN-03,RUBY,GBA,CART,AXVJ-HV0,DUMP-SHA256-E911CAA1FFBF8704,JPN,ja,Pocket Monsters - Ruby (Japan).gba,8388608,27c9f37193977828f9808f3f76ff8c76,5c5e546720300b99ae45d2aa35c646c8b8ff5c56,e911caa1ffbf8704cd45bbe064ade40e24efa50dfdce82adf4b2899b5f733852,POKEMON RUBY,AXVJ,0,,,True,GEN-03/RUBY/RELEASES/GBA/CART/AXVJ-HV0
GEN-03,SAPPHIRE,GBA,CART,AXPJ-HV0,DUMP-SHA256-6A5FF7656531AB41,JPN,ja,Pocket Monsters - Sapphire (Japan).gba,8388608,5323f95f70f5d4f21bed6ec000332bda,3233342c2f3087e6ffe6c1791cd5867db07df842,6a5ff7656531ab41d1ea9cd8f2d045ab6228405b43f3ee09ea3ff5077c0f60c9,POKEMON SAPP,AXPJ,0,,,True,GEN-03/SAPPHIRE/RELEASES/GBA/CART/AXPJ-HV0
