archive_path,range_start,range_end,member_count,national_dex,reported_label,evidence_status,verification_status,notes,source_reference
a/0/0/7,6868,6875,8,650,Chespin,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6876,6883,8,651,Quilladin,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6884,6891,8,652,Chesnaught,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6892,6899,8,653,Fennekin,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6900,6907,8,654,Braixen,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6908,6915,8,655,Delphox,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6916,6923,8,656,Froakie,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6924,6931,8,657,Frogadier,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6932,6939,8,658,Greninja,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6940,6947,8,659,Bunnelby,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6948,6955,8,660,Diggersby,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6956,6963,8,661,Fletchling,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6964,6971,8,662,Fletchinder,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6972,6979,8,663,Talonflame,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6980,6987,8,664,Scatterbug,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6988,6995,8,665,Spewpa,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,6996,7003,8,666,Vivillon Icy Snow,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,7004,7011,8,666,Vivillon Polar,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,7012,7019,8,666,Vivillon Tundra,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,7020,7027,8,666,Vivillon Continental,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,7028,7035,8,666,Vivillon Garden,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
a/0/0/7,7036,7043,8,666,Vivillon Elegant,reported-public,requires-member-signature-verification,Reported label preserved verbatim/near-verbatim; normalized official form identity requires separate verification.,https://seatgem.com/2021/12/pokemon-x-and-y-romfs-a-folder-content-notes.html
