national_dex,identifier,source_species_token,introduced_generation,hp,attack,defense,speed,sp_attack,sp_defense,type1_token,type2_token,type1_id,type2_id,catch_rate,base_exp,ev_hp,ev_attack,ev_defense,ev_speed,ev_sp_attack,ev_sp_defense,held_item_common,held_item_rare,gender_token,gender_threshold,hatch_cycles,friendship,growth_token,growth_id,egg_group1_token,egg_group2_token,egg_group1_id,egg_group2_id,ability1_token,ability2_token,ability1_id,ability2_id,safari_flee_rate,body_color_token,no_flip_token,source_path
1,bulbasaur,SPECIES_BULBASAUR,1,45,49,49,45,65,65,TYPE_GRASS,TYPE_POISON,11,3,45,64,0,0,0,0,1,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_GRASS,1,7,ABILITY_OVERGROW,ABILITY_NONE,65,0,0,BODY_COLOR_GREEN,FALSE,pokeemerald/src/data/pokemon/species_info.h
2,ivysaur,SPECIES_IVYSAUR,1,60,62,63,60,80,80,TYPE_GRASS,TYPE_POISON,11,3,45,141,0,0,0,0,1,1,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_GRASS,1,7,ABILITY_OVERGROW,ABILITY_NONE,65,0,0,BODY_COLOR_GREEN,FALSE,pokeemerald/src/data/pokemon/species_info.h
3,venusaur,SPECIES_VENUSAUR,1,80,82,83,80,100,100,TYPE_GRASS,TYPE_POISON,11,3,45,208,0,0,0,0,2,1,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_GRASS,1,7,ABILITY_OVERGROW,ABILITY_NONE,65,0,0,BODY_COLOR_GREEN,FALSE,pokeemerald/src/data/pokemon/species_info.h
4,charmander,SPECIES_CHARMANDER,1,39,52,43,65,60,50,TYPE_FIRE,TYPE_FIRE,9,9,45,65,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_DRAGON,1,14,ABILITY_BLAZE,ABILITY_NONE,66,0,0,BODY_COLOR_RED,FALSE,pokeemerald/src/data/pokemon/species_info.h
5,charmeleon,SPECIES_CHARMELEON,1,58,64,58,80,80,65,TYPE_FIRE,TYPE_FIRE,9,9,45,142,0,0,0,1,1,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_DRAGON,1,14,ABILITY_BLAZE,ABILITY_NONE,66,0,0,BODY_COLOR_RED,FALSE,pokeemerald/src/data/pokemon/species_info.h
6,charizard,SPECIES_CHARIZARD,1,78,84,78,100,109,85,TYPE_FIRE,TYPE_FLYING,9,2,45,209,0,0,0,0,3,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_DRAGON,1,14,ABILITY_BLAZE,ABILITY_NONE,66,0,0,BODY_COLOR_RED,FALSE,pokeemerald/src/data/pokemon/species_info.h
7,squirtle,SPECIES_SQUIRTLE,1,44,48,65,43,50,64,TYPE_WATER,TYPE_WATER,10,10,45,66,0,0,1,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_WATER_1,1,2,ABILITY_TORRENT,ABILITY_NONE,67,0,0,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
8,wartortle,SPECIES_WARTORTLE,1,59,63,80,58,65,80,TYPE_WATER,TYPE_WATER,10,10,45,143,0,0,1,0,0,1,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_WATER_1,1,2,ABILITY_TORRENT,ABILITY_NONE,67,0,0,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
9,blastoise,SPECIES_BLASTOISE,1,79,83,100,78,85,105,TYPE_WATER,TYPE_WATER,10,10,45,210,0,0,0,0,0,3,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_WATER_1,1,2,ABILITY_TORRENT,ABILITY_NONE,67,0,0,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
10,caterpie,SPECIES_CATERPIE,1,45,30,35,45,20,20,TYPE_BUG,TYPE_BUG,6,6,255,53,1,0,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_BUG,3,3,ABILITY_SHIELD_DUST,ABILITY_NONE,19,0,0,BODY_COLOR_GREEN,FALSE,pokeemerald/src/data/pokemon/species_info.h
