ability_id,identifier,source_token,generation
1,stench,ABILITY_STENCH,3
2,drizzle,ABILITY_DRIZZLE,3
3,speed-boost,ABILITY_SPEED_BOOST,3
4,battle-armor,ABILITY_BATTLE_ARMOR,3
5,sturdy,ABILITY_STURDY,3
6,damp,ABILITY_DAMP,3
7,limber,ABILITY_LIMBER,3
8,sand-veil,ABILITY_SAND_VEIL,3
9,static,ABILITY_STATIC,3
10,volt-absorb,ABILITY_VOLT_ABSORB,3
11,water-absorb,ABILITY_WATER_ABSORB,3
12,oblivious,ABILITY_OBLIVIOUS,3
13,cloud-nine,ABILITY_CLOUD_NINE,3
14,compound-eyes,ABILITY_COMPOUND_EYES,3
15,insomnia,ABILITY_INSOMNIA,3
16,color-change,ABILITY_COLOR_CHANGE,3
17,immunity,ABILITY_IMMUNITY,3
18,flash-fire,ABILITY_FLASH_FIRE,3
19,shield-dust,ABILITY_SHIELD_DUST,3
20,own-tempo,ABILITY_OWN_TEMPO,3
21,suction-cups,ABILITY_SUCTION_CUPS,3
22,intimidate,ABILITY_INTIMIDATE,3
23,shadow-tag,ABILITY_SHADOW_TAG,3
24,rough-skin,ABILITY_ROUGH_SKIN,3
25,wonder-guard,ABILITY_WONDER_GUARD,3
26,levitate,ABILITY_LEVITATE,3
27,effect-spore,ABILITY_EFFECT_SPORE,3
28,synchronize,ABILITY_SYNCHRONIZE,3
29,clear-body,ABILITY_CLEAR_BODY,3
30,natural-cure,ABILITY_NATURAL_CURE,3
31,lightning-rod,ABILITY_LIGHTNING_ROD,3
32,serene-grace,ABILITY_SERENE_GRACE,3
33,swift-swim,ABILITY_SWIFT_SWIM,3
34,chlorophyll,ABILITY_CHLOROPHYLL,3
35,illuminate,ABILITY_ILLUMINATE,3
36,trace,ABILITY_TRACE,3
37,huge-power,ABILITY_HUGE_POWER,3
38,poison-point,ABILITY_POISON_POINT,3
39,inner-focus,ABILITY_INNER_FOCUS,3
40,magma-armor,ABILITY_MAGMA_ARMOR,3
41,water-veil,ABILITY_WATER_VEIL,3
42,magnet-pull,ABILITY_MAGNET_PULL,3
43,soundproof,ABILITY_SOUNDPROOF,3
44,rain-dish,ABILITY_RAIN_DISH,3
45,sand-stream,ABILITY_SAND_STREAM,3
46,pressure,ABILITY_PRESSURE,3
47,thick-fat,ABILITY_THICK_FAT,3
48,early-bird,ABILITY_EARLY_BIRD,3
49,flame-body,ABILITY_FLAME_BODY,3
50,run-away,ABILITY_RUN_AWAY,3
51,keen-eye,ABILITY_KEEN_EYE,3
52,hyper-cutter,ABILITY_HYPER_CUTTER,3
53,pickup,ABILITY_PICKUP,3
54,truant,ABILITY_TRUANT,3
55,hustle,ABILITY_HUSTLE,3
56,cute-charm,ABILITY_CUTE_CHARM,3
57,plus,ABILITY_PLUS,3
58,minus,ABILITY_MINUS,3
59,forecast,ABILITY_FORECAST,3
60,sticky-hold,ABILITY_STICKY_HOLD,3
61,shed-skin,ABILITY_SHED_SKIN,3
62,guts,ABILITY_GUTS,3
63,marvel-scale,ABILITY_MARVEL_SCALE,3
64,liquid-ooze,ABILITY_LIQUID_OOZE,3
65,overgrow,ABILITY_OVERGROW,3
66,blaze,ABILITY_BLAZE,3
67,torrent,ABILITY_TORRENT,3
68,swarm,ABILITY_SWARM,3
69,rock-head,ABILITY_ROCK_HEAD,3
70,drought,ABILITY_DROUGHT,3
71,arena-trap,ABILITY_ARENA_TRAP,3
72,vital-spirit,ABILITY_VITAL_SPIRIT,3
73,white-smoke,ABILITY_WHITE_SMOKE,3
74,pure-power,ABILITY_PURE_POWER,3
75,shell-armor,ABILITY_SHELL_ARMOR,3
76,cacophony,ABILITY_CACOPHONY,3
77,air-lock,ABILITY_AIR_LOCK,3
