national_dex,identifier,source_species_token,introduced_generation,hp,attack,defense,speed,sp_attack,sp_defense,type1_token,type2_token,type1_id,type2_id,catch_rate,base_exp,held_item_common,held_item_rare,held_item_common_id,held_item_rare_id,gender_token,gender_threshold,hatch_cycles,friendship_base,friendship_source_token,growth_token,growth_id,egg_group1_token,egg_group2_token,egg_group1_id,egg_group2_id,tmhm_tokens,tmhm_flag_count,tmhm_bits_hex,source_path
1,bulbasaur,BULBASAUR,1,45,49,49,45,65,65,GRASS,POISON,11,3,45,64,NO_ITEM,NO_ITEM,0,0,GENDER_F12_5,31,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_PLANT,1,7,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|FURY_CUTTER|CUT|FLASH,60,261e3dc486184500,pokecrystal/data/pokemon/base_stats/bulbasaur.asm
2,ivysaur,IVYSAUR,1,60,62,63,60,80,80,GRASS,POISON,11,3,45,141,NO_ITEM,NO_ITEM,0,0,GENDER_F12_5,31,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_PLANT,1,7,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|FURY_CUTTER|CUT|FLASH,60,261e3dc486184500,pokecrystal/data/pokemon/base_stats/ivysaur.asm
3,venusaur,VENUSAUR,1,80,82,83,80,100,100,GRASS,POISON,11,3,45,208,NO_ITEM,NO_ITEM,0,0,GENDER_F12_5,31,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_PLANT,1,7,HEADBUTT|CURSE|ROAR|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|FURY_CUTTER|CUT|FLASH,60,365e3dc486184500,pokecrystal/data/pokemon/base_stats/venusaur.asm
4,charmander,CHARMANDER,1,39,52,43,65,60,50,FIRE,FIRE,9,9,45,65,NO_ITEM,NO_ITEM,0,0,GENDER_F12_5,31,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_DRAGON,1,14,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|DRAGONBREATH|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|DEFENSE_CURL|REST|ATTRACT|FIRE_PUNCH|FURY_CUTTER|CUT|STRENGTH|FLAMETHROWER,60,a716d9cce6982502,pokecrystal/data/pokemon/base_stats/charmander.asm
5,charmeleon,CHARMELEON,1,58,64,58,80,80,65,FIRE,FIRE,9,9,45,142,NO_ITEM,NO_ITEM,0,0,GENDER_F12_5,31,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_DRAGON,1,14,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|DRAGONBREATH|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|DEFENSE_CURL|REST|ATTRACT|FIRE_PUNCH|FURY_CUTTER|CUT|STRENGTH|FLAMETHROWER,60,a716d9cce6982502,pokecrystal/data/pokemon/base_stats/charmeleon.asm
6,charizard,CHARIZARD,1,78,84,78,100,109,85,FIRE,FLYING,9,2,45,209,NO_ITEM,NO_ITEM,0,0,GENDER_F12_5,31,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_DRAGON,1,14,DYNAMICPUNCH|HEADBUTT|CURSE|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|DRAGONBREATH|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SANDSTORM|FIRE_BLAST|SWIFT|DEFENSE_CURL|REST|ATTRACT|STEEL_WING|FIRE_PUNCH|FURY_CUTTER|CUT|FLY|STRENGTH|FLAMETHROWER,60,b756d9cef6d82d02,pokecrystal/data/pokemon/base_stats/charizard.asm
7,squirtle,SQUIRTLE,1,44,48,65,43,50,64,WATER,WATER,10,10,45,66,NO_ITEM,NO_ITEM,0,0,GENDER_F12_5,31,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_WATER_1,1,2,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ROCK_SMASH|HIDDEN_POWER|SNORE|BLIZZARD|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|SURF|STRENGTH|WHIRLPOOL|WATERFALL|ICE_BEAM,60,afb25bcc8718b009,pokecrystal/data/pokemon/base_stats/squirtle.asm
8,wartortle,WARTORTLE,1,59,63,80,58,65,80,WATER,WATER,10,10,45,143,NO_ITEM,NO_ITEM,0,0,GENDER_F12_5,31,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_WATER_1,1,2,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ROCK_SMASH|HIDDEN_POWER|SNORE|BLIZZARD|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|SURF|STRENGTH|WHIRLPOOL|WATERFALL|ICE_BEAM,60,afb25bcc8718b009,pokecrystal/data/pokemon/base_stats/wartortle.asm
9,blastoise,BLASTOISE,1,79,83,100,78,85,105,WATER,WATER,10,10,45,210,NO_ITEM,NO_ITEM,0,0,GENDER_F12_5,31,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_WATER_1,1,2,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|SURF|STRENGTH|WHIRLPOOL|WATERFALL|ICE_BEAM,60,bff25bce8718b009,pokecrystal/data/pokemon/base_stats/blastoise.asm
10,caterpie,CATERPIE,1,45,30,35,45,20,20,BUG,BUG,6,6,255,53,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_BUG,3,3,,60,0000000000000000,pokecrystal/data/pokemon/base_stats/caterpie.asm
