national_dex,identifier,source_species_token,introduced_generation,hp,attack,defense,speed,sp_attack,sp_defense,type1_token,type2_token,type1_id,type2_id,catch_rate,base_exp,held_item_common,held_item_rare,gender_token,gender_threshold,hatch_cycles,friendship,growth_token,growth_id,egg_group1_token,egg_group2_token,egg_group1_id,egg_group2_id,tmhm_tokens,source_path
152,chikorita,CHIKORITA,2,45,49,65,45,49,65,GRASS,GRASS,11,11,45,64,NO_ITEM,NO_ITEM,GENDER_F12_5,31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_PLANT,1,7,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|IRON_TAIL|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DETECT|REST|ATTRACT|CUT|FLASH,pokecrystal/data/pokemon/base_stats/chikorita.asm
153,bayleef,BAYLEEF,2,60,62,80,60,63,80,GRASS,GRASS,11,11,45,141,NO_ITEM,NO_ITEM,GENDER_F12_5,31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_PLANT,1,7,HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|IRON_TAIL|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DETECT|REST|ATTRACT|FURY_CUTTER|CUT|STRENGTH|FLASH,pokecrystal/data/pokemon/base_stats/bayleef.asm
154,meganium,MEGANIUM,2,80,82,100,80,83,100,GRASS,GRASS,11,11,45,208,NO_ITEM,NO_ITEM,GENDER_F12_5,31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_PLANT,1,7,HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|IRON_TAIL|EARTHQUAKE|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DETECT|REST|ATTRACT|FURY_CUTTER|CUT|STRENGTH|FLASH,pokecrystal/data/pokemon/base_stats/meganium.asm
155,cyndaquil,CYNDAQUIL,2,39,52,43,65,60,50,FIRE,FIRE,9,9,45,65,NO_ITEM,NO_ITEM,GENDER_F12_5,31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|ROLLOUT|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|DEFENSE_CURL|DETECT|REST|ATTRACT|CUT|FLAMETHROWER,pokecrystal/data/pokemon/base_stats/cyndaquil.asm
156,quilava,QUILAVA,2,58,64,58,80,80,65,FIRE,FIRE,9,9,45,142,NO_ITEM,NO_ITEM,GENDER_F12_5,31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|ROLLOUT|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|DEFENSE_CURL|DETECT|REST|ATTRACT|FURY_CUTTER|CUT|STRENGTH|FLAMETHROWER,pokecrystal/data/pokemon/base_stats/quilava.asm
157,typhlosion,TYPHLOSION,2,78,84,78,100,109,85,FIRE,FIRE,9,9,45,209,NO_ITEM,NO_ITEM,GENDER_F12_5,31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUND,EGG_GROUND,5,5,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|DEFENSE_CURL|THUNDERPUNCH|DETECT|REST|ATTRACT|FIRE_PUNCH|FURY_CUTTER|CUT|STRENGTH|FLAMETHROWER,pokecrystal/data/pokemon/base_stats/typhlosion.asm
158,totodile,TOTODILE,2,50,65,64,43,44,48,WATER,WATER,10,10,45,66,NO_ITEM,NO_ITEM,GENDER_F12_5,31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_WATER_1,1,2,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SNORE|BLIZZARD|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|DETECT|REST|ATTRACT|CUT|SURF|WHIRLPOOL|ICE_BEAM,pokecrystal/data/pokemon/base_stats/totodile.asm
159,croconaw,CROCONAW,2,65,80,80,58,59,63,WATER,WATER,10,10,45,143,NO_ITEM,NO_ITEM,GENDER_F12_5,31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_WATER_1,1,2,DYNAMICPUNCH|HEADBUTT|CURSE|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SNORE|BLIZZARD|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|DETECT|REST|ATTRACT|FURY_CUTTER|CUT|SURF|STRENGTH|WHIRLPOOL|ICE_BEAM,pokecrystal/data/pokemon/base_stats/croconaw.asm
160,feraligatr,FERALIGATR,2,85,105,100,78,79,83,WATER,WATER,10,10,45,210,NO_ITEM,NO_ITEM,GENDER_F12_5,31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_WATER_1,1,2,DYNAMICPUNCH|HEADBUTT|CURSE|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|DETECT|REST|ATTRACT|FURY_CUTTER|CUT|SURF|STRENGTH|WHIRLPOOL|ICE_BEAM,pokecrystal/data/pokemon/base_stats/feraligatr.asm
161,sentret,SENTRET,2,35,46,34,20,35,45,NORMAL,NORMAL,0,0,255,57,NO_ITEM,BERRY,GENDER_F50,127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|FIRE_PUNCH|FURY_CUTTER|CUT|SURF,pokecrystal/data/pokemon/base_stats/sentret.asm
