national_dex,identifier,source_species_token,introduced_generation,hp,attack,defense,speed,sp_attack,sp_defense,type1_token,type2_token,type1_id,type2_id,catch_rate,base_exp,ev_hp,ev_attack,ev_defense,ev_speed,ev_sp_attack,ev_sp_defense,held_item_common,held_item_rare,gender_token,gender_threshold,hatch_cycles,friendship,growth_token,growth_id,egg_group1_token,egg_group2_token,egg_group1_id,egg_group2_id,ability1_token,ability2_token,ability1_id,ability2_id,safari_flee_rate,body_color_token,no_flip_token,source_path
252,treecko,SPECIES_TREECKO,3,40,45,35,70,65,55,TYPE_GRASS,TYPE_GRASS,11,11,45,65,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_DRAGON,1,14,ABILITY_OVERGROW,ABILITY_NONE,65,0,0,BODY_COLOR_GREEN,FALSE,pokeemerald/src/data/pokemon/species_info.h
253,grovyle,SPECIES_GROVYLE,3,50,65,45,95,85,65,TYPE_GRASS,TYPE_GRASS,11,11,45,141,0,0,0,2,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_DRAGON,1,14,ABILITY_OVERGROW,ABILITY_NONE,65,0,0,BODY_COLOR_GREEN,FALSE,pokeemerald/src/data/pokemon/species_info.h
254,sceptile,SPECIES_SCEPTILE,3,70,85,65,120,105,85,TYPE_GRASS,TYPE_GRASS,11,11,45,208,0,0,0,3,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_DRAGON,1,14,ABILITY_OVERGROW,ABILITY_NONE,65,0,0,BODY_COLOR_GREEN,FALSE,pokeemerald/src/data/pokemon/species_info.h
255,torchic,SPECIES_TORCHIC,3,45,60,40,45,70,50,TYPE_FIRE,TYPE_FIRE,9,9,45,65,0,0,0,0,1,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_BLAZE,ABILITY_NONE,66,0,0,BODY_COLOR_RED,FALSE,pokeemerald/src/data/pokemon/species_info.h
256,combusken,SPECIES_COMBUSKEN,3,60,85,60,55,85,60,TYPE_FIRE,TYPE_FIGHTING,9,1,45,142,0,1,0,0,1,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_BLAZE,ABILITY_NONE,66,0,0,BODY_COLOR_RED,FALSE,pokeemerald/src/data/pokemon/species_info.h
257,blaziken,SPECIES_BLAZIKEN,3,80,120,70,80,110,70,TYPE_FIRE,TYPE_FIGHTING,9,1,45,209,0,3,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_BLAZE,ABILITY_NONE,66,0,0,BODY_COLOR_RED,FALSE,pokeemerald/src/data/pokemon/species_info.h
258,mudkip,SPECIES_MUDKIP,3,50,70,50,40,50,50,TYPE_WATER,TYPE_WATER,10,10,45,65,0,1,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_WATER_1,1,2,ABILITY_TORRENT,ABILITY_NONE,67,0,0,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
259,marshtomp,SPECIES_MARSHTOMP,3,70,85,70,50,60,70,TYPE_WATER,TYPE_GROUND,10,4,45,143,0,2,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_WATER_1,1,2,ABILITY_TORRENT,ABILITY_NONE,67,0,0,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
260,swampert,SPECIES_SWAMPERT,3,100,110,90,60,85,90,TYPE_WATER,TYPE_GROUND,10,4,45,210,0,3,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),31,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_WATER_1,1,2,ABILITY_TORRENT,ABILITY_NONE,67,0,0,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
261,poochyena,SPECIES_POOCHYENA,3,35,55,35,35,30,30,TYPE_DARK,TYPE_DARK,16,16,255,55,0,1,0,0,0,0,ITEM_NONE,ITEM_PECHA_BERRY,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_RUN_AWAY,ABILITY_NONE,50,0,0,BODY_COLOR_GRAY,FALSE,pokeemerald/src/data/pokemon/species_info.h
