offset,storage,field,description
0x00,u8,HP,Base HP
0x01,u8,ATK,Base Attack
0x02,u8,DEF,Base Defense
0x03,u8,SPE,Base Speed
0x04,u8,SPA,Base Special Attack
0x05,u8,SPD,Base Special Defense
0x06,u8,Type1,Primary type
0x07,u8,Type2,Secondary type
0x08,u8,CatchRate,Catch rate
0x09,u8,EvoStage,Evolution stage
0x0A,u16,EVYield,2-bit EV yields x6; bit12 Telekinesis flag
0x0C,u16,Item1,Held item 1
0x0E,u16,Item2,Held item 2
0x10,u16,Item3,Held item 3
0x12,u8,Gender,Gender ratio
0x13,u8,HatchCycles,Egg hatch cycles
0x14,u8,BaseFriendship,Base friendship
0x15,u8,EXPGrowth,Experience growth group
0x16,u8,EggGroup1,Egg group 1
0x17,u8,EggGroup2,Egg group 2
0x18,u8,Ability1,Ability slot 1
0x19,u8,Ability2,Ability slot 2
0x1A,u8,AbilityH,Hidden Ability
0x1B,u8,EscapeRate,Escape/run rate
0x1C,u16,FormStatsIndex,First alternate-form PersonalInfo index
0x1E,u16,FormSprite,Form sprite index/base
0x20,u8,FormCount,Number of forms
0x21,bitfield,Color/SpriteFlags,bits0-5 color; bit6 flip; bit7 sprite-form
0x22,u16,BaseEXP,Base experience yield
0x24,u16,Height,Height
0x26,u16,Weight,Weight
0x28,13 bytes,TMHM,101 TM/HM learnability bits
0x35,3 bytes,Reserved35_37,unaccessed/reserved
0x38,u8,TypeTutor,8 type-tutor learnability bits
0x39,3 bytes,Reserved39_3B,unaccessed/reserved
